V1,V2,V3,V4,tst_cat
3.6216,8.6661,-2.8073,-0.446989999999999,1
3.866,-2.63830000000001,1.9242,0.106450000000002,1
0.329240000000002,-4.4552,4.5718,-0.988799999999999,1
1.2247,8.7779,-2.2135,-0.806470000000001,1
1.4479,-4.8794,8.3428,-2.1086,1
5.2423,11.0272,-4.353,-4.1013,1
5.7867,7.8902,-2.6196,-0.487079999999999,1
0.329200000000002,-4.4552,4.5718,-0.988799999999999,1
4.4338,9.887,-4.6795,-3.7483,1
0.705700000000002,-5.4981,8.3368,-2.8715,1
1.1432,-3.7413,5.5777,-0.635779999999999,1
-0.382140000000002,8.3909,2.1624,-3.7405,1
6.5633,9.8187,-4.4113,-3.2258,1
4.8906,-3.35840000000001,3.4202,1.0905,1
-0.965110000000004,9.4111,1.7305,-4.8629,1
2.4391,6.4417,-0.807429999999999,-0.69139,1
4.5679,3.1929,-2.1055,0.296530000000002,1
-0.206200000000005,9.22070000000001,-3.7044,-6.81030000000001,1
3.9102,6.065,-2.4534,-0.68234,1
4.3239,-4.88350000000001,3.4356,-0.577599999999998,1
2.549,6.1499,-1.1605,-1.2371,1
4.9264,5.496,-2.4774,-0.506479999999999,1
3.1377,-4.10960000000001,4.5701,0.989630000000003,1
-0.782890000000005,11.3603,-0.376440000000001,-7.04950000000001,1
2.4235,9.5332,-3.0789,-2.7746,1
1.0009,7.7846,-0.282190000000001,-2.6608,1
4.4069,10.9072,-4.5775,-4.4271,1
3.7935,7.9853,-2.5477,-1.872,1
1.1317,3.9647,3.3979,0.843510000000002,1
2.8033,9.0862,-3.3668,-1.0224,1
4.0296,2.6756,0.806850000000002,0.716790000000002,1
-1.1313,1.9037,7.5339,1.022,1
3.8027,0.815289999999996,2.1041,1.0245,1
2.4486,-6.31750000000001,7.9632,0.206020000000003,1
3.2718,1.7837,2.1161,0.613340000000002,1
2.9543,1.076,0.645770000000001,0.893940000000002,1
-2.74190000000001,11.4038,2.5394,-5.57930000000001,1
3.3397,-4.6145,3.9823,-0.237509999999998,1
3.5438,1.2395,1.997,2.1547,1
2.3136,10.6651,-3.5288,-4.7672,1
