V1,V2,V3,V4,tst_cat
3.6216,8.66609999999999,-2.8073,-0.44699,1
4.5459,8.16739999999999,-2.4586,-1.4621,1
3.4566,9.52279999999999,-4.01119999999999,-3.5944,1
3.2032,5.7588,-0.753449999999998,-0.61251,1
1.2247,8.77789999999999,-2.2135,-0.80647,1
1.8993,7.66249999999999,0.153940000000003,-3.1108,1
3.404,8.72609999999999,-2.9915,-0.57242,1
0.80355,2.8473,4.3439,0.601699999999999,1
1.4479,-4.87939999999999,8.3428,-2.1086,1
5.7867,7.89019999999999,-2.6196,-0.487080000000001,1
0.3292,-4.45519999999999,4.5718,-0.9888,1
0.93584,8.8855,-1.6831,-1.6599,1
4.4338,9.88699999999999,-4.67949999999999,-3.7483,1
1.1432,-3.74129999999999,5.5777,-0.635780000000001,1
-0.24811,-0.177969999999996,4.9068,0.154289999999999,1
4.2969,7.61699999999999,-2.3874,-0.961640000000001,1
2.4391,6.4417,-0.807429999999997,-0.69139,1
3.6289,0.813220000000001,1.6277,0.776269999999999,1
4.1711,8.72199999999999,-3.0224,-0.59699,1
-0.00689200000000012,9.29309999999999,-0.412429999999997,-1.9638,1
2.0843,6.6258,0.483820000000002,-2.2134,1
3.9102,6.06499999999999,-2.4534,-0.68234,1
4.3239,-4.88349999999999,3.4356,-0.5776,1
5.262,3.9834,-1.5572,1.0103,1
5.807,5.00969999999999,-2.2384,0.438779999999999,1
-0.782889999999999,11.3603,-0.376439999999993,-7.0495,1
5.4021,3.1039,-1.1536,1.5651,1
2.5367,2.599,2.0938,0.200849999999999,1
4.6054,-4.0765,2.7587,0.319809999999998,1
1.0009,7.7846,-0.282189999999997,-2.6608,1
0.12326,8.9848,-0.935099999999996,-2.4332,1
3.9529,-2.3548,2.3792,0.482739999999999,1
4.1654,-3.4495,3.643,1.0879,1
3.7935,7.98529999999999,-2.5477,-1.872,1
0.24835,7.6439,0.988500000000002,-0.87371,1
1.1317,3.9647,3.3979,0.843509999999999,1
1.8664,7.7763,-0.238489999999998,-2.9634,1
3.245,6.63,-0.634349999999999,0.869369999999998,1
0.87603,6.8141,0.841980000000001,-0.17156,1
3.2718,1.7837,2.1161,0.613339999999999,1
-0.644719999999999,-4.60619999999999,8.347,-2.7099,1
2.1616,-6.88039999999999,8.1517,-0.0810480000000013,1
-2.7419,11.4038,2.53940000000001,-5.5793,1
4.2027,0.227610000000001,0.961079999999999,0.972819999999999,1
2.3136,10.6651,-3.52879999999999,-4.7672,1
3.9922,-4.46759999999999,3.7304,-0.109500000000001,1
1.518,5.6946,0.094818000000001,-0.0267380000000006,1
4.2188,6.8162,-1.2804,0.760759999999999,1
2.5331,2.9135,-0.821999999999999,-0.12243,1
3.8969,7.41629999999999,-1.8245,0.140069999999999,1
0.9297,-3.79709999999999,4.6429,-0.295700000000001,1
-1.0401,9.39869999999999,0.859980000000004,-5.3336,1
5.438,9.46689999999999,-4.94169999999999,-3.9202,1
-0.206199999999999,9.22069999999999,-3.70439999999999,-6.8103,1
1.7317,-0.347649999999997,4.1905,-0.991380000000001,1
3.9232,-3.2467,3.4579,0.837049999999998,1
1.7496,-0.175899999999996,5.1827,1.2922,1
3.6277,0.9829,0.68861,0.634029999999999,1
2.7391,7.40179999999999,0.0716840000000034,-2.5302,1
4.5447,8.22739999999999,-2.4166,-1.5875,1
-1.7599,11.9211,2.6756,-3.3241,1
5.0691,0.21313,0.20278,1.2095,1
1.9358,8.16539999999999,-0.0234249999999969,-2.2586,1
2.4226,-4.57519999999999,5.947,0.215069999999999,1
3.9479,-3.7723,2.883,0.019812999999999,1
1.3566,4.2358,2.1341,0.321099999999999,1
0.173460000000001,7.8695,0.268760000000003,-3.7883,1
1.1166,8.64959999999999,-0.962519999999997,-1.8112,1
1.0235,6.90099999999999,-2.0062,-2.7125,1
0.5706,-0.0247999999999982,1.2421,-0.5621,1
-1.6952,1.06570000000001,8.8294,0.949549999999999,1
3.583,-3.7971,3.4391,-0.125010000000001,1
-0.13144,-1.77749999999999,8.3316,0.352139999999999,1
1.6426,3.0149,0.228490000000001,-0.147,1
4.5645,-3.6275,2.8684,0.277139999999998,1
2.7365,-5.03249999999999,6.6608,-0.578890000000001,1
0.9297,-3.79709999999999,4.6429,-0.295700000000001,1
1.4578,-0.0848499999999968,4.1785,0.591359999999999,1
1.9157,6.0816,0.237050000000002,-2.0116,1
4.0026,-3.5943,3.5573,0.268089999999998,1
-0.786889999999999,9.56629999999999,-3.78669999999999,-7.5034,1
