bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,island,sex,year
39.1,18.7,181,3750,Adelie,Torgersen,female,2007
40.3,18,195,3250,Adelie,Torgersen,female,2007
39.3,20.6,190,3650,Adelie,Torgersen,female,2007
39.2,19.6,195,4675,Adelie,Torgersen,female,2007
41.1,17.6,182,3200,Adelie,Torgersen,female,2007
36.6,17.8,185,3700,Adelie,Torgersen,female,2007
46,21.5,194,4200,Adelie,Torgersen,female,2007
38.2,18.1,185,3950,Gentoo,Torgersen,male,2007
35.3,18.9,187,3800,Gentoo,Torgersen,female,2007
40.5,18.9,180,3950,Gentoo,Torgersen,male,2007
39.5,16.7,178,3250,Chinstrap,Torgersen,female,2007
36.4,17,195,3325,Chinstrap,Torgersen,female,2007
39.2,21.1,196,4150,Chinstrap,Dream,male,2007
37.6,19.3,181,3300,Chinstrap,Torgersen,female,2007
40.8,18.4,195,3900,Chinstrap,Dream,male,2007
36,18.5,186,3100,Chinstrap,Torgersen,female,2007
39.6,18.8,190,4600,Chinstrap,Dream,male,2007
41.1,19,182,3425,Chinstrap,Dream,male,2007
36,17.9,190,3450,Chinstrap,Torgersen,female,2007
39.6,17.7,186,3500,Adelie,Torgersen,male,2008
40.1,18.9,188,4300,Gentoo,Torgersen,male,2008
34.5,18.1,187,2900,Adelie,Torgersen,male,2008
36.5,16.6,181,2850,Adelie,Torgersen,male,2008
41.3,21.1,195,4400,Gentoo,Torgersen,male,2008
37.6,17,185,3600,Adelie,Torgersen,male,2008
36.4,17.1,184,2850,Adelie,Torgersen,male,2008
35.5,16.2,195,3350,Adelie,Torgersen,male,2008
39.7,18.4,190,3900,Adelie,Torgersen,male,2008
39.6,17.2,196,3550,Adelie,Torgersen,female,2008
45.8,18.9,197,4150,Adelie,Torgersen,male,2008
35.5,17.5,190,3700,Adelie,Torgersen,female,2008
40.9,16.8,191,3700,Adelie,Torgersen,female,2008
34.6,17.2,189,3200,Adelie,Torgersen,female,2008
37.3,17.8,191,3350,Adelie,Torgersen,male,2008
38.1,18.6,190,3700,Adelie,Torgersen,male,2008
37.7,16,183,3075,Adelie,Torgersen,female,2009
37.8,20,190,4250,Gentoo,Torgersen,male,2009
38.2,20,190,3900,Gentoo,Torgersen,male,2009
43.2,19,197,4775,Gentoo,Torgersen,male,2009
42.2,19.5,197,4275,Gentoo,Torgersen,male,2009
42.7,18.3,196,4075,Gentoo,Torgersen,male,2009
37.3,20.5,199,3775,Adelie,Torgersen,female,2009
35.7,17,189,3350,Adelie,Torgersen,female,2009
41.4,18.5,202,3875,Adelie,Torgersen,female,2009
41.5,18.3,195,4300,Adelie,Torgersen,female,2009
39,17.1,191,3050,Adelie,Torgersen,female,2009
36.8,18.5,193,3500,Chinstrap,Torgersen,female,2009
41.1,17.5,190,3900,Chinstrap,Dream,male,2009
40.2,20.1,200,3975,Chinstrap,Dream,male,2009
37,16.5,185,3400,Chinstrap,Torgersen,female,2009
39.7,17.9,193,4250,Chinstrap,Dream,male,2009
40.2,17.1,193,3400,Chinstrap,Torgersen,female,2009
40.6,17.2,187,3475,Chinstrap,Dream,male,2009
40.7,17,190,3725,Chinstrap,Dream,male,2009
36.6,18.4,184,3475,Chinstrap,Torgersen,female,2009
47.6,14.5,215,5400,Gentoo,Biscoe,male,2007
45.4,14.6,211,4800,Gentoo,Biscoe,female,2007
46.7,15.3,219,5200,Gentoo,Biscoe,male,2007
40.9,13.7,214,4650,Gentoo,Biscoe,female,2007
49.3,15.7,217,5850,Gentoo,Biscoe,male,2007
46.3,15.8,215,5050,Gentoo,Biscoe,male,2007
42.9,13.1,215,5000,Gentoo,Biscoe,female,2007
46.1,15.1,215,5100,Gentoo,Biscoe,male,2007
48.2,14.3,210,4600,Gentoo,Biscoe,female,2007
50,15.3,220,5550,Gentoo,Biscoe,male,2007
47.3,15.3,222,5250,Gentoo,Biscoe,male,2007
42.6,13.7,213,4950,Gentoo,Biscoe,male,2008
42.7,13.7,208,3950,Gentoo,Biscoe,male,2008
49.6,15,216,4750,Gentoo,Biscoe,male,2008
45.5,13.9,210,4200,Gentoo,Biscoe,male,2008
46.6,14.2,210,4850,Gentoo,Biscoe,male,2008
45.1,14.4,210,4400,Gentoo,Biscoe,male,2008
50.1,15,225,5000,Gentoo,Biscoe,male,2008
43.8,13.9,208,4300,Gentoo,Biscoe,male,2008
45.5,15,220,5000,Gentoo,Biscoe,male,2008
43.2,14.5,208,4450,Gentoo,Biscoe,male,2008
50.4,15.3,224,5550,Gentoo,Biscoe,male,2008
45.3,13.8,208,4200,Gentoo,Biscoe,male,2008
45.7,13.9,214,4400,Gentoo,Biscoe,male,2008
45.8,14.2,219,4700,Gentoo,Biscoe,male,2008
43.5,14.2,220,4700,Gentoo,Biscoe,male,2008
47.7,15,216,4750,Gentoo,Biscoe,male,2008
46.4,15.6,221,5000,Gentoo,Biscoe,male,2008
45.2,13.8,215,4750,Gentoo,Biscoe,male,2008
47.4,14.6,212,4725,Gentoo,Biscoe,female,2009
50,15.9,224,5350,Gentoo,Biscoe,male,2009
50.8,17.3,228,5600,Gentoo,Biscoe,male,2009
43.4,14.4,218,4600,Gentoo,Biscoe,female,2009
52.1,17,230,5550,Gentoo,Biscoe,male,2009
45.5,14.5,212,4750,Gentoo,Biscoe,female,2009
44.5,14.7,214,4850,Gentoo,Biscoe,female,2009
49.4,15.8,216,4925,Gentoo,Biscoe,male,2009
46.9,14.6,222,4875,Gentoo,Biscoe,female,2009
48.4,14.4,203,4625,Gentoo,Biscoe,female,2009
