bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,island,sex,year
45.2,18.1,182,4600,Chinstrap,Dream,female,2009
38.5,14.4,191,3275,Chinstrap,Dream,female,2009
46.4,15.9,228,4875,Chinstrap,Dream,female,2009
40.2,17.1,196,5700,Gentoo,Biscoe,male,2008
50.5,17,190,4925,Gentoo,Biscoe,male,2008
46.1,19,188,3700,Gentoo,Biscoe,male,2008
42.5,19.8,198,5650,Gentoo,Biscoe,male,2008
45.8,15.9,197,4400,Chinstrap,Dream,female,2009
46.5,17.9,181,3550,Chinstrap,Dream,female,2009
47.3,15.2,196,6300,Chinstrap,Dream,female,2009
50.9,18.8,231,4475,Chinstrap,Dream,female,2009
44,19.1,193,3050,Chinstrap,Dream,female,2009
46.2,15.8,216,3650,Chinstrap,Dream,female,2009
50.5,19.5,205,3950,Chinstrap,Dream,female,2009
49,17.3,216,4800,Chinstrap,Dream,female,2009
38.7,18.8,191,3950,Gentoo,Biscoe,male,2008
37.8,17,190,3800,Gentoo,Biscoe,male,2008
37.9,15,191,5700,Gentoo,Biscoe,male,2008
39.2,20.8,197,4800,Gentoo,Biscoe,male,2008
49.4,13.7,217,4300,Gentoo,Biscoe,male,2008
40.2,17.1,192,4600,Gentoo,Biscoe,male,2008
36.3,16.3,228,4550,Chinstrap,Dream,female,2009
41.6,18.3,215,3950,Chinstrap,Dream,female,2009
46.5,14.6,188,3700,Chinstrap,Dream,female,2009
44.9,20,208,3900,Chinstrap,Dream,female,2009
40.5,18.6,190,4350,Chinstrap,Dream,female,2009
50.8,16.6,193,6050,Chinstrap,Dream,female,2009
58,18.2,194,5500,Chinstrap,Dream,female,2009
38.5,16.1,191,3725,Chinstrap,Dream,female,2009
37.2,14.6,210,3775,Chinstrap,Dream,female,2009
52.5,15.3,217,4700,Gentoo,Biscoe,male,2008
35.5,14.6,212,3875,Gentoo,Biscoe,male,2008
50.8,17,214,4750,Gentoo,Biscoe,male,2008
54.2,17.8,230,3975,Gentoo,Biscoe,male,2008
46.5,16.2,195,4800,Gentoo,Biscoe,male,2008
47,15,217,3725,Gentoo,Biscoe,male,2008
51.9,17,198,4150,Gentoo,Biscoe,male,2008
52.5,21.1,190,3325,Gentoo,Biscoe,male,2008
38.7,19.9,190,4950,Gentoo,Biscoe,male,2008
48.2,13.2,195,4900,Gentoo,Biscoe,male,2008
45.2,16.6,214,3550,Gentoo,Biscoe,male,2008
36.3,13.7,230,4600,Chinstrap,Dream,female,2009
42.6,19.4,195,4300,Chinstrap,Dream,female,2009
40.9,18.8,189,4800,Chinstrap,Dream,female,2009
34,13.7,208,3600,Chinstrap,Dream,female,2009
40.9,18.1,199,2850,Chinstrap,Dream,female,2009
40.6,18.8,189,4300,Chinstrap,Dream,female,2009
38.6,15.7,210,3450,Chinstrap,Dream,female,2009
54.2,14.6,190,4900,Chinstrap,Dream,female,2009
50.2,20.3,212,3875,Chinstrap,Dream,female,2009
36,21.1,219,3550,Chinstrap,Dream,female,2009
37.5,15.2,212,4600,Chinstrap,Dream,female,2009
51.5,17.9,230,3700,Chinstrap,Dream,female,2009
46.4,16.1,188,3400,Chinstrap,Dream,female,2009
41,15.7,210,3725,Chinstrap,Dream,female,2009
34.4,18,228,4400,Chinstrap,Dream,female,2009
53.5,15.3,214,4400,Chinstrap,Dream,female,2009
40.6,18.1,190,5600,Gentoo,Biscoe,male,2008
35.5,18.2,181,3750,Gentoo,Biscoe,male,2008
43.6,20.8,181,3450,Gentoo,Biscoe,male,2008
50.2,14.2,197,4700,Gentoo,Biscoe,male,2008
44.5,14.6,197,4050,Gentoo,Biscoe,male,2008
45.4,18.6,228,3800,Gentoo,Biscoe,male,2008
34.6,15.6,190,3325,Gentoo,Biscoe,male,2008
39.5,13.2,217,3950,Gentoo,Biscoe,male,2008
36.2,17.9,210,3800,Gentoo,Biscoe,male,2008
42.9,17.8,212,3675,Gentoo,Biscoe,male,2008
40.7,16.8,195,4950,Gentoo,Biscoe,male,2008
41.3,14.8,192,4700,Gentoo,Biscoe,male,2008
36.8,17.2,191,3500,Gentoo,Biscoe,male,2008
36,18.5,228,3700,Gentoo,Biscoe,male,2008
47.7,13.1,228,5500,Gentoo,Biscoe,male,2008
38.9,19,211,3950,Gentoo,Biscoe,male,2008
36,18.5,191,4550,Gentoo,Biscoe,male,2008
44.1,13.8,193,5100,Gentoo,Biscoe,male,2008
34.6,17.1,189,2900,Gentoo,Biscoe,male,2008
45.5,15.7,230,3650,Gentoo,Biscoe,male,2008
36,18.7,223,4250,Gentoo,Biscoe,male,2008
36.2,18,190,2925,Gentoo,Biscoe,male,2008
37.3,17.8,174,2925,Gentoo,Biscoe,male,2008
47.6,18.6,194,3450,Gentoo,Biscoe,male,2008
36.5,16.2,190,5000,Gentoo,Biscoe,male,2008
37.7,18.5,212,3400,Gentoo,Biscoe,male,2008
40.7,21.1,225,5800,Gentoo,Biscoe,male,2008
35.7,16.1,197,4700,Gentoo,Biscoe,male,2008
45.2,13.9,184,4500,Gentoo,Biscoe,male,2008
50.9,18.5,212,3450,Gentoo,Biscoe,male,2008
37.5,15.3,191,3000,Gentoo,Biscoe,male,2008
49.6,15.7,223,3050,Gentoo,Biscoe,male,2008
46.5,20,190,3500,Gentoo,Biscoe,male,2008
45.5,17.5,198,6050,Gentoo,Biscoe,male,2008
45.2,14.2,213,5300,Gentoo,Biscoe,male,2008
39.6,19.9,195,4700,Gentoo,Biscoe,male,2008
50.2,15.2,202,4150,Gentoo,Biscoe,male,2008
34.6,15.9,192,3050,Gentoo,Biscoe,male,2008
35.9,15.2,181,4750,Gentoo,Biscoe,male,2008
54.3,17.5,190,3850,Gentoo,Biscoe,male,2008
49.4,20,212,3600,Gentoo,Biscoe,male,2008
49.3,17.9,195,3650,Gentoo,Biscoe,male,2008
37.9,17,214,3450,Gentoo,Biscoe,male,2008
40.9,17.9,197,4800,Chinstrap,Dream,female,2009
35.9,18.1,200,4300,Chinstrap,Dream,female,2009
46.5,19.7,195,5000,Chinstrap,Dream,female,2009
50.5,17.1,217,5400,Chinstrap,Dream,female,2009
46,14.7,220,4550,Chinstrap,Dream,female,2009
41.1,19,198,5850,Chinstrap,Dream,female,2009
45.4,18.5,188,6000,Chinstrap,Dream,female,2009
49.2,17.9,216,3600,Chinstrap,Dream,female,2009
53.5,19.8,215,3550,Chinstrap,Dream,female,2009
45.5,17.3,219,4250,Chinstrap,Dream,female,2009
49.9,18.8,195,3500,Chinstrap,Dream,female,2009
48.1,19,215,3050,Chinstrap,Dream,female,2009
49.4,14.1,205,3450,Chinstrap,Dream,female,2009
38.7,17.3,180,4300,Chinstrap,Dream,female,2009
42.6,19.1,215,3800,Chinstrap,Dream,female,2009
46.5,15.3,228,3875,Chinstrap,Dream,female,2009
41.1,13.7,187,5000,Chinstrap,Dream,female,2009
38.6,20.3,196,4450,Chinstrap,Dream,female,2009
54.3,20,216,4850,Chinstrap,Dream,female,2009
38.2,16.1,192,4950,Chinstrap,Dream,female,2009
40.3,17.1,189,4700,Chinstrap,Dream,female,2009
34.4,17.1,208,3400,Chinstrap,Dream,female,2009
37,18.6,192,4700,Chinstrap,Dream,female,2009
43.5,14.5,191,3450,Chinstrap,Dream,female,2009
51.3,17.7,213,6050,Chinstrap,Dream,female,2009
40.2,17.2,201,5000,Chinstrap,Dream,female,2009
38.7,17.1,193,4750,Chinstrap,Dream,female,2009
37.9,17,196,4750,Chinstrap,Dream,female,2009
41.1,13.9,195,5350,Chinstrap,Dream,female,2009
49.3,17.9,220,3350,Chinstrap,Dream,female,2009
