bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,island,sex,year
39.5,17.4,186,3800,Adelie,Torgersen,female,2007
42.5,20.7,197,4500,Adelie,Torgersen,female,2007
46,21.5,194,4200,Adelie,Torgersen,female,2007
37.7,18.7,180,3600,Adelie,Torgersen,male,2007
35.3,18.9,187,3800,Adelie,Torgersen,female,2007
40.6,18.6,183,3550,Adelie,Torgersen,male,2007
37.9,18.6,172,3150,Adelie,Torgersen,female,2007
37.2,18.1,178,3900,Adelie,Torgersen,male,2009
39.5,17.8,188,3300,Chinstrap,Torgersen,female,2007
38.8,20,190,3950,Adelie,Torgersen,male,2009
42.2,18.5,180,3550,Chinstrap,Torgersen,female,2007
37.6,19.3,181,3300,Chinstrap,Torgersen,female,2007
36,18.5,186,3100,Chinstrap,Torgersen,female,2007
41.1,19,182,3425,Adelie,Torgersen,male,2009
42.3,21.2,191,4150,Adelie,Torgersen,male,2009
40.1,18.9,188,4300,Adelie,Torgersen,male,2008
34.5,18.1,187,2900,Gentoo,Torgersen,female,2007
40.6,18.8,193,3800,Adelie,Torgersen,male,2008
35.7,16.9,185,3150,Gentoo,Torgersen,female,2007
37.6,17,185,3600,Gentoo,Torgersen,female,2007
36.4,17.1,184,2850,Gentoo,Torgersen,female,2007
41.8,19.4,198,4450,Adelie,Torgersen,male,2008
33.5,19,190,3600,Adelie,Torgersen,female,2007
42.8,18.5,195,4250,Adelie,Torgersen,male,2008
40.9,16.8,191,3700,Adelie,Torgersen,female,2007
42.1,19.1,195,4000,Adelie,Torgersen,male,2008
36.7,18.8,187,3800,Adelie,Torgersen,female,2007
35.1,19.4,193,4200,Adelie,Torgersen,male,2008
36.9,18.6,189,3500,Chinstrap,Torgersen,female,2007
43.2,18.5,192,4100,Adelie,Dream,male,2009
37.7,16,183,3075,Adelie,Torgersen,female,2007
39.7,18.9,184,3550,Adelie,Torgersen,male,2008
38.6,17.2,199,3750,Adelie,Torgersen,female,2007
38.2,20,190,3900,Adelie,Torgersen,male,2008
38.1,17,181,3175,Adelie,Torgersen,female,2007
43.2,19,197,4775,Adelie,Torgersen,male,2008
38.1,16.5,198,3825,Adelie,Torgersen,female,2007
39.7,17.7,193,3200,Adelie,Torgersen,female,2007
42.2,19.5,197,4275,Adelie,Torgersen,male,2008
39.6,20.7,191,3900,Adelie,Torgersen,female,2007
42.7,18.3,196,4075,Adelie,Torgersen,male,2008
35.7,17,189,3350,Adelie,Torgersen,female,2007
36.2,17.2,187,3150,Adelie,Torgersen,female,2007
35.2,15.9,186,3050,Adelie,Torgersen,female,2007
41.5,18.3,195,4300,Adelie,Torgersen,male,2008
44.1,18,210,4000,Adelie,Torgersen,male,2008
43.1,19.2,197,3500,Adelie,Torgersen,male,2008
38.1,17.6,187,3425,Chinstrap,Dream,female,2009
41.1,17.5,190,3900,Chinstrap,Dream,male,2009
35.6,17.5,191,3175,Chinstrap,Dream,female,2009
37,16.5,185,3400,Chinstrap,Dream,female,2009
40.2,17.1,193,3400,Chinstrap,Dream,female,2009
40.6,17.2,187,3475,Chinstrap,Dream,male,2009
39,18.7,185,3650,Chinstrap,Dream,male,2009
36.6,18.4,184,3475,Chinstrap,Dream,female,2009
37.8,18.1,193,3750,Chinstrap,Dream,male,2009
41.5,18.5,201,4000,Chinstrap,Dream,male,2009
48.7,14.1,210,4450,Gentoo,Biscoe,female,2007
50,15.2,218,5700,Gentoo,Biscoe,female,2008
46.5,13.5,210,4550,Gentoo,Biscoe,female,2007
46.7,15.3,219,5200,Gentoo,Biscoe,female,2008
43.3,13.4,209,4400,Gentoo,Biscoe,female,2007
49,16.1,216,5550,Gentoo,Biscoe,female,2008
45.5,13.7,214,4650,Gentoo,Biscoe,female,2007
48.4,14.6,213,5850,Gentoo,Biscoe,female,2008
45.8,14.6,210,4200,Gentoo,Biscoe,female,2007
42,13.5,210,4150,Gentoo,Biscoe,female,2007
46.2,14.5,209,4800,Gentoo,Biscoe,female,2007
46.3,15.8,215,5050,Gentoo,Biscoe,female,2008
46.1,15.1,215,5100,Gentoo,Biscoe,female,2008
48.2,14.3,210,4600,Gentoo,Biscoe,female,2007
42.8,14.2,209,4700,Gentoo,Biscoe,female,2007
45.1,14.5,207,5050,Gentoo,Biscoe,female,2007
49.1,14.8,220,5150,Gentoo,Biscoe,female,2008
45.5,13.9,210,4200,Gentoo,Biscoe,female,2008
46.6,14.2,210,4850,Gentoo,Biscoe,female,2008
45.1,14.4,210,4400,Gentoo,Biscoe,female,2008
45,15.4,220,5050,Gentoo,Biscoe,male,2008
43.8,13.9,208,4300,Gentoo,Biscoe,female,2008
45.3,13.8,208,4200,Gentoo,Biscoe,female,2008
46.2,14.9,221,5300,Gentoo,Biscoe,male,2008
50.7,15,223,5550,Gentoo,Biscoe,male,2008
46.4,15.6,221,5000,Gentoo,Biscoe,male,2008
48.6,16,230,5800,Gentoo,Biscoe,male,2008
51.1,16.3,220,6000,Gentoo,Biscoe,male,2008
49.1,14.5,212,4625,Gentoo,Biscoe,female,2008
50,15.9,224,5350,Gentoo,Biscoe,male,2008
51.3,14.2,218,5300,Gentoo,Biscoe,male,2008
47.5,14,212,4875,Gentoo,Biscoe,female,2008
52.1,17,230,5550,Gentoo,Biscoe,male,2008
47.5,15,218,4950,Gentoo,Biscoe,female,2008
48.5,15,219,4850,Gentoo,Biscoe,female,2008
55.9,17,228,5600,Gentoo,Biscoe,male,2008
49.1,15,228,5500,Gentoo,Biscoe,male,2008
43.3,14,208,4575,Gentoo,Biscoe,female,2008
50.5,15.2,216,5000,Gentoo,Biscoe,female,2008
43.5,15.2,213,4650,Gentoo,Biscoe,female,2008
55.1,16,230,5850,Gentoo,Biscoe,male,2008
46.8,14.3,215,4850,Gentoo,Biscoe,female,2008
50.4,15.7,222,5750,Gentoo,Biscoe,male,2008
50,19.5,196,3900,Chinstrap,Dream,female,2009
45.4,18.7,188,3525,Chinstrap,Dream,female,2007
52.7,19.8,197,3725,Chinstrap,Dream,female,2009
45.2,17.8,198,3950,Chinstrap,Dream,female,2007
46.1,18.2,178,3250,Chinstrap,Dream,female,2007
51.3,18.2,197,3750,Chinstrap,Dream,female,2009
51.3,19.9,198,3700,Chinstrap,Dream,female,2009
51.7,20.3,194,3775,Chinstrap,Dream,female,2009
52,18.1,201,4050,Chinstrap,Dream,female,2009
45.9,17.1,190,3575,Chinstrap,Dream,female,2007
50.5,19.6,201,4050,Chinstrap,Dream,female,2009
46.4,18.6,190,3450,Chinstrap,Dream,female,2007
42.4,17.3,181,3600,Chinstrap,Dream,female,2007
43.2,16.6,187,2900,Chinstrap,Dream,female,2007
50.6,19.4,193,3800,Chinstrap,Dream,female,2009
50.5,18.4,200,3400,Chinstrap,Dream,female,2009
46.4,17.8,191,3700,Chinstrap,Dream,female,2009
40.9,16.6,187,3200,Chinstrap,Dream,female,2009
42.5,16.7,187,3350,Chinstrap,Dream,female,2009
51,18.8,203,4100,Chinstrap,Dream,male,2009
47.5,16.8,199,3900,Chinstrap,Dream,female,2009
52,20.7,210,4800,Chinstrap,Dream,male,2009
46.9,16.6,192,2700,Chinstrap,Dream,female,2009
49,19.5,210,3950,Chinstrap,Dream,male,2009
50.9,19.1,196,3550,Chinstrap,Dream,male,2009
50.8,18.5,201,4450,Chinstrap,Dream,male,2009
48.1,16.4,199,3325,Chinstrap,Dream,female,2009
51.4,19,201,3950,Chinstrap,Dream,male,2009
50.7,19.7,203,4050,Chinstrap,Dream,male,2009
49.3,19.9,203,4050,Chinstrap,Dream,male,2009
