bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,island,sex,year
39.1,18.7,181,3750,Adelie,Torgersen,male,2008
36.7,19.3,193,3450,Adelie,Torgersen,female,2009
38.9,17.8,181,3625,Adelie,Torgersen,female,2009
41.1,17.6,182,3200,Adelie,Torgersen,female,2009
36.6,17.8,185,3700,Adelie,Torgersen,female,2009
38.7,19,195,3450,Adelie,Torgersen,female,2009
42.5,20.7,197,4500,Adelie,Torgersen,male,2008
34.4,18.4,184,3325,Adelie,Torgersen,female,2009
37.7,18.7,180,3600,Adelie,Torgersen,male,2008
35.9,19.2,189,3800,Adelie,Torgersen,female,2009
38.8,17.2,180,3800,Adelie,Torgersen,male,2008
37.9,18.6,172,3150,Adelie,Torgersen,female,2009
40.5,18.9,180,3950,Adelie,Torgersen,male,2008
37.2,18.1,178,3900,Chinstrap,Dream,male,2008
40.9,18.9,184,3900,Chinstrap,Dream,male,2008
39.2,21.1,196,4150,Chinstrap,Dream,male,2008
38.8,20,190,3950,Chinstrap,Dream,male,2008
42.2,18.5,180,3550,Chinstrap,Dream,female,2007
40.8,18.4,195,3900,Chinstrap,Dream,male,2008
39.6,18.8,190,4600,Chinstrap,Dream,male,2008
36,17.9,190,3450,Chinstrap,Dream,female,2007
42.3,21.2,191,4150,Chinstrap,Dream,male,2008
35,17.9,190,3450,Adelie,Torgersen,male,2008
42,19.5,200,4050,Adelie,Torgersen,male,2008
39,17.5,186,3550,Adelie,Torgersen,male,2008
40.6,18.8,193,3800,Adelie,Torgersen,male,2008
41.3,21.1,195,4400,Adelie,Torgersen,male,2008
37.6,17,185,3600,Adelie,Torgersen,male,2008
36.4,17.1,184,2850,Adelie,Torgersen,male,2008
35.5,16.2,195,3350,Adelie,Torgersen,male,2008
41.1,19.1,188,4100,Adelie,Torgersen,male,2008
33.5,19,190,3600,Adelie,Torgersen,male,2008
39.7,18.4,190,3900,Adelie,Torgersen,male,2008
35.5,17.5,190,3700,Adelie,Torgersen,male,2008
40.9,16.8,191,3700,Adelie,Torgersen,male,2008
42.9,17.6,196,4700,Adelie,Torgersen,male,2008
37.3,17.8,191,3350,Adelie,Torgersen,female,2007
38.3,19.2,189,3950,Adelie,Torgersen,male,2008
38.9,18.8,190,3600,Adelie,Torgersen,female,2007
35.7,18,202,3550,Adelie,Torgersen,female,2007
43.2,18.5,192,4100,Adelie,Torgersen,male,2008
41,20,203,4725,Adelie,Torgersen,female,2009
37.7,16,183,3075,Adelie,Torgersen,female,2009
43.2,19,197,4775,Adelie,Torgersen,female,2009
38.1,16.5,198,3825,Adelie,Torgersen,female,2009
45.6,20.3,191,4600,Adelie,Torgersen,female,2009
42.2,19.5,197,4275,Adelie,Torgersen,female,2009
39.6,20.7,191,3900,Adelie,Torgersen,female,2009
40.2,17,176,3450,Adelie,Torgersen,female,2009
38.8,17.6,191,3275,Adelie,Torgersen,female,2009
41.5,18.3,195,4300,Adelie,Torgersen,male,2009
39,17.1,191,3050,Adelie,Torgersen,female,2009
36.8,18.5,193,3500,Adelie,Torgersen,female,2009
37.5,18.5,199,4475,Adelie,Torgersen,female,2009
40.2,17.1,193,3400,Adelie,Torgersen,female,2009
40.7,17,190,3725,Adelie,Torgersen,female,2009
39,18.7,185,3650,Adelie,Torgersen,female,2009
36,17.8,195,3450,Adelie,Torgersen,female,2009
