bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,island,sex,year
39.1,18.7,181,3750,Adelie,Torgersen,female,2008
36.7,19.3,193,3450,Adelie,Torgersen,female,2007
34.6,21.1,198,4400,Adelie,Torgersen,female,2008
36.6,17.8,185,3700,Adelie,Torgersen,female,2007
35.9,19.2,189,3800,Gentoo,Torgersen,female,2007
39.5,17.8,188,3300,Chinstrap,Dream,female,2007
36.4,17,195,3325,Chinstrap,Dream,female,2007
39.2,21.1,196,4150,Chinstrap,Dream,female,2007
44.1,19.7,196,4400,Chinstrap,Dream,female,2007
37,16.9,185,3000,Chinstrap,Dream,female,2007
41.1,19,182,3425,Chinstrap,Dream,female,2007
42.3,21.2,191,4150,Chinstrap,Dream,female,2007
39.6,17.7,186,3500,Adelie,Torgersen,female,2007
34.5,18.1,187,2900,Adelie,Torgersen,female,2007
41.3,21.1,195,4400,Adelie,Torgersen,male,2009
37.6,17,185,3600,Adelie,Torgersen,female,2007
35.5,16.2,195,3350,Adelie,Torgersen,female,2007
41.1,19.1,188,4100,Adelie,Torgersen,male,2009
39.7,18.4,190,3900,Adelie,Torgersen,male,2008
35.5,17.5,190,3700,Adelie,Torgersen,female,2008
36.2,16.1,187,3550,Adelie,Torgersen,female,2008
36.7,18.8,187,3800,Adelie,Torgersen,female,2008
35.1,19.4,193,4200,Adelie,Torgersen,male,2008
37.3,17.8,191,3350,Chinstrap,Torgersen,female,2007
41.3,20.3,194,3550,Chinstrap,Torgersen,male,2009
36.3,19.5,190,3800,Chinstrap,Torgersen,male,2009
38.9,18.8,190,3600,Chinstrap,Torgersen,female,2007
41.1,18.1,205,4300,Chinstrap,Torgersen,male,2009
40.8,18.9,208,4300,Chinstrap,Torgersen,male,2009
33.1,16.1,178,2900,Chinstrap,Torgersen,female,2007
43.2,18.5,192,4100,Chinstrap,Torgersen,male,2009
35,17.9,192,3725,Adelie,Torgersen,male,2009
38.6,17.2,199,3750,Adelie,Torgersen,male,2009
43.2,19,197,4775,Adelie,Torgersen,male,2009
37.3,20.5,199,3775,Adelie,Torgersen,male,2009
41.1,18.6,189,3325,Adelie,Torgersen,male,2009
36.2,17.2,187,3150,Adelie,Torgersen,male,2008
40.2,17,176,3450,Adelie,Torgersen,male,2008
38.8,17.6,191,3275,Adelie,Torgersen,male,2008
39,17.1,191,3050,Adelie,Torgersen,male,2008
38.5,17.9,190,3325,Adelie,Torgersen,male,2008
43.1,19.2,197,3500,Adelie,Torgersen,male,2009
38.1,17.6,187,3425,Chinstrap,Dream,male,2009
41.1,17.5,190,3900,Chinstrap,Dream,male,2009
37,16.5,185,3400,Chinstrap,Dream,male,2009
40.6,17.2,187,3475,Chinstrap,Dream,male,2009
32.1,15.5,188,3050,Chinstrap,Dream,male,2009
40.7,17,190,3725,Chinstrap,Dream,male,2009
37.3,16.8,192,3000,Chinstrap,Dream,male,2009
36.6,18.4,184,3475,Chinstrap,Dream,male,2009
36,17.1,187,3700,Chinstrap,Dream,male,2009
48.7,14.1,210,4450,Gentoo,Biscoe,female,2007
50,15.2,218,5700,Gentoo,Biscoe,female,2007
46.5,13.5,210,4550,Gentoo,Biscoe,female,2007
46.8,15.4,215,5150,Gentoo,Biscoe,female,2007
45.5,13.7,214,4650,Gentoo,Biscoe,female,2007
48.4,14.6,213,5850,Gentoo,Biscoe,female,2007
49.3,15.7,217,5850,Gentoo,Biscoe,female,2007
45.1,14.5,215,5000,Gentoo,Biscoe,female,2007
42.9,13.1,215,5000,Gentoo,Biscoe,female,2007
47.8,15,215,5650,Gentoo,Biscoe,female,2007
47.3,15.3,222,5250,Gentoo,Biscoe,female,2007
48.4,16.3,220,5400,Gentoo,Biscoe,male,2009
42.6,13.7,213,4950,Gentoo,Biscoe,female,2007
44,13.6,208,4350,Gentoo,Biscoe,female,2007
42.7,13.7,208,3950,Gentoo,Biscoe,female,2007
49.6,15,216,4750,Gentoo,Biscoe,male,2009
43.6,13.9,217,4900,Gentoo,Biscoe,female,2007
45.2,15.8,215,5300,Gentoo,Biscoe,male,2009
46.6,14.2,210,4850,Gentoo,Biscoe,female,2007
43.2,14.5,208,4450,Gentoo,Biscoe,female,2007
50.4,15.3,224,5550,Gentoo,Biscoe,male,2009
45.7,13.9,214,4400,Gentoo,Biscoe,female,2007
54.3,15.7,231,5650,Gentoo,Biscoe,male,2009
49.8,16.8,230,5700,Gentoo,Biscoe,male,2009
43.5,14.2,220,4700,Gentoo,Biscoe,female,2007
50.7,15,223,5550,Gentoo,Biscoe,male,2009
47.7,15,216,4750,Gentoo,Biscoe,female,2007
46.4,15.6,221,5000,Gentoo,Biscoe,male,2009
48.2,15.6,221,5100,Gentoo,Biscoe,male,2009
46.5,14.8,217,5200,Gentoo,Biscoe,female,2007
47.5,14.2,209,4600,Gentoo,Biscoe,female,2007
47.4,14.6,212,4725,Gentoo,Biscoe,male,2009
44.9,13.8,212,4750,Gentoo,Biscoe,male,2009
51.3,14.2,218,5300,Gentoo,Biscoe,male,2009
47.5,14,212,4875,Gentoo,Biscoe,male,2009
52.2,17.1,228,5400,Gentoo,Biscoe,male,2009
45.5,14.5,212,4750,Gentoo,Biscoe,male,2009
50.8,15.7,226,5200,Gentoo,Biscoe,male,2009
48.4,14.4,203,4625,Gentoo,Biscoe,male,2009
51.1,16.5,225,5250,Gentoo,Biscoe,male,2009
48.5,15,219,4850,Gentoo,Biscoe,male,2009
49.1,15,228,5500,Gentoo,Biscoe,male,2009
48.8,16.2,222,6000,Gentoo,Biscoe,male,2009
47.2,13.7,214,4925,Gentoo,Biscoe,male,2009
50.4,15.7,222,5750,Gentoo,Biscoe,male,2009
45.2,14.8,212,5200,Gentoo,Biscoe,male,2009
46.5,17.9,192,3500,Chinstrap,Dream,female,2007
50,19.5,196,3900,Chinstrap,Dream,female,2007
51.3,19.2,193,3650,Chinstrap,Dream,female,2007
45.4,18.7,188,3525,Chinstrap,Dream,female,2007
52.7,19.8,197,3725,Chinstrap,Dream,female,2007
46.1,18.2,178,3250,Chinstrap,Dream,female,2007
51.3,19.9,198,3700,Chinstrap,Dream,female,2007
46.6,17.8,193,3800,Chinstrap,Dream,female,2007
51.7,20.3,194,3775,Chinstrap,Dream,female,2007
42.4,17.3,181,3600,Chinstrap,Dream,female,2007
43.2,16.6,187,2900,Chinstrap,Dream,female,2007
46.4,17.8,191,3700,Chinstrap,Dream,female,2007
54.2,20.8,201,4300,Chinstrap,Dream,male,2009
49.7,18.6,195,3600,Chinstrap,Dream,male,2009
46.9,16.6,192,2700,Chinstrap,Dream,female,2007
50.9,19.1,196,3550,Chinstrap,Dream,male,2009
50.8,18.5,201,4450,Chinstrap,Dream,male,2009
49.8,17.3,198,3675,Chinstrap,Dream,male,2007
48.1,16.4,199,3325,Chinstrap,Dream,male,2007
51.4,19,201,3950,Chinstrap,Dream,male,2009
45.7,17.3,193,3600,Chinstrap,Dream,male,2007
42.5,17.3,187,3350,Chinstrap,Dream,male,2007
45.2,16.6,191,3250,Chinstrap,Dream,male,2007
55.8,19.8,207,4000,Chinstrap,Dream,male,2009
