V1,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
77516,1,State-gov,Masters,Divorced,Armed-Forces,Not-in-family,Asian-Pac-Islander,Female,0,1,2,Taiwan,<=50K
284582,3,Local-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,Black,Female,3,3,0,Hong,>50K
159449,3,Federal-gov,Doctorate,Married-AF-spouse,Armed-Forces,Husband,White,Male,3,3,3,Taiwan,>50K
141297,2,State-gov,Preschool,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,4,3,3,Taiwan,>50K
245487,1,Self-emp-not-inc,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,1,0,4,Mexico,<=50K
28887,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
76845,4,Without-pay,1st-4th,Married-spouse-absent,Machine-op-inspct,Other-relative,Other,Male,1,0,2,Mexico,<=50K
109015,4,Federal-gov,Assoc-voc,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,2,Haiti,<=50K
216851,3,Self-emp-inc,Doctorate,Married-AF-spouse,Protective-serv,Wife,White,Male,3,3,3,Italy,>50K
367260,1,Self-emp-not-inc,Prof-school,Divorced,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,4,4,4,Ireland,<=50K
193366,3,Without-pay,7th-8th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,3,2,Portugal,>50K
311512,0,Without-pay,11th,Married-AF-spouse,Other-service,Wife,Black,Female,3,3,0,Hong,<=50K
88506,4,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,4,4,Hungary,>50K
94638,3,Federal-gov,Assoc-voc,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,2,Haiti,<=50K
337895,3,Federal-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,3,3,3,Hong,>50K
271466,1,State-gov,Preschool,Divorced,Armed-Forces,Not-in-family,Other,Female,4,1,3,Ireland,<=50K
32275,0,Local-gov,1st-4th,Married-AF-spouse,Priv-house-serv,Wife,Other,Female,3,3,0,El-Salvador,>50K
251585,2,Self-emp-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,4,4,3,Ireland,>50K
188146,2,Federal-gov,5th-6th,Married-civ-spouse,Craft-repair,Husband,Other,Male,2,3,2,Laos,>50K
149640,3,Without-pay,7th-8th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,3,4,Portugal,>50K
116632,3,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Male,4,3,3,Taiwan,>50K
183175,1,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Black,Female,0,1,2,Outlying-US(Guam-USVI-etc),<=50K
211678,0,Private,12th,Never-married,Armed-Forces,Own-child,Other,Male,0,1,0,Holand-Netherlands,<=50K
32214,3,Federal-gov,Assoc-voc,Married-AF-spouse,Armed-Forces,Wife,Black,Male,2,3,2,Jamaica,>50K
125927,4,Without-pay,1st-4th,Widowed,Farming-fishing,Husband,Other,Male,1,4,4,Guatemala,>50K
410867,2,State-gov,Prof-school,Divorced,Prof-specialty,Wife,Other,Female,4,4,3,Taiwan,>50K
226296,3,Federal-gov,Doctorate,Married-AF-spouse,Armed-Forces,Wife,Other,Male,3,3,3,Ecuador,>50K
191277,4,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Male,4,4,3,Taiwan,>50K
249409,0,Federal-gov,12th,Married-AF-spouse,Armed-Forces,Own-child,Black,Female,0,0,0,Jamaica,<=50K
198282,3,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,4,3,Taiwan,>50K
149116,4,Self-emp-inc,Prof-school,Widowed,Prof-specialty,Not-in-family,White,Female,4,4,4,Holand-Netherlands,>50K
377869,4,Local-gov,11th,Married-AF-spouse,Adm-clerical,Wife,Black,Female,3,3,0,Hong,>50K
247552,4,Without-pay,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
118853,2,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,3,France,>50K
114937,2,Federal-gov,Assoc-voc,Married-AF-spouse,Armed-Forces,Wife,Black,Male,3,3,2,Hong,>50K
365739,1,Federal-gov,Assoc-voc,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,1,1,2,Ireland,<=50K
120985,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,3,4,Greece,>50K
56920,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,4,4,Greece,>50K
163127,3,Federal-gov,Assoc-acdm,Married-AF-spouse,Adm-clerical,Wife,Black,Female,3,3,0,Hong,>50K
66614,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,3,4,Greece,>50K
232782,0,Private,11th,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,0,0,0,Outlying-US(Guam-USVI-etc),<=50K
175374,0,Without-pay,11th,Married-AF-spouse,Other-service,Own-child,White,Male,1,2,0,Greece,<=50K
108293,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,0,Haiti,<=50K
187715,3,Without-pay,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,2,3,4,Portugal,>50K
228456,1,Local-gov,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,0,1,1,Honduras,<=50K
252752,0,Without-pay,11th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,0,0,Haiti,<=50K
88419,1,State-gov,Preschool,Married-spouse-absent,Tech-support,Other-relative,Asian-Pac-Islander,Female,0,1,2,South,<=50K
207157,1,Local-gov,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,0,1,1,Honduras,<=50K
54826,4,Without-pay,Prof-school,Widowed,Priv-house-serv,Wife,Black,Female,4,4,0,Hungary,<=50K
175325,2,Federal-gov,Assoc-voc,Married-AF-spouse,Armed-Forces,Husband,Black,Male,2,3,2,Laos,>50K
428030,1,Self-emp-inc,Bachelors,Never-married,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,4,1,3,Ireland,<=50K
183930,0,Without-pay,11th,Never-married,Other-service,Own-child,Black,Female,1,0,0,Greece,<=50K
181344,3,Federal-gov,Doctorate,Married-AF-spouse,Protective-serv,Wife,Black,Male,3,3,2,Hong,>50K
114580,1,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Black,Female,0,1,2,Outlying-US(Guam-USVI-etc),<=50K
633742,1,Private,Assoc-voc,Divorced,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,0,1,2,Ireland,<=50K
130760,2,Federal-gov,Doctorate,Married-AF-spouse,Armed-Forces,Wife,Black,Male,3,3,2,Hong,>50K
138992,2,State-gov,5th-6th,Married-AF-spouse,Prof-specialty,Wife,Other,Male,3,3,3,Ecuador,>50K
254817,1,State-gov,Masters,Divorced,Prof-specialty,Not-in-family,Black,Female,4,1,3,Holand-Netherlands,<=50K
48211,4,Federal-gov,Assoc-acdm,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,1,Haiti,<=50K
128757,3,Federal-gov,Doctorate,Married-AF-spouse,Protective-serv,Wife,Black,Male,3,3,2,Hong,>50K
