V1,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
77516,1,State-gov,Masters,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,1,1,2,Laos,<=50K
284582,2,State-gov,Doctorate,Married-AF-spouse,Adm-clerical,Wife,Other,Female,3,3,2,Hong,>50K
159449,3,Federal-gov,Bachelors,Married-civ-spouse,Armed-Forces,Wife,White,Male,3,3,3,Japan,>50K
141297,1,State-gov,Doctorate,Married-spouse-absent,Prof-specialty,Husband,Asian-Pac-Islander,Male,4,1,3,Taiwan,>50K
245487,4,Without-pay,1st-4th,Married-spouse-absent,Farming-fishing,Other-relative,Other,Male,1,2,4,Mexico,<=50K
28887,0,Self-emp-inc,11th,Married-civ-spouse,Sales,Husband,Other,Male,4,3,3,Ecuador,>50K
76845,2,Without-pay,5th-6th,Married-spouse-absent,Armed-Forces,Other-relative,Black,Male,2,2,4,Haiti,<=50K
109015,4,Federal-gov,Assoc-voc,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,2,Hungary,<=50K
216851,4,Local-gov,Masters,Widowed,Armed-Forces,Husband,White,Male,3,3,2,Hungary,>50K
367260,2,Self-emp-not-inc,Prof-school,Divorced,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,4,4,4,South,<=50K
193366,3,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,3,2,Portugal,>50K
311512,0,Without-pay,12th,Never-married,Armed-Forces,Own-child,Black,Female,3,2,0,Haiti,<=50K
88506,4,Without-pay,Prof-school,Married-AF-spouse,Farming-fishing,Husband,White,Male,4,3,4,Taiwan,>50K
94638,2,Federal-gov,HS-grad,Separated,Priv-house-serv,Unmarried,Black,Female,2,1,1,Haiti,<=50K
337895,3,Federal-gov,Masters,Widowed,Armed-Forces,Husband,Black,Male,3,3,3,Haiti,>50K
271466,1,State-gov,Preschool,Married-AF-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,Ireland,<=50K
32275,0,Private,1st-4th,Married-AF-spouse,Adm-clerical,Wife,Other,Female,3,1,0,Ecuador,>50K
251585,3,Federal-gov,Bachelors,Divorced,Armed-Forces,Not-in-family,White,Male,3,4,3,Holand-Netherlands,>50K
188146,1,Private,9th,Married-AF-spouse,Machine-op-inspct,Husband,White,Male,2,3,2,Laos,>50K
149640,3,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,2,3,2,Portugal,>50K
116632,3,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,4,3,3,Taiwan,>50K
183175,1,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,1,1,2,Ireland,<=50K
211678,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Female,1,1,0,Ireland,<=50K
32214,2,Without-pay,Assoc-voc,Married-AF-spouse,Armed-Forces,Wife,White,Male,2,3,2,Hong,>50K
125927,4,Without-pay,Preschool,Widowed,Farming-fishing,Husband,Other,Male,1,2,4,Ecuador,<=50K
410867,2,State-gov,Prof-school,Divorced,Prof-specialty,Not-in-family,Black,Female,4,4,3,Taiwan,>50K
226296,3,Local-gov,Masters,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3,2,2,Ecuador,>50K
191277,3,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,White,Male,4,3,4,Taiwan,>50K
