fnlwgt,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
104334,1,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Other-relative,Other,Male,0,2,2,Mexico,<=50K
111746,3,Local-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,4,4,3,Taiwan,>50K
76128,3,State-gov,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,3,France,>50K
318982,4,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,4,Greece,>50K
164395,4,Federal-gov,Doctorate,Widowed,Priv-house-serv,Unmarried,Black,Female,4,4,3,Hungary,>50K
35649,3,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Other,Male,4,3,3,Taiwan,>50K
116632,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,1,Honduras,<=50K
181372,3,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,3,3,Iran,>50K
362059,4,Without-pay,7th-8th,Widowed,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,1,4,4,Outlying-US(Guam-USVI-etc),>50K
199806,1,Federal-gov,Masters,Divorced,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,3,1,2,Jamaica,>50K
177307,0,Federal-gov,Assoc-voc,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,2,2,2,Laos,<=50K
190027,0,Without-pay,11th,Widowed,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,1,4,0,South,<=50K
162688,4,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,4,Greece,>50K
284916,4,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,3,4,Taiwan,>50K
33308,0,Self-emp-inc,Bachelors,Married-civ-spouse,Armed-Forces,Husband,White,Male,3,3,3,Iran,>50K
356934,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Other,Female,0,0,0,El-Salvador,<=50K
204984,3,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,4,3,3,Taiwan,>50K
226089,1,State-gov,Masters,Never-married,Armed-Forces,Own-child,Other,Female,3,1,2,Holand-Netherlands,<=50K
34102,3,Self-emp-inc,Prof-school,Married-spouse-absent,Priv-house-serv,Wife,Other,Female,4,4,3,France,>50K
81965,3,Federal-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,3,3,3,France,>50K
100135,4,Self-emp-inc,Prof-school,Widowed,Exec-managerial,Wife,White,Female,4,4,4,Greece,>50K
144361,2,Federal-gov,Masters,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3,3,3,Laos,>50K
212534,1,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,0,2,Mexico,<=50K
138847,3,Federal-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,2,3,Laos,>50K
177916,1,Federal-gov,5th-6th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,2,2,Laos,>50K
208174,3,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Other,Male,4,3,3,Taiwan,>50K
179981,1,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,2,1,2,Jamaica,<=50K
73411,3,Federal-gov,Masters,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,3,1,2,Thailand,>50K
242580,0,State-gov,11th,Never-married,Handlers-cleaners,Own-child,Other,Female,0,0,0,France,<=50K
117393,4,Without-pay,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
265230,2,Federal-gov,Assoc-voc,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,2,2,2,Laos,>50K
263561,0,Without-pay,11th,Never-married,Other-service,Own-child,Black,Female,1,0,0,Peru,<=50K
173651,4,Self-emp-inc,1st-4th,Married-civ-spouse,Priv-house-serv,Husband,Other,Male,4,4,4,Mexico,>50K
99679,3,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Other,Male,4,3,3,Taiwan,>50K
206686,3,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,3,France,>50K
92003,4,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
92775,3,Federal-gov,Assoc-voc,Widowed,Adm-clerical,Unmarried,Black,Female,1,1,2,Jamaica,<=50K
41591,4,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Other,Male,4,4,4,Taiwan,>50K
240517,0,Private,11th,Never-married,Armed-Forces,Own-child,Black,Female,0,1,0,Vietnam,<=50K
133201,4,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,3,4,Hungary,>50K
72294,4,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,0,Hungary,>50K
82242,1,Private,HS-grad,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,2,2,Jamaica,<=50K
173630,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Other,Male,0,0,0,El-Salvador,<=50K
214415,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,4,4,4,Greece,>50K
212276,4,Without-pay,Prof-school,Widowed,Farming-fishing,Husband,White,Male,4,4,4,Greece,>50K
27494,0,Private,11th,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,2,0,Peru,<=50K
240629,0,State-gov,Bachelors,Never-married,Armed-Forces,Own-child,Black,Female,3,1,2,France,<=50K
314007,2,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Other,Male,4,3,3,Taiwan,>50K
188274,0,Without-pay,11th,Never-married,Other-service,Own-child,Black,Female,0,0,0,El-Salvador,<=50K
181388,0,Private,11th,Never-married,Other-service,Own-child,Black,Female,0,0,0,Peru,<=50K
173991,2,Federal-gov,Assoc-voc,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3,3,3,Laos,>50K
116626,3,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,4,Greece,>50K
287420,1,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Black,Female,2,1,2,Jamaica,<=50K
219815,2,Federal-gov,Assoc-acdm,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,1,1,1,Philippines,<=50K
149337,0,Without-pay,11th,Never-married,Handlers-cleaners,Own-child,White,Female,1,0,0,South,<=50K
523067,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,3,4,Greece,>50K
121618,0,Private,Preschool,Never-married,Priv-house-serv,Other-relative,Other,Female,0,0,0,El-Salvador,<=50K
111128,0,Without-pay,Preschool,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,1,0,0,Guatemala,<=50K
272715,0,Without-pay,11th,Never-married,Farming-fishing,Own-child,White,Male,1,0,0,Greece,<=50K
176321,0,Without-pay,11th,Never-married,Handlers-cleaners,Own-child,White,Male,1,0,0,Peru,<=50K
287480,3,Without-pay,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,2,3,4,Portugal,>50K
342121,0,State-gov,11th,Never-married,Armed-Forces,Own-child,Other,Male,0,0,0,Holand-Netherlands,<=50K
169926,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,0,Thailand,<=50K
107991,4,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,4,Greece,>50K
127573,1,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,3,1,2,Jamaica,>50K
48915,4,Federal-gov,Doctorate,Widowed,Priv-house-serv,Unmarried,Black,Female,4,4,2,Honduras,>50K
70982,1,Federal-gov,Assoc-voc,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,2,2,2,Laos,>50K
131519,3,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,3,Iran,>50K
188949,0,State-gov,Bachelors,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,2,2,2,Ireland,>50K
123170,4,Without-pay,1st-4th,Widowed,Priv-house-serv,Unmarried,Other,Female,1,1,1,Honduras,<=50K
171615,0,Private,11th,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,2,0,Vietnam,<=50K
341995,3,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Other,Male,4,3,3,Taiwan,>50K
51185,2,Federal-gov,Masters,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,3,3,3,Iran,>50K
78605,4,Self-emp-not-inc,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,2,3,4,Mexico,>50K
188798,1,Federal-gov,Assoc-voc,Separated,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,2,2,2,Laos,<=50K
264055,4,Federal-gov,Doctorate,Widowed,Priv-house-serv,Unmarried,Black,Female,4,4,1,Hungary,>50K
112668,3,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,3,Taiwan,>50K
182054,4,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,4,4,4,Taiwan,>50K
153516,1,Federal-gov,Assoc-acdm,Separated,Priv-house-serv,Unmarried,Black,Female,1,1,1,Honduras,<=50K
323811,0,Private,5th-6th,Married-civ-spouse,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,2,2,Laos,<=50K
350400,1,Federal-gov,Assoc-voc,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,2,2,2,Laos,>50K
27620,2,Federal-gov,Masters,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3,3,3,Taiwan,>50K
213140,0,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,0,1,Mexico,<=50K
201145,1,Federal-gov,Assoc-voc,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,2,1,2,Jamaica,<=50K
115332,1,State-gov,Masters,Divorced,Prof-specialty,Wife,Other,Female,3,1,2,France,>50K
162884,4,Federal-gov,Assoc-acdm,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,1,Honduras,<=50K
244200,0,Without-pay,11th,Never-married,Handlers-cleaners,Own-child,Black,Female,0,0,0,Peru,<=50K
161819,4,Without-pay,1st-4th,Married-civ-spouse,Farming-fishing,Husband,Other,Male,4,4,4,Portugal,>50K
103110,3,Federal-gov,Assoc-acdm,Widowed,Adm-clerical,Unmarried,Black,Female,1,1,1,Jamaica,<=50K
193830,3,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Other,Male,4,3,3,Taiwan,>50K
161092,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Black,Male,1,0,0,Peru,<=50K
251243,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,0,Outlying-US(Guam-USVI-etc),<=50K
98719,4,Without-pay,HS-grad,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,1,Outlying-US(Guam-USVI-etc),<=50K
445382,1,Federal-gov,5th-6th,Separated,Machine-op-inspct,Unmarried,Black,Female,0,1,2,Jamaica,<=50K
185400,4,Federal-gov,Assoc-voc,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,2,Jamaica,<=50K
191856,0,State-gov,11th,Never-married,Armed-Forces,Own-child,Black,Female,0,0,0,Ireland,<=50K
130779,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,1,4,4,Thailand,>50K
245937,0,State-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Black,Female,0,1,1,Jamaica,<=50K
177374,3,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4,3,3,Taiwan,>50K
190257,3,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,3,3,Taiwan,>50K
115360,0,Without-pay,11th,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,2,0,Peru,<=50K
145439,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,3,4,Greece,>50K
325033,0,Without-pay,11th,Widowed,Priv-house-serv,Own-child,Black,Female,1,0,0,Honduras,<=50K
271075,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,1,Outlying-US(Guam-USVI-etc),<=50K
198145,0,State-gov,11th,Never-married,Armed-Forces,Own-child,Black,Female,0,0,0,Ireland,<=50K
203408,0,Private,1st-4th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,1,Honduras,<=50K
200968,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,1,Outlying-US(Guam-USVI-etc),<=50K
139180,4,Without-pay,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,2,3,4,Greece,>50K
33331,0,Without-pay,11th,Never-married,Other-service,Own-child,White,Female,1,0,0,El-Salvador,<=50K
237943,1,Without-pay,9th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,2,2,Laos,<=50K
194723,4,Without-pay,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
133169,4,Without-pay,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
168443,0,State-gov,Doctorate,Never-married,Prof-specialty,Own-child,Other,Female,4,4,0,France,>50K
266138,1,Private,5th-6th,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,2,2,2,Laos,<=50K
153885,0,State-gov,Assoc-acdm,Never-married,Armed-Forces,Own-child,Black,Female,0,1,0,Jamaica,<=50K
115605,0,State-gov,Prof-school,Never-married,Prof-specialty,Own-child,Other,Female,4,4,0,France,<=50K
23940,4,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,White,Male,4,4,4,Hungary,>50K
95256,3,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Other,Male,4,4,3,Taiwan,>50K
168747,1,State-gov,Masters,Never-married,Armed-Forces,Not-in-family,Other,Female,3,3,2,France,>50K
409230,0,Without-pay,11th,Never-married,Armed-Forces,Own-child,White,Female,0,0,0,Peru,<=50K
245053,4,Self-emp-inc,Prof-school,Widowed,Prof-specialty,Wife,White,Female,4,4,0,Hungary,>50K
422933,0,Private,11th,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,2,0,Vietnam,<=50K
193231,4,Without-pay,7th-8th,Widowed,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Female,1,4,4,Outlying-US(Guam-USVI-etc),<=50K
193285,1,Federal-gov,Assoc-acdm,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,0,1,2,Jamaica,<=50K
330664,4,Without-pay,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,4,4,Greece,>50K
594187,3,Local-gov,Doctorate,Widowed,Prof-specialty,Wife,Black,Female,4,4,3,France,>50K
177974,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,1,4,4,Greece,>50K
125856,0,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,0,1,Mexico,<=50K
220269,0,State-gov,Assoc-acdm,Never-married,Armed-Forces,Own-child,Black,Female,0,1,2,Jamaica,<=50K
356231,1,Federal-gov,HS-grad,Separated,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,1,1,2,Jamaica,<=50K
