V1,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
234721,0,Local-gov,9th,Separated,Handlers-cleaners,Other-relative,Black,Male,2,3,2,Haiti,<=50K
338409,3,Local-gov,1st-4th,Married-AF-spouse,Priv-house-serv,Wife,Other,Female,3,3,1,El-Salvador,>50K
141297,1,State-gov,Doctorate,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,3,3,3,China,>50K
122272,0,Without-pay,12th,Married-AF-spouse,Armed-Forces,Own-child,White,Female,0,0,0,Vietnam,<=50K
245487,4,Without-pay,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,1,0,4,Mexico,<=50K
28887,3,Self-emp-inc,Prof-school,Married-civ-spouse,Transport-moving,Husband,White,Male,4,3,3,Greece,>50K
292175,4,Self-emp-inc,Prof-school,Widowed,Prof-specialty,Unmarried,Black,Female,4,4,4,France,>50K
302146,3,Private,10th,Separated,Priv-house-serv,Unmarried,Black,Female,4,4,1,Haiti,<=50K
76845,4,Without-pay,1st-4th,Married-spouse-absent,Protective-serv,Husband,Other,Male,1,2,2,Mexico,<=50K
266015,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Black,Female,0,0,0,Haiti,<=50K
242406,3,Private,5th-6th,Separated,Priv-house-serv,Other-relative,Other,Female,0,0,1,Haiti,<=50K
197200,0,Private,12th,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,0,Outlying-US(Guam-USVI-etc),<=50K
265477,4,Without-pay,Doctorate,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,3,3,4,Hungary,>50K
88506,4,Self-emp-not-inc,Doctorate,Married-civ-spouse,Protective-serv,Husband,White,Male,4,3,4,Hungary,>50K
94638,3,Federal-gov,9th,Separated,Priv-house-serv,Unmarried,Black,Female,0,1,1,Haiti,<=50K
289980,0,Private,12th,Never-married,Handlers-cleaners,Own-child,Other,Male,0,0,0,Holand-Netherlands,<=50K
