fnlwgt,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
142332,0,State-gov,Masters,Divorced,Armed-Forces,Unmarried,Black,Female,3,1,2,Outlying-US(Guam-USVI-etc),<=50K
109430,4,Without-pay,Prof-school,Widowed,Farming-fishing,Husband,White,Male,4,4,4,Greece,>50K
238386,2,Local-gov,Doctorate,Married-spouse-absent,Priv-house-serv,Unmarried,Other,Female,4,4,2,Taiwan,>50K
425502,4,Without-pay,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,1,4,1,Guatemala,<=50K
340458,4,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
191754,2,State-gov,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,3,Taiwan,>50K
142719,2,Self-emp-inc,Prof-school,Married-civ-spouse,Armed-Forces,Husband,White,Male,3,3,3,Taiwan,>50K
120067,2,State-gov,Doctorate,Married-spouse-absent,Prof-specialty,Wife,Asian-Pac-Islander,Male,4,4,3,Taiwan,>50K
37778,4,Without-pay,11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Yugoslavia,>50K
197967,4,Local-gov,Doctorate,Widowed,Prof-specialty,Unmarried,Black,Female,4,4,3,Hungary,>50K
210148,3,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,4,4,3,Taiwan,>50K
140240,3,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,2,3,4,Yugoslavia,>50K
110172,4,Without-pay,7th-8th,Widowed,Adm-clerical,Unmarried,Black,Female,1,1,2,Trinadad&Tobago,<=50K
300195,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,1,0,0,Peru,<=50K
228057,4,Federal-gov,Assoc-voc,Widowed,Adm-clerical,Unmarried,Black,Female,2,1,2,Trinadad&Tobago,>50K
37345,1,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Not-in-family,Black,Female,3,1,2,Outlying-US(Guam-USVI-etc),>50K
186824,1,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,1,1,1,Guatemala,<=50K
161547,4,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,4,Greece,>50K
189775,1,Private,5th-6th,Married-spouse-absent,Machine-op-inspct,Other-relative,Other,Male,1,0,2,Mexico,<=50K
211840,0,Private,12th,Never-married,Handlers-cleaners,Own-child,Other,Female,0,0,0,Holand-Netherlands,<=50K
235847,3,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,4,3,3,Taiwan,>50K
241153,2,Local-gov,Masters,Divorced,Adm-clerical,Unmarried,Black,Female,3,1,2,Trinadad&Tobago,>50K
180383,2,Federal-gov,Assoc-voc,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,2,3,2,Cambodia,>50K
123515,4,Self-emp-inc,1st-4th,Married-spouse-absent,Priv-house-serv,Wife,Other,Female,4,4,3,Taiwan,>50K
168997,2,Local-gov,Masters,Married-AF-spouse,Prof-specialty,Wife,White,Female,4,3,3,France,>50K
143964,1,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,4,2,Guatemala,<=50K
