V1,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
234721,0,Private,9th,Separated,Armed-Forces,Other-relative,Black,Male,4,2,2,Haiti,<=50K
284582,3,Local-gov,Masters,Married-AF-spouse,Prof-specialty,Wife,Other,Female,3,3,1,Nicaragua,>50K
45781,3,Self-emp-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,Other,Female,4,4,3,Holand-Netherlands,>50K
280464,2,Self-emp-inc,Preschool,Married-civ-spouse,Armed-Forces,Husband,Black,Male,4,3,4,Haiti,>50K
292175,2,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Other,Female,4,4,4,Honduras,>50K
193524,3,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Husband,Other,Male,4,4,4,Taiwan,>50K
302146,3,Local-gov,11th,Separated,Priv-house-serv,Unmarried,Black,Female,0,4,1,Haiti,<=50K
216851,4,Without-pay,Masters,Widowed,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3,3,3,Trinadad&Tobago,>50K
367260,2,Self-emp-not-inc,Preschool,Divorced,Farming-fishing,Unmarried,White,Male,4,1,4,Honduras,<=50K
386940,1,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,3,1,3,Honduras,<=50K
59951,0,Federal-gov,Preschool,Married-AF-spouse,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,1,2,2,Trinadad&Tobago,<=50K
544091,0,Without-pay,Assoc-voc,Married-AF-spouse,Adm-clerical,Wife,Other,Female,2,3,1,Nicaragua,<=50K
265477,2,Without-pay,Prof-school,Married-AF-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,4,3,4,France,>50K
88506,4,Self-emp-not-inc,Prof-school,Married-AF-spouse,Farming-fishing,Husband,Other,Male,4,3,4,France,>50K
172987,0,Self-emp-inc,Bachelors,Married-civ-spouse,Armed-Forces,Husband,White,Male,3,3,3,Greece,>50K
289980,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Other,Male,1,0,0,Holand-Netherlands,<=50K
337895,4,Federal-gov,Prof-school,Widowed,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,4,3,2,Haiti,>50K
271466,1,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,Ireland,<=50K
51835,2,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,3,3,4,Honduras,>50K
251585,3,Federal-gov,Bachelors,Divorced,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,4,4,3,Holand-Netherlands,>50K
109832,3,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,4,4,3,Honduras,>50K
237993,2,Federal-gov,Assoc-voc,Married-AF-spouse,Armed-Forces,Wife,Amer-Indian-Eskimo,Male,3,3,2,Laos,>50K
216666,1,Federal-gov,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,3,0,2,Mexico,<=50K
147372,2,Federal-gov,Assoc-voc,Married-AF-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,2,3,4,Laos,>50K
188146,1,Private,9th,Married-AF-spouse,Machine-op-inspct,Husband,Other,Male,2,3,2,Laos,>50K
116632,3,State-gov,Prof-school,Married-AF-spouse,Prof-specialty,Husband,Other,Male,4,4,4,Taiwan,>50K
105598,1,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,0,1,3,Ireland,<=50K
169846,3,Without-pay,Assoc-voc,Married-AF-spouse,Adm-clerical,Wife,Other,Female,3,3,2,Nicaragua,>50K
101509,0,State-gov,11th,Never-married,Handlers-cleaners,Own-child,Other,Female,0,0,0,Taiwan,<=50K
162298,2,Self-emp-not-inc,Prof-school,Married-AF-spouse,Farming-fishing,Husband,White,Male,4,4,4,Thailand,>50K
32214,2,Federal-gov,Assoc-voc,Married-AF-spouse,Armed-Forces,Wife,Amer-Indian-Eskimo,Male,2,2,2,Laos,>50K
446839,0,Private,11th,Never-married,Sales,Own-child,Other,Female,0,1,0,Ireland,<=50K
276515,4,Self-emp-inc,1st-4th,Widowed,Priv-house-serv,Other-relative,Other,Male,3,3,3,El-Salvador,>50K
202051,3,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Other,Male,3,3,3,Taiwan,>50K
410867,3,Federal-gov,Prof-school,Married-AF-spouse,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,4,4,4,Holand-Netherlands,>50K
249977,4,Without-pay,Doctorate,Married-AF-spouse,Armed-Forces,Wife,Amer-Indian-Eskimo,Male,1,3,4,Hungary,>50K
286730,2,Private,HS-grad,Separated,Adm-clerical,Unmarried,Black,Female,0,1,1,Honduras,<=50K
191277,4,Self-emp-not-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Male,4,4,4,Taiwan,>50K
249409,0,Federal-gov,Preschool,Never-married,Armed-Forces,Other-relative,Black,Female,0,0,0,Haiti,<=50K
124191,4,Self-emp-inc,Masters,Widowed,Exec-managerial,Husband,White,Male,3,3,3,Portugal,>50K
149116,2,Local-gov,Doctorate,Divorced,Prof-specialty,Not-in-family,Other,Female,4,4,4,France,>50K
103432,1,Private,Assoc-voc,Never-married,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,1,1,2,Ireland,<=50K
