fnlwgt,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
247564,0,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Not-in-family,Black,Female,3,1,2,Scotland,<=50K
136841,0,Without-pay,5th-6th,Married-civ-spouse,Craft-repair,Husband,Other,Male,1,2,2,Portugal,<=50K
223944,2,State-gov,Doctorate,Married-AF-spouse,Prof-specialty,Unmarried,Other,Female,4,4,3,Holand-Netherlands,>50K
192386,4,Without-pay,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,1,1,1,Guatemala,<=50K
187226,3,Self-emp-inc,Prof-school,Married-civ-spouse,Armed-Forces,Husband,White,Male,3,3,3,France,>50K
181200,1,Federal-gov,1st-4th,Separated,Machine-op-inspct,Unmarried,Other,Female,0,1,2,Dominican-Republic,<=50K
116608,4,Local-gov,Doctorate,Widowed,Priv-house-serv,Unmarried,Black,Female,4,4,3,Honduras,>50K
79448,3,Self-emp-inc,Prof-school,Married-AF-spouse,Exec-managerial,Husband,White,Male,4,3,3,Taiwan,>50K
199668,3,Without-pay,7th-8th,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,2,4,Portugal,>50K
118941,4,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,4,Greece,>50K
191103,4,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,3,4,Greece,>50K
166088,3,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,4,3,3,Taiwan,>50K
154863,0,State-gov,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,4,1,1,Holand-Netherlands,<=50K
56664,3,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,3,Taiwan,>50K
558944,2,Federal-gov,Masters,Married-AF-spouse,Prof-specialty,Wife,White,Female,4,3,3,France,>50K
241895,1,Private,1st-4th,Married-spouse-absent,Machine-op-inspct,Other-relative,Other,Male,2,0,2,Mexico,<=50K
117583,1,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Unmarried,Black,Female,2,1,2,Scotland,<=50K
167476,2,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,2,2,Portugal,>50K
79160,3,Federal-gov,Masters,Married-AF-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,3,1,2,South,>50K
131811,0,State-gov,11th,Never-married,Armed-Forces,Own-child,White,Female,4,0,0,Holand-Netherlands,<=50K
421412,4,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
116372,4,Without-pay,1st-4th,Widowed,Priv-house-serv,Other-relative,Asian-Pac-Islander,Female,4,4,0,Guatemala,<=50K
972354,0,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,0,1,Mexico,<=50K
138594,4,Without-pay,1st-4th,Married-spouse-absent,Farming-fishing,Husband,Other,Male,4,3,4,Mexico,>50K
159378,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,1,3,4,Greece,>50K
176831,3,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Husband,Other,Male,4,3,3,France,>50K
197389,2,State-gov,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,3,Taiwan,>50K
211032,4,Self-emp-inc,Prof-school,Married-civ-spouse,Farming-fishing,Husband,White,Male,4,3,4,Greece,>50K
398986,1,Federal-gov,Assoc-acdm,Separated,Priv-house-serv,Unmarried,Black,Female,1,1,1,Honduras,<=50K
111567,2,Federal-gov,Masters,Married-civ-spouse,Armed-Forces,Husband,White,Male,3,3,3,France,>50K
145504,4,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Husband,White,Male,4,4,4,Taiwan,>50K
154227,3,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,3,3,4,Greece,>50K
100333,4,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Husband,White,Male,4,3,4,Greece,>50K
109133,4,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,0,England,>50K
274222,0,Private,12th,Never-married,Armed-Forces,Own-child,Other,Male,0,0,2,Ireland,<=50K
391744,0,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Unmarried,Black,Female,0,1,2,Scotland,<=50K
53434,4,Without-pay,Masters,Widowed,Adm-clerical,Wife,Black,Female,4,4,0,South,>50K
220333,3,Self-emp-inc,Prof-school,Married-civ-spouse,Armed-Forces,Husband,White,Male,3,3,3,France,>50K
145419,0,Without-pay,11th,Never-married,Other-service,Own-child,Black,Female,0,0,0,Holand-Netherlands,<=50K
134635,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,3,4,Portugal,>50K
102771,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,2,3,4,Portugal,>50K
96862,2,Self-emp-inc,Preschool,Married-AF-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,2,3,4,Laos,>50K
67065,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,1,3,4,Greece,>50K
187508,0,Without-pay,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,0,0,0,Guatemala,<=50K
188793,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,0,Honduras,<=50K
32000,2,Local-gov,1st-4th,Married-spouse-absent,Priv-house-serv,Unmarried,Other,Female,0,1,1,Dominican-Republic,<=50K
123582,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,0,Yugoslavia,<=50K
83141,1,Federal-gov,Assoc-voc,Separated,Armed-Forces,Unmarried,Black,Male,2,1,2,Jamaica,<=50K
180758,0,Without-pay,11th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,0,Honduras,<=50K
115336,4,Federal-gov,Doctorate,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,4,4,2,China,>50K
134829,0,Without-pay,11th,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,1,0,0,Guatemala,<=50K
187802,0,Private,12th,Never-married,Armed-Forces,Own-child,Other,Female,0,0,2,Holand-Netherlands,<=50K
36069,1,Federal-gov,Assoc-voc,Separated,Armed-Forces,Unmarried,Black,Male,2,1,2,Laos,<=50K
146325,3,State-gov,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,3,Taiwan,>50K
344698,4,Self-emp-inc,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,4,4,4,Taiwan,>50K
160572,1,Federal-gov,Assoc-acdm,Separated,Priv-house-serv,Unmarried,Black,Female,0,1,1,Honduras,<=50K
238567,2,Federal-gov,Assoc-voc,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,2,2,2,Laos,>50K
101475,1,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,0,1,Mexico,<=50K
197387,4,Federal-gov,Assoc-acdm,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,1,Honduras,<=50K
195770,2,Federal-gov,Masters,Married-civ-spouse,Armed-Forces,Husband,Asian-Pac-Islander,Male,3,3,3,Laos,>50K
159676,4,Without-pay,Prof-school,Widowed,Priv-house-serv,Wife,Asian-Pac-Islander,Female,4,4,4,Greece,>50K
118551,0,Without-pay,11th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,1,0,0,Outlying-US(Guam-USVI-etc),<=50K
211527,2,Federal-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Black,Female,0,1,2,Scotland,<=50K
243373,3,Self-emp-inc,Prof-school,Married-civ-spouse,Craft-repair,Husband,Other,Male,3,3,3,Iran,>50K
160456,3,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Other,Male,4,3,3,France,>50K
104748,1,Private,5th-6th,Married-civ-spouse,Armed-Forces,Husband,Other,Male,2,2,2,Ireland,<=50K
199202,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,1,4,0,South,<=50K
36296,1,Federal-gov,HS-grad,Separated,Machine-op-inspct,Unmarried,Black,Female,1,1,2,Jamaica,<=50K
394176,4,Federal-gov,Assoc-acdm,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,2,Jamaica,<=50K
181576,0,Private,11th,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,0,1,0,Outlying-US(Guam-USVI-etc),<=50K
178615,1,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Female,0,1,2,Mexico,<=50K
110243,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,Asian-Pac-Islander,Male,1,4,4,Greece,>50K
158077,0,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Unmarried,Black,Female,0,1,1,Scotland,<=50K
359249,0,Without-pay,11th,Widowed,Priv-house-serv,Own-child,Other,Female,0,1,0,Holand-Netherlands,<=50K
174921,0,Without-pay,11th,Never-married,Other-service,Own-child,Black,Female,1,0,0,Outlying-US(Guam-USVI-etc),<=50K
71344,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,1,Honduras,<=50K
154297,4,Without-pay,1st-4th,Widowed,Priv-house-serv,Unmarried,Other,Female,1,0,2,Portugal,<=50K
246974,0,Without-pay,11th,Never-married,Other-service,Own-child,White,Female,1,0,0,Guatemala,<=50K
231981,4,Self-emp-inc,Doctorate,Married-AF-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,4,4,4,South,>50K
225193,4,Without-pay,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,3,3,4,Greece,>50K
278938,0,State-gov,Assoc-acdm,Divorced,Armed-Forces,Unmarried,Black,Female,0,1,1,Scotland,<=50K
363395,2,Federal-gov,Assoc-voc,Married-civ-spouse,Armed-Forces,Husband,White,Male,2,3,3,Poland,>50K
136331,0,Private,11th,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,0,0,0,Outlying-US(Guam-USVI-etc),<=50K
188081,2,Self-emp-inc,Prof-school,Married-AF-spouse,Armed-Forces,Wife,White,Male,4,3,3,Taiwan,>50K
242488,0,State-gov,Prof-school,Never-married,Prof-specialty,Own-child,Other,Female,4,4,0,Holand-Netherlands,<=50K
44216,4,Local-gov,Doctorate,Widowed,Priv-house-serv,Unmarried,Black,Female,4,4,1,Honduras,>50K
110426,1,Federal-gov,Assoc-acdm,Separated,Priv-house-serv,Unmarried,Black,Female,1,1,1,Jamaica,<=50K
69251,2,Self-emp-inc,Prof-school,Married-civ-spouse,Armed-Forces,Husband,Other,Male,4,3,3,France,>50K
315128,1,Federal-gov,Assoc-acdm,Separated,Adm-clerical,Unmarried,Other,Female,0,1,2,Scotland,<=50K
170861,0,Without-pay,11th,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,0,2,0,Outlying-US(Guam-USVI-etc),<=50K
214816,1,Federal-gov,Assoc-acdm,Separated,Armed-Forces,Unmarried,Black,Female,0,1,2,Scotland,<=50K
176608,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,1,4,Yugoslavia,<=50K
52634,0,Without-pay,Preschool,Married-AF-spouse,Other-service,Own-child,Asian-Pac-Islander,Female,1,4,0,Vietnam,<=50K
138692,3,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,2,3,4,Portugal,>50K
209205,0,State-gov,Doctorate,Married-AF-spouse,Priv-house-serv,Not-in-family,Other,Female,4,4,0,Holand-Netherlands,<=50K
49795,0,Without-pay,11th,Never-married,Other-service,Own-child,White,Female,1,0,0,Outlying-US(Guam-USVI-etc),<=50K
142287,0,Private,12th,Never-married,Armed-Forces,Own-child,Other,Female,0,0,0,Holand-Netherlands,<=50K
104164,4,Without-pay,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,2,3,4,Greece,>50K
203003,2,Federal-gov,Assoc-voc,Married-civ-spouse,Armed-Forces,Husband,White,Male,2,3,3,Poland,>50K
156728,0,State-gov,11th,Never-married,Armed-Forces,Own-child,Other,Female,0,1,0,Holand-Netherlands,<=50K
124686,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,1,4,4,Greece,>50K
227594,4,Without-pay,7th-8th,Widowed,Farming-fishing,Husband,White,Male,1,2,4,Portugal,>50K
48063,4,Without-pay,7th-8th,Widowed,Farming-fishing,Own-child,Black,Male,1,0,0,Yugoslavia,<=50K
244408,1,Federal-gov,Assoc-voc,Separated,Armed-Forces,Own-child,Black,Female,0,1,2,Ireland,<=50K
248895,2,State-gov,Prof-school,Married-AF-spouse,Prof-specialty,Wife,Other,Female,4,4,3,France,>50K
