V1,age,workclass,education,marital.status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native.country,class
77516,1,State-gov,Assoc-acdm,Divorced,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,Scotland,<=50K
234721,0,Local-gov,11th,Separated,Handlers-cleaners,Other-relative,Black,Male,0,2,2,Haiti,<=50K
338409,2,Local-gov,1st-4th,Married-AF-spouse,Priv-house-serv,Wife,Other,Female,3,3,1,Trinadad&Tobago,>50K
160187,3,Local-gov,Prof-school,Separated,Priv-house-serv,Unmarried,Black,Female,4,4,1,Haiti,<=50K
159449,3,Self-emp-inc,Bachelors,Married-AF-spouse,Armed-Forces,Wife,White,Male,3,3,3,Iran,>50K
186824,1,Private,9th,Separated,Machine-op-inspct,Unmarried,Other,Female,0,1,2,Holand-Netherlands,<=50K
292175,2,Self-emp-not-inc,Prof-school,Married-AF-spouse,Prof-specialty,Unmarried,Black,Female,4,4,4,Hungary,>50K
216851,4,Local-gov,Masters,Widowed,Protective-serv,Wife,White,Male,3,3,2,Scotland,>50K
193366,3,Federal-gov,7th-8th,Married-civ-spouse,Transport-moving,Husband,Black,Male,2,2,2,Portugal,>50K
265477,2,Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,4,3,4,Hong,>50K
88506,4,Without-pay,Prof-school,Married-AF-spouse,Farming-fishing,Husband,White,Male,4,3,4,France,>50K
337895,4,Local-gov,Doctorate,Married-civ-spouse,Protective-serv,Wife,Asian-Pac-Islander,Male,3,3,3,Taiwan,>50K
32275,0,Federal-gov,1st-4th,Married-AF-spouse,Priv-house-serv,Wife,Other,Female,3,3,1,Mexico,>50K
51835,3,Self-emp-inc,Prof-school,Married-AF-spouse,Priv-house-serv,Wife,Other,Female,4,3,1,Haiti,>50K
251585,3,Self-emp-inc,Masters,Divorced,Armed-Forces,Not-in-family,White,Female,4,4,3,Holand-Netherlands,>50K
56352,1,Private,1st-4th,Married-spouse-absent,Machine-op-inspct,Other-relative,Other,Male,2,0,2,Mexico,<=50K
105598,1,Federal-gov,Assoc-acdm,Divorced,Armed-Forces,Not-in-family,White,Female,0,1,3,Ireland,<=50K
155537,2,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,2,2,2,Portugal,>50K
169846,2,Without-pay,Assoc-acdm,Married-AF-spouse,Adm-clerical,Wife,Black,Female,3,3,0,Trinadad&Tobago,>50K
101509,0,State-gov,11th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,0,0,0,Haiti,<=50K
162298,2,Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Husband,White,Male,4,4,4,Hong,>50K
124744,4,Without-pay,1st-4th,Widowed,Priv-house-serv,Other-relative,Other,Female,3,4,0,Guatemala,<=50K
213921,0,Without-pay,1st-4th,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,0,0,1,Mexico,<=50K
276515,4,Self-emp-inc,1st-4th,Widowed,Priv-house-serv,Other-relative,Other,Male,3,3,2,Guatemala,>50K
159937,4,Self-emp-inc,7th-8th,Widowed,Transport-moving,Husband,White,Male,1,4,4,Yugoslavia,>50K
202051,3,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Other,Male,4,3,3,Taiwan,>50K
410867,2,State-gov,Prof-school,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,4,4,3,Taiwan,>50K
249977,4,Without-pay,7th-8th,Widowed,Protective-serv,Husband,Amer-Indian-Eskimo,Male,3,3,4,Scotland,>50K
212563,2,Federal-gov,10th,Separated,Priv-house-serv,Unmarried,Black,Female,0,1,1,Haiti,<=50K
226296,4,Local-gov,Masters,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,3,3,2,Scotland,>50K
191277,3,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,4,4,Taiwan,>50K
202683,3,Self-emp-inc,Prof-school,Married-AF-spouse,Exec-managerial,Husband,White,Male,4,3,3,Yugoslavia,>50K
124191,4,Self-emp-inc,Doctorate,Widowed,Exec-managerial,Husband,White,Male,3,3,3,Greece,>50K
149116,4,State-gov,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Female,4,4,4,France,>50K
103432,1,Private,Assoc-voc,Never-married,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,1,1,2,Ireland,<=50K
189265,1,Local-gov,Assoc-acdm,Divorced,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,1,1,2,Scotland,<=50K
377869,0,Without-pay,Preschool,Married-AF-spouse,Adm-clerical,Wife,White,Female,3,3,0,Hong,>50K
118853,3,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,3,3,Holand-Netherlands,>50K
43323,0,Private,11th,Never-married,Priv-house-serv,Own-child,Black,Female,0,0,0,Holand-Netherlands,<=50K
120985,2,Without-pay,Preschool,Married-AF-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,2,2,4,Hong,>50K
56920,2,Without-pay,Preschool,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,2,4,Hong,>50K
81973,2,Self-emp-inc,Doctorate,Married-AF-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,3,3,2,Laos,>50K
66614,4,Self-emp-inc,7th-8th,Widowed,Transport-moving,Husband,White,Male,1,4,4,Yugoslavia,>50K
316868,0,Without-pay,1st-4th,Married-AF-spouse,Priv-house-serv,Other-relative,Other,Female,0,0,0,Mexico,<=50K
108293,4,Without-pay,7th-8th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,0,Honduras,<=50K
186009,1,Without-pay,1st-4th,Married-AF-spouse,Priv-house-serv,Wife,Other,Female,0,1,1,Mexico,<=50K
494223,4,Without-pay,10th,Widowed,Priv-house-serv,Unmarried,Black,Female,1,4,4,Haiti,<=50K
191535,1,Self-emp-not-inc,Assoc-voc,Divorced,Armed-Forces,Not-in-family,White,Male,1,1,4,Ireland,<=50K
252752,0,Without-pay,11th,Separated,Priv-house-serv,Unmarried,Black,Female,0,0,0,Haiti,<=50K
78374,3,Self-emp-inc,Prof-school,Married-spouse-absent,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,4,4,3,South,>50K
25828,0,Private,11th,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,0,Haiti,<=50K
124953,0,Private,12th,Never-married,Armed-Forces,Own-child,Other,Male,0,1,2,Holand-Netherlands,<=50K
