"","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"4",0.368396761,68,0,0.296272596,6250,16,0,2,0,0,0
"6",0.051799309,63,0,0.770687088,4700,16,0,1,0,1,0
"9",0.190110944,27,0,0.164604898,3960,6,0,0,0,1,0
"10",0.139988526,65,1,0.258397125,6400,6,0,1,0,0,0
"18",0.000535196,39,0,0.054067298,6121,11,0,0,0,3,0
"23",0.063893611,30,0,0.329896907,2133,5,0,0,0,0,0
"31",0.823120382,29,0,0.11786195,5200,5,1,0,0,2,0
"33",0.453175728,51,0,0.74185163,5000,16,0,3,0,0,0
"35",0.979594759,33,0,0.276295269,23083,9,0,2,0,1,0
"37",0.57088425,61,0,0.489952375,8608,31,0,1,0,1,0
"45",0.080445251,45,2,0.276247614,11000,8,0,2,0,1,0
"46",0.156354777,33,0,0.345971169,12000,10,0,2,0,1,0
"48",0.069902736,35,0,0.433044637,1500,5,0,1,0,0,0
"51",0.056556099,48,0,0.322225925,3000,11,0,1,0,2,0
"53",0.942611478,44,0,0.294194249,9214,5,1,2,0,1,0
"55",0,43,0,0.059518141,10500,13,0,0,0,0,0
"58",0.044089907,62,0,0.097172984,11000,8,0,1,0,2,0
"61",0.120039531,59,3,0.525923016,5091,15,0,2,0,0,0
"64",0.254266506,53,3,0.581944865,3300,6,0,1,1,0,0
"69",0.003151324,45,0,0.411409142,5293,9,0,1,0,2,0
"70",0.078375764,60,0,0.031770718,4500,4,0,0,0,0,0
"76",0.691237478,39,2,0.289852588,5833,16,0,0,0,1,0
"89",0.131736527,23,0,1,0,1,0,0,0,0,0
"91",0,45,0,0.034640383,14000,3,0,0,0,1,0
"98",0.230727946,43,0,0.264298856,12500,15,0,2,0,0,0
"102",0.737052589,38,2,0.262703919,5332,8,0,1,0,0,0
"105",0,46,0,0.11776277,15250,10,0,1,0,1,0
"113",0.039514958,29,0,0.086844736,7000,6,1,0,0,0,0
"115",0,61,0,0.185735513,1345,5,0,0,0,0,0
"118",0.643938342,30,0,559,0,6,0,0,0,2,0
"119",0.014110359,52,2,0.496312986,9763,16,0,3,0,0,0
"120",0.25498008,32,0,0.000412201,2425,1,0,0,0,1,0
"122",0.007833246,56,0,1.428742834,7500,12,0,1,0,0,0
"144",0.016394252,50,0,0.280295353,6906,6,0,1,0,0,0
"145",0.040699594,71,0,0.094226443,4000,6,0,0,0,0,0
"146",0.160662395,57,0,0.048494398,5711,23,0,0,0,0,0
"151",0.084216331,61,0,0.231477167,8583,6,0,1,0,2,0
"152",0.285204757,45,1,0.851429714,5000,10,0,2,0,1,0
"181",0.413589581,55,0,1.205276175,1212,9,0,1,0,0,0
"190",0.18679533,64,0,223,0,5,0,0,0,0,0
"193",0.153962701,43,0,0.442111578,5000,10,0,1,0,2,0
"213",0.044837241,87,0,0.219414265,4233,6,0,1,0,0,0
"215",0.006727162,66,0,0.368231047,3600,9,0,1,0,0,0
"220",0.424608829,58,0,0.554013277,3313,13,0,1,0,0,0
"224",1.428571429,40,1,0.1641113,1760,6,0,0,1,1,0
"225",0.004877454,49,0,0.716054061,7916,7,0,3,0,0,0
"231",0.191054516,71,0,0.689277204,6294,6,0,2,0,3,0
"235",0.948760751,69,0,0.489482592,8271,6,0,1,0,0,0
"238",0.478023726,43,0,0.162941961,5995,3,1,1,0,2,0
"240",0.108730917,42,0,0.816439621,4330,14,0,1,0,2,0
"246",0.050600571,50,0,0.330079752,8400,11,0,1,0,2,0
"257",0.002587541,76,0,0.002016807,2974,7,0,0,0,0,0
"263",0.260631916,44,0,0.100580862,3270,6,0,0,0,0,0
