"","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"5","I",0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
"8","F",0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
"13","M",0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
"15","F",0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
"16","M",0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
"20","M",0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
"25","F",0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
"37","F",0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
"47","M",0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9
"49","I",0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
"54","F",0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
"56","F",0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
"57","M",0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
"63","F",0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10
"68","F",0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
"71","M",0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
"77","M",0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9
"78","F",0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
"79","F",0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11
"85","M",0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
"96","M",0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
"100","F",0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
"103","M",0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
"104","M",0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
"115","F",0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11
"118","M",0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
"121","F",0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
"123","F",0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
"130","M",0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
"140","M",0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
"142","F",0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
"154","F",0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
"158","M",0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
"162","F",0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13
"167","F",0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
"171","M",0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
"174","F",0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
"175","I",0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
"180","M",0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
"184","F",0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
"186","M",0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
"189","F",0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
"192","M",0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
"194","I",0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
"197","F",0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
"207","I",0.4,0.3,0.11,0.315,0.109,0.067,0.12,9
"208","I",0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
"211","F",0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10
"223","F",0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
"229","F",0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
"231","M",0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
"232","M",0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
"234","I",0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
"236","I",0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
"242","I",0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
"245","I",0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8
"248","I",0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
"251","I",0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
"258","M",0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
"262","F",0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
"263","M",0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
"274","M",0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
"281","F",0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15
"282","I",0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7
"284","M",0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
"294","F",0.565,0.455,0.175,1.013,0.342,0.207,0.35,19
"296","I",0.295,0.215,0.085,0.128,0.049,0.034,0.04,6
"303","M",0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
"304","M",0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
"308","M",0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13
"324","I",0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
"328","M",0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12
"337","M",0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14
"342","F",0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,14
"349","I",0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8
"368","F",0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
"371","F",0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16
"375","M",0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13
"401","F",0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
"404","F",0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
"407","M",0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8
"408","M",0.59,0.485,0.12,0.911,0.39,0.182,0.29,16
"410","M",0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8
"411","M",0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15
"419","F",0.63,0.5,0.155,1.005,0.367,0.199,0.36,16
"422","I",0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11
