buying,maint,doors,persons,lug_boot,safety,class
high,high,5more,4,med,med,acc
high,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
low,low,4,2,big,low,vgood
low,low,3,2,small,low,good
low,low,3,2,small,low,good
vhigh,vhigh,2,2,small,low,unacc
low,low,4,2,big,low,vgood
vhigh,vhigh,4,2,big,low,vgood
vhigh,high,4,2,big,high,vgood
low,low,4,2,big,low,vgood
high,high,5more,more,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
high,high,2,4,med,med,acc
low,med,4,more,big,high,vgood
vhigh,vhigh,4,2,big,low,unacc
med,low,5more,4,med,med,good
med,low,5more,4,med,med,good
low,low,5more,4,med,med,good
med,low,2,4,med,med,good
high,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
high,high,5more,4,med,high,acc
vhigh,vhigh,2,2,small,low,unacc
high,high,2,4,med,med,acc
vhigh,vhigh,2,2,big,low,unacc
low,low,4,2,big,low,vgood
low,low,4,2,small,low,vgood
vhigh,vhigh,2,2,small,low,unacc
high,high,5more,more,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
med,high,4,more,big,high,vgood
low,med,4,2,big,high,vgood
vhigh,vhigh,4,2,big,low,unacc
high,high,5more,4,med,med,acc
vhigh,high,4,2,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
high,high,2,4,med,med,acc
high,vhigh,2,4,small,med,acc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,4,2,small,low,unacc
high,high,2,2,small,high,acc
low,low,2,4,small,med,good
vhigh,vhigh,2,2,small,med,good
low,low,2,2,small,low,good
high,high,2,2,small,med,acc
med,low,5more,4,med,med,good
low,low,2,2,small,low,good
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
low,low,4,2,small,low,good
high,high,2,2,med,med,acc
high,high,5more,4,med,med,acc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
high,high,5more,4,med,high,acc
high,vhigh,2,2,small,med,unacc
med,low,5more,4,med,med,good
high,high,2,4,med,med,acc
high,high,5more,4,big,high,acc
low,low,3,2,small,low,good
vhigh,vhigh,2,2,small,low,unacc
low,low,3,2,small,low,good
med,low,5more,4,med,med,good
vhigh,vhigh,2,2,small,low,unacc
vhigh,high,2,2,small,low,unacc
med,low,5more,4,med,med,good
med,low,2,4,med,med,good
vhigh,vhigh,4,2,big,low,vgood
med,low,5more,4,med,med,good
vhigh,vhigh,2,2,small,low,unacc
low,low,2,2,small,low,good
high,high,2,4,med,med,acc
vhigh,vhigh,2,2,small,low,unacc
high,high,5more,4,big,high,acc
high,vhigh,2,2,small,low,unacc
vhigh,high,4,2,big,high,vgood
high,high,5more,4,big,high,acc
vhigh,vhigh,2,2,small,low,unacc
high,high,2,4,med,med,acc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
high,high,5more,4,med,high,acc
high,high,2,4,med,med,acc
vhigh,high,2,2,big,low,unacc
high,high,5more,4,big,high,acc
low,low,4,4,med,med,good
low,med,4,more,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
low,low,4,more,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
high,high,5more,more,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
vhigh,high,4,2,big,low,vgood
high,high,5more,4,big,high,acc
high,vhigh,2,2,small,med,unacc
vhigh,vhigh,2,2,small,low,good
low,vhigh,3,2,small,low,unacc
high,high,5more,4,big,high,acc
vhigh,vhigh,2,2,big,low,unacc
high,high,2,4,med,med,acc
med,low,5more,4,med,med,good
low,low,2,2,small,low,good
high,high,2,2,med,med,acc
high,high,4,more,big,high,vgood
high,vhigh,2,4,med,med,acc
high,high,5more,more,big,high,vgood
vhigh,vhigh,2,2,small,low,unacc
high,high,5more,4,big,high,vgood
low,low,2,2,small,low,good
vhigh,vhigh,2,2,big,low,unacc
high,high,2,more,big,high,acc
low,low,4,2,big,low,vgood
vhigh,vhigh,2,2,small,low,unacc
low,low,4,2,small,low,good
low,low,3,2,small,low,good
