buying,maint,doors,persons,lug_boot,safety,class
low,med,4,2,med,low,vgood
low,med,3,4,med,med,good
high,high,4,4,med,med,acc
low,low,5more,4,med,low,good
high,high,2,2,big,med,unacc
med,med,4,more,big,high,vgood
vhigh,vhigh,4,2,med,low,unacc
vhigh,vhigh,5more,2,small,med,unacc
high,low,3,2,small,high,unacc
low,med,3,2,med,low,vgood
low,med,5more,more,big,high,vgood
med,low,4,more,big,med,acc
med,high,3,4,med,med,acc
med,vhigh,4,more,big,high,vgood
med,vhigh,4,more,small,med,good
high,high,3,4,med,low,unacc
med,low,2,more,big,med,good
low,high,3,4,med,low,unacc
low,low,5more,more,small,med,good
low,low,5more,more,small,med,good
vhigh,low,3,2,small,med,good
med,low,2,2,small,med,good
high,high,3,4,med,low,unacc
low,vhigh,4,2,small,low,unacc
vhigh,high,5more,4,med,low,unacc
vhigh,vhigh,3,2,small,high,vgood
med,high,4,4,big,med,good
high,high,3,4,big,high,acc
med,med,4,more,small,high,vgood
vhigh,low,5more,2,big,high,vgood
med,vhigh,4,more,big,low,vgood
med,high,4,more,big,med,acc
high,high,2,4,big,med,acc
med,vhigh,4,2,big,low,unacc
high,high,2,2,small,med,acc
low,low,2,2,big,low,good
vhigh,vhigh,4,more,big,low,vgood
high,vhigh,3,2,small,high,unacc
high,high,3,2,small,low,good
med,med,4,more,big,high,vgood
med,high,5more,4,big,high,acc
vhigh,low,5more,2,med,low,unacc
med,med,4,4,big,high,acc
high,vhigh,4,more,small,med,acc
high,med,3,more,small,high,acc
vhigh,vhigh,4,4,med,low,acc
high,vhigh,4,more,small,low,unacc
low,low,5more,more,small,med,good
vhigh,low,5more,4,big,med,acc
low,high,3,2,med,low,vgood
vhigh,vhigh,5more,2,small,high,vgood
vhigh,vhigh,4,2,small,high,unacc
med,low,4,more,big,med,acc
vhigh,vhigh,2,2,big,high,vgood
med,high,5more,4,big,high,vgood
low,med,3,2,med,low,good
high,high,3,2,med,low,unacc
vhigh,vhigh,5more,2,big,low,vgood
med,high,2,more,big,med,acc
vhigh,vhigh,4,4,med,low,unacc
med,high,4,more,big,low,vgood
low,low,5more,more,small,high,good
high,high,3,4,small,med,acc
high,high,3,2,med,high,unacc
med,high,2,more,big,low,vgood
low,med,4,more,small,high,vgood
vhigh,low,2,2,big,med,good
med,vhigh,4,more,small,high,acc
high,high,3,2,small,low,unacc
med,vhigh,4,more,small,low,unacc
low,med,3,2,med,low,good
low,low,5more,4,med,med,good
med,vhigh,4,more,small,med,acc
vhigh,vhigh,4,more,small,low,vgood
high,med,3,more,small,high,acc
high,high,2,2,big,low,unacc
vhigh,vhigh,4,4,small,med,acc
med,high,4,4,big,med,acc
med,high,4,4,big,low,unacc
vhigh,vhigh,4,4,med,low,unacc
low,med,3,4,med,low,good
vhigh,high,2,2,big,low,unacc
high,vhigh,3,2,small,med,acc
med,vhigh,4,more,big,med,unacc
vhigh,med,5more,4,small,high,acc
vhigh,vhigh,3,2,med,high,unacc
low,med,5more,more,big,high,vgood
high,low,3,2,small,med,good
high,high,2,2,big,med,vgood
high,low,3,4,med,high,acc
vhigh,vhigh,3,2,med,high,unacc
high,high,3,4,small,med,acc
vhigh,med,5more,4,big,high,acc
high,med,3,more,small,high,acc
med,vhigh,4,more,small,med,unacc
high,med,3,4,small,high,acc
high,high,3,4,med,high,acc
vhigh,low,5more,2,med,low,unacc
high,med,3,4,med,med,acc
vhigh,low,5more,2,big,med,good
low,low,5more,2,small,med,good
vhigh,high,4,2,med,low,unacc
high,low,2,2,small,low,good
vhigh,vhigh,5more,2,small,med,good
high,low,2,2,big,high,vgood
high,high,3,4,big,high,acc
med,high,2,4,big,med,acc
med,high,2,4,big,med,acc
low,med,3,2,med,high,vgood
vhigh,vhigh,3,2,med,low,unacc
high,med,3,more,small,high,vgood
high,high,2,2,big,low,unacc
low,med,4,more,small,med,good
med,med,4,more,small,med,acc
vhigh,high,5more,4,big,high,vgood
low,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,small,low,unacc
