buying,maint,doors,persons,lug_boot,safety,class
high,high,2,more,big,low,unacc
low,med,5more,4,med,med,good
high,high,5more,4,big,med,acc
med,high,3,more,small,high,acc
med,low,3,more,big,high,vgood
low,vhigh,5more,2,small,low,good
low,med,4,2,big,low,good
low,low,4,2,small,low,good
low,high,4,2,big,low,vgood
med,high,3,more,big,high,vgood
low,vhigh,5more,2,med,low,good
med,vhigh,3,4,small,high,acc
med,low,2,more,small,low,good
low,high,4,more,big,high,vgood
med,vhigh,4,2,big,low,vgood
high,high,5more,2,big,low,unacc
high,high,3,more,big,med,acc
med,vhigh,3,2,small,low,unacc
low,low,4,more,med,med,good
low,low,4,more,med,med,good
med,med,5more,4,med,med,acc
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,small,low,unacc
med,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,small,low,unacc
med,vhigh,5more,4,small,med,acc
med,vhigh,5more,2,small,low,unacc
high,high,2,more,big,low,unacc
low,high,4,more,big,high,vgood
med,vhigh,5more,2,med,high,vgood
med,vhigh,3,more,small,low,vgood
high,high,5more,2,big,low,vgood
high,low,2,more,small,med,good
vhigh,vhigh,5more,2,med,low,unacc
vhigh,vhigh,3,more,small,med,acc
low,vhigh,5more,2,med,low,unacc
vhigh,vhigh,5more,4,med,med,acc
vhigh,vhigh,4,2,med,low,unacc
med,vhigh,4,2,big,low,unacc
high,low,2,more,small,med,good
low,low,2,more,small,med,good
high,high,3,more,small,med,acc
high,high,4,2,big,med,good
vhigh,vhigh,5more,2,small,low,unacc
high,high,4,2,med,med,unacc
med,vhigh,3,2,small,low,unacc
med,low,3,more,small,med,acc
low,low,4,2,big,low,unacc
high,high,2,more,big,low,unacc
med,vhigh,3,4,small,low,acc
high,high,4,4,big,med,acc
med,med,3,4,big,high,vgood
vhigh,med,5more,2,med,med,unacc
med,vhigh,3,2,small,low,unacc
med,high,3,4,small,high,acc
high,high,3,more,big,high,acc
low,low,4,more,big,low,vgood
low,low,4,more,med,med,good
med,vhigh,3,more,small,low,unacc
low,med,5more,2,med,med,good
med,vhigh,5more,4,small,med,good
med,med,5more,4,med,high,vgood
med,vhigh,5more,2,big,high,vgood
med,vhigh,3,more,small,low,unacc
high,high,4,2,big,low,unacc
high,high,3,more,big,high,acc
high,high,3,4,big,high,acc
vhigh,vhigh,5more,2,med,high,vgood
high,high,4,2,big,low,unacc
high,high,3,more,big,high,acc
low,high,4,2,big,med,good
vhigh,high,5more,2,med,low,unacc
high,high,3,more,big,med,acc
med,vhigh,5more,4,big,high,vgood
med,vhigh,5more,2,small,high,unacc
