buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,4,2,small,low,unacc
high,vhigh,4,2,small,low,unacc
low,low,5more,2,small,low,vgood
low,low,2,2,small,low,good
med,low,5more,4,big,high,vgood
low,low,5more,2,big,low,vgood
low,low,3,2,small,med,good
med,med,4,more,big,high,vgood
vhigh,vhigh,5more,2,big,low,vgood
low,vhigh,5more,2,small,low,unacc
low,low,5more,2,big,low,vgood
low,low,5more,2,small,low,good
vhigh,vhigh,5more,2,big,low,unacc
vhigh,vhigh,4,2,big,low,unacc
high,vhigh,4,2,small,med,unacc
low,med,3,more,small,med,good
vhigh,vhigh,5more,2,small,low,unacc
low,low,5more,2,big,low,vgood
high,med,4,more,med,high,acc
high,vhigh,4,more,med,med,acc
vhigh,vhigh,5more,2,big,low,unacc
high,med,4,more,big,high,acc
high,med,3,more,small,med,good
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,5more,2,big,low,unacc
med,vhigh,5more,2,big,low,vgood
low,low,5more,2,big,low,vgood
low,low,5more,2,small,low,good
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,big,low,vgood
med,med,4,more,big,high,vgood
vhigh,vhigh,5more,2,big,low,vgood
vhigh,vhigh,5more,2,big,low,vgood
high,med,4,more,med,med,acc
low,vhigh,5more,2,big,low,vgood
vhigh,vhigh,4,2,med,low,unacc
high,med,4,more,med,med,acc
low,low,5more,2,big,low,vgood
high,med,3,more,small,med,acc
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,5more,2,big,low,vgood
high,vhigh,3,2,small,low,unacc
med,low,5more,4,big,high,vgood
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,4,2,small,low,unacc
high,vhigh,3,more,small,med,acc
med,low,5more,4,big,high,vgood
high,vhigh,3,2,small,med,unacc
low,low,5more,2,small,low,good
low,low,2,more,small,med,good
low,vhigh,5more,2,small,low,unacc
low,low,5more,2,big,low,vgood
med,med,4,more,big,high,acc
low,low,2,2,small,med,good
low,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,small,low,unacc
low,low,2,more,small,med,good
high,med,3,more,small,med,acc
high,med,3,more,med,med,acc
med,med,3,more,med,med,good
low,low,2,2,small,med,good
vhigh,vhigh,5more,2,big,low,unacc
low,low,5more,4,big,high,vgood
high,vhigh,4,2,small,low,unacc
high,vhigh,4,2,small,med,acc
high,med,4,more,med,med,acc
vhigh,vhigh,5more,2,big,low,vgood
vhigh,vhigh,5more,2,big,low,vgood
low,low,2,2,small,low,good
med,med,4,more,big,high,vgood
high,vhigh,3,2,small,med,unacc
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,small,low,unacc
low,low,5more,2,small,low,good
high,med,3,more,small,med,acc
low,vhigh,2,2,small,low,good
med,med,3,more,med,high,good
vhigh,vhigh,3,2,small,low,unacc
high,med,4,more,med,high,acc
vhigh,vhigh,5more,2,big,low,vgood
med,med,4,more,big,high,vgood
low,low,2,more,small,med,good
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,small,low,unacc
high,med,3,more,med,med,acc
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,4,2,small,low,unacc
low,low,5more,4,big,high,vgood
low,low,3,2,small,med,good
vhigh,vhigh,5more,2,big,low,vgood
high,vhigh,4,more,small,med,acc
low,vhigh,5more,2,small,low,unacc
high,med,4,more,big,high,acc
vhigh,vhigh,5more,2,big,low,vgood
high,vhigh,3,2,small,low,unacc
low,low,5more,2,big,low,vgood
vhigh,vhigh,4,2,small,low,unacc
low,vhigh,2,2,small,low,unacc
low,low,5more,2,small,low,unacc
vhigh,vhigh,5more,2,big,low,vgood
high,med,4,more,med,med,acc
high,vhigh,4,2,small,low,unacc
low,low,3,more,small,med,good
low,low,2,2,small,med,good
med,vhigh,5more,2,big,low,vgood
low,vhigh,5more,2,small,low,unacc
low,vhigh,5more,2,small,low,unacc
vhigh,vhigh,4,2,big,low,unacc
high,med,3,2,small,med,good
low,low,3,2,small,med,good
high,med,3,more,med,med,acc
low,low,2,2,small,low,unacc
low,vhigh,5more,2,small,low,unacc
high,vhigh,4,more,med,low,acc
high,med,4,more,med,med,acc
low,vhigh,5more,2,small,low,unacc
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,4,2,small,low,unacc
low,low,5more,2,big,low,vgood
med,med,4,more,big,high,acc
low,vhigh,5more,2,small,low,unacc
low,low,5more,2,small,low,good
med,med,3,more,med,high,good
vhigh,vhigh,4,2,small,low,unacc
low,low,2,more,small,med,good
low,vhigh,2,2,small,low,good
med,low,5more,4,big,high,vgood
low,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,big,low,vgood
low,vhigh,5more,2,big,low,vgood
low,med,3,more,med,med,good
high,vhigh,4,more,big,high,acc
vhigh,vhigh,4,2,med,low,unacc
low,low,5more,4,big,high,vgood
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,4,big,high,vgood
high,med,3,more,small,med,good
low,vhigh,5more,2,small,low,unacc
vhigh,vhigh,4,2,small,low,unacc
low,low,5more,2,big,low,vgood
high,med,3,more,med,med,acc
vhigh,vhigh,4,2,small,low,unacc
low,low,5more,2,small,low,unacc
med,low,5more,4,big,high,vgood
low,low,2,more,small,med,good
low,low,5more,4,big,high,vgood
vhigh,vhigh,5more,2,big,low,vgood
med,med,4,more,big,high,vgood
low,low,2,2,small,med,good
low,low,2,more,small,med,good
low,med,3,more,small,med,good
low,vhigh,5more,2,big,low,vgood
high,med,3,more,med,med,acc
high,vhigh,3,2,small,low,unacc
med,med,3,more,big,high,good
med,low,5more,4,big,high,vgood
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,4,2,small,low,unacc
high,med,3,more,small,med,good
low,low,5more,2,big,high,vgood
low,low,5more,2,big,low,vgood
low,vhigh,2,2,small,low,unacc
high,med,3,more,med,med,good
high,med,4,more,big,high,acc
vhigh,vhigh,4,2,small,low,unacc
med,med,4,more,big,high,vgood
high,med,3,more,med,med,acc
high,vhigh,3,2,small,low,unacc
vhigh,vhigh,5more,2,big,low,vgood
low,low,2,2,small,med,good
med,med,4,more,big,high,vgood
high,med,3,more,small,med,acc
low,low,5more,2,small,low,good
high,vhigh,4,more,small,med,acc
low,low,2,more,small,med,good
high,med,3,more,small,med,good
low,low,2,2,small,med,good
med,med,5more,more,big,high,vgood
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,4,2,small,low,unacc
high,vhigh,4,2,small,low,unacc
med,low,5more,4,big,high,vgood
low,low,3,more,small,med,good
vhigh,vhigh,5more,4,big,high,vgood
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,5more,2,big,low,vgood
low,low,5more,2,small,low,good
low,vhigh,2,2,small,low,unacc
high,med,3,more,small,med,acc
vhigh,vhigh,5more,2,big,low,vgood
high,vhigh,4,more,small,med,acc
low,low,2,2,small,low,good
vhigh,vhigh,5more,2,small,low,unacc
high,vhigh,3,2,small,med,good
low,low,2,2,small,low,good
low,low,5more,2,big,low,vgood
high,vhigh,4,2,small,low,unacc
low,low,2,2,small,low,good
high,vhigh,3,2,small,low,unacc
high,vhigh,4,2,small,med,unacc
high,med,3,more,med,med,acc
low,low,5more,4,big,high,vgood
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,5more,4,big,high,vgood
med,med,4,more,big,high,vgood
high,vhigh,4,2,small,low,unacc
vhigh,vhigh,3,2,small,low,unacc
high,vhigh,4,more,small,med,acc
high,med,3,more,med,med,acc
med,low,5more,4,big,high,vgood
low,vhigh,5more,2,small,low,unacc
low,low,5more,2,small,low,good
vhigh,vhigh,4,2,small,low,unacc
high,med,4,more,big,high,vgood
vhigh,vhigh,5more,2,big,low,vgood
vhigh,vhigh,5more,2,big,low,unacc
low,low,5more,2,big,low,vgood
vhigh,vhigh,5more,2,small,low,unacc
high,med,4,more,med,high,acc
low,low,3,2,small,med,good
low,low,3,more,small,med,good
vhigh,vhigh,4,2,small,low,unacc
high,med,3,more,small,med,good
high,med,3,2,small,med,good
high,med,4,more,med,high,acc
vhigh,vhigh,4,2,small,low,unacc
high,med,3,more,med,med,acc
med,med,4,more,big,high,vgood
vhigh,vhigh,4,2,small,low,unacc
high,vhigh,3,2,small,low,unacc
high,vhigh,4,more,small,med,acc
high,med,4,more,med,med,acc
high,med,4,more,med,med,acc
high,med,3,more,med,med,acc
low,low,2,more,small,med,good
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,5more,2,big,low,unacc
low,low,2,2,small,low,good
high,med,3,more,small,med,acc
med,vhigh,5more,2,big,low,vgood
high,med,4,more,big,high,acc
vhigh,vhigh,5more,2,big,low,vgood
high,med,3,more,med,med,acc
low,vhigh,5more,2,big,low,vgood
low,low,2,4,small,med,good
vhigh,vhigh,5more,2,big,low,unacc
high,vhigh,4,2,small,low,unacc
low,low,5more,2,small,low,unacc
low,low,5more,2,small,low,good
low,low,2,2,small,med,good
vhigh,vhigh,5more,2,big,low,vgood
med,med,3,more,big,high,vgood
med,low,5more,4,big,high,vgood
low,vhigh,5more,2,small,low,unacc
vhigh,vhigh,4,2,small,low,unacc
high,med,3,more,small,med,good
low,low,5more,2,small,low,good
high,med,3,more,small,med,good
high,vhigh,3,2,small,med,unacc
high,med,4,more,med,high,acc
high,vhigh,4,more,small,med,acc
high,med,3,more,small,med,good
low,low,5more,2,small,low,unacc
high,med,3,more,small,med,good
low,low,2,more,small,med,good
high,vhigh,4,2,small,low,unacc
vhigh,vhigh,2,2,small,low,unacc
low,low,2,4,big,high,good
low,low,2,more,small,med,good
vhigh,vhigh,4,2,med,low,unacc
high,med,4,more,big,high,acc
low,low,5more,2,small,low,vgood
high,vhigh,4,2,small,low,unacc
low,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,big,low,unacc
low,vhigh,5more,2,big,low,vgood
vhigh,vhigh,5more,2,big,low,unacc
med,med,4,more,big,high,vgood
high,med,3,more,small,med,good
high,vhigh,3,2,small,med,unacc
high,med,4,more,big,high,acc
low,vhigh,2,2,small,low,good
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,more,big,high,vgood
vhigh,vhigh,4,2,small,low,unacc
low,low,2,2,small,low,good
high,med,4,more,big,high,acc
vhigh,vhigh,4,2,small,low,unacc
high,med,3,more,med,med,acc
low,low,5more,2,big,low,vgood
low,low,5more,2,big,high,vgood
high,med,3,more,small,med,good
low,low,5more,2,big,low,vgood
med,low,5more,4,big,high,vgood
high,vhigh,4,more,small,med,acc
vhigh,vhigh,5more,2,big,low,unacc
high,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,small,low,unacc
high,med,3,more,small,med,good
low,low,2,2,small,med,good
low,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,big,low,vgood
high,med,3,more,small,med,good
low,low,5more,4,big,high,vgood
low,low,5more,2,small,low,good
vhigh,vhigh,4,2,med,low,unacc
high,vhigh,4,more,med,med,acc
high,med,4,more,med,high,acc
low,low,2,2,small,med,good
high,vhigh,4,more,small,med,acc
high,med,3,more,med,med,acc
high,med,3,more,med,med,acc
vhigh,vhigh,5more,2,big,low,vgood
high,med,3,more,med,med,acc
low,low,2,2,small,low,good
high,vhigh,3,2,small,med,unacc
low,low,2,2,small,med,good
low,low,5more,2,big,low,vgood
vhigh,vhigh,5more,4,big,high,vgood
vhigh,vhigh,5more,2,big,low,unacc
vhigh,vhigh,5more,2,small,low,unacc
med,med,4,more,big,high,vgood
low,low,2,more,small,med,good
high,vhigh,3,more,small,med,acc
vhigh,vhigh,4,2,small,low,unacc
high,med,4,more,med,med,acc
