buying,maint,doors,persons,lug_boot,safety,class
high,high,3,4,med,med,acc
high,med,5more,2,med,low,unacc
vhigh,vhigh,3,2,med,high,vgood
low,med,3,4,med,med,acc
high,high,3,more,med,med,acc
med,high,3,more,big,med,acc
vhigh,vhigh,2,2,big,high,vgood
med,low,4,2,med,low,unacc
low,low,4,2,small,low,good
low,med,4,2,med,low,vgood
med,high,4,more,big,med,acc
low,med,4,2,med,low,good
med,vhigh,5more,more,big,high,acc
low,high,5more,more,big,high,vgood
high,high,3,more,small,low,unacc
high,med,5more,4,med,low,vgood
med,high,4,more,med,med,acc
vhigh,high,4,2,small,low,unacc
low,low,4,more,small,med,good
vhigh,vhigh,3,4,small,med,good
low,med,4,2,big,high,vgood
low,low,2,2,small,low,good
med,low,4,2,med,med,good
vhigh,high,4,2,med,low,unacc
vhigh,high,4,2,big,high,vgood
high,high,3,more,small,med,acc
high,high,4,more,big,high,acc
high,med,5more,2,med,low,vgood
med,vhigh,2,4,med,med,good
low,low,4,more,med,low,good
med,low,2,more,big,low,unacc
high,high,4,2,med,low,vgood
low,high,4,more,big,high,vgood
med,low,5more,more,big,low,vgood
vhigh,vhigh,2,2,med,med,unacc
vhigh,high,4,2,med,high,vgood
high,low,5more,more,small,med,good
vhigh,med,3,2,med,low,unacc
low,high,4,more,big,high,vgood
high,vhigh,5more,more,big,high,acc
low,med,4,more,small,low,vgood
high,vhigh,4,2,med,low,unacc
low,low,2,2,big,low,good
high,low,2,4,small,med,good
low,low,4,4,small,high,good
high,low,2,more,small,low,good
low,high,4,2,small,med,unacc
vhigh,high,4,2,big,med,unacc
low,high,2,2,small,low,unacc
high,high,3,2,small,low,unacc
high,vhigh,3,more,small,med,acc
low,med,5more,4,med,high,vgood
vhigh,vhigh,4,2,med,med,unacc
high,med,3,4,small,high,acc
high,high,5more,more,big,high,acc
low,low,5more,4,small,low,good
low,low,4,4,small,med,good
vhigh,high,4,more,small,med,acc
med,high,4,2,med,med,unacc
med,high,4,4,med,med,good
vhigh,high,2,2,big,high,vgood
vhigh,vhigh,2,2,big,high,unacc
med,high,5more,more,med,med,acc
vhigh,high,2,2,small,high,unacc
high,med,5more,2,med,low,unacc
high,med,5more,4,med,high,acc
med,high,3,4,med,med,acc
med,low,2,2,big,low,good
vhigh,med,3,2,med,high,vgood
high,med,3,2,med,low,unacc
med,high,3,more,med,med,acc
low,high,3,4,small,high,acc
