buying,maint,doors,persons,lug_boot,safety,class
med,vhigh,3,more,small,low,unacc
low,med,5more,4,med,med,good
high,high,5more,4,med,med,acc
med,high,3,more,small,high,acc
med,low,3,more,big,high,vgood
low,low,4,2,small,med,good
low,med,4,2,med,low,good
low,low,4,2,small,low,good
low,vhigh,4,2,big,low,vgood
med,high,3,more,big,high,vgood
low,low,4,2,med,low,good
high,high,3,more,small,low,acc
med,low,2,more,small,low,good
med,med,3,4,big,high,vgood
med,vhigh,4,2,big,low,vgood
high,high,5more,2,big,low,unacc
med,low,3,more,small,high,acc
med,vhigh,3,2,small,low,unacc
low,low,4,more,med,med,good
low,low,4,more,med,med,good
high,med,5more,4,med,med,acc
high,vhigh,2,2,small,low,unacc
high,high,3,2,big,low,unacc
vhigh,vhigh,4,2,small,low,unacc
high,high,5more,2,big,low,unacc
high,vhigh,2,more,small,med,acc
vhigh,vhigh,2,2,small,low,unacc
med,vhigh,3,more,small,low,unacc
med,med,3,more,big,high,vgood
low,high,5more,2,big,high,vgood
med,vhigh,3,more,small,low,vgood
high,high,5more,2,big,low,vgood
med,low,2,more,small,med,good
vhigh,vhigh,4,2,big,low,unacc
high,vhigh,2,more,small,med,acc
low,med,5more,2,med,low,unacc
high,high,5more,2,med,med,acc
vhigh,vhigh,4,2,med,low,unacc
med,vhigh,4,2,big,low,unacc
vhigh,low,2,more,small,med,good
low,low,2,more,small,med,good
high,vhigh,3,more,small,med,acc
low,med,4,2,med,med,good
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,5more,2,med,med,unacc
med,vhigh,2,more,small,low,unacc
med,low,3,more,small,med,acc
low,vhigh,4,2,small,low,unacc
med,vhigh,3,more,small,low,unacc
med,vhigh,3,more,small,low,acc
high,med,5more,4,med,med,acc
med,med,3,4,big,high,vgood
vhigh,med,5more,2,med,med,unacc
med,vhigh,2,2,small,low,unacc
high,high,3,4,big,high,acc
high,high,3,4,big,high,acc
low,low,4,2,small,low,vgood
low,low,4,more,med,med,good
med,vhigh,3,more,small,low,unacc
low,med,5more,2,med,med,good
vhigh,low,2,more,small,med,good
med,high,3,4,big,high,vgood
med,high,3,2,big,high,vgood
med,vhigh,3,more,small,low,unacc
vhigh,vhigh,4,2,big,low,unacc
med,high,3,4,big,high,acc
high,high,3,4,big,high,acc
high,high,5more,2,med,high,vgood
high,high,5more,2,big,low,unacc
med,high,3,more,small,high,acc
low,med,5more,2,med,med,good
high,high,5more,2,big,low,unacc
med,high,3,more,small,high,acc
high,high,3,4,big,high,vgood
high,vhigh,3,2,big,low,vgood
low,high,5more,2,big,high,vgood
vhigh,vhigh,4,2,small,med,unacc
