buying,maint,doors,persons,lug_boot,safety,class
high,vhigh,3,2,med,low,unacc
low,vhigh,3,2,med,high,vgood
high,vhigh,3,2,med,low,unacc
high,high,4,4,big,med,acc
high,med,3,more,med,med,acc
high,high,2,2,big,med,good
low,high,3,more,big,high,vgood
med,low,5more,2,med,low,good
vhigh,vhigh,3,2,small,low,unacc
high,high,2,2,big,low,vgood
low,vhigh,4,2,small,low,good
low,high,2,2,big,low,vgood
high,med,2,more,big,med,acc
low,vhigh,4,2,small,low,unacc
vhigh,high,4,4,big,low,acc
high,med,5more,more,med,high,acc
high,high,2,2,big,low,unacc
high,low,5more,more,small,med,good
low,vhigh,3,2,med,low,vgood
high,high,2,more,big,low,vgood
low,high,2,4,big,med,good
low,low,2,4,big,med,good
vhigh,vhigh,5more,2,small,low,unacc
high,vhigh,5more,2,med,low,unacc
low,high,3,2,med,high,vgood
high,high,3,more,big,high,acc
high,high,2,2,big,low,vgood
vhigh,high,4,4,small,low,unacc
high,low,2,2,big,low,unacc
high,high,2,4,big,med,acc
med,low,5more,2,small,low,unacc
vhigh,vhigh,5more,2,med,low,unacc
med,low,2,2,big,low,unacc
vhigh,high,4,2,big,low,unacc
vhigh,low,5more,2,small,low,unacc
low,high,4,4,big,high,vgood
vhigh,vhigh,3,2,small,low,unacc
high,vhigh,5more,more,med,med,acc
high,high,2,more,big,med,acc
low,high,2,2,big,low,vgood
vhigh,low,2,2,big,low,unacc
low,low,2,2,med,low,good
med,low,2,2,big,low,good
high,vhigh,3,more,small,med,acc
low,med,4,4,big,high,vgood
high,high,2,2,big,low,unacc
low,low,2,2,med,low,good
med,low,2,2,big,low,unacc
low,high,4,4,big,high,vgood
high,high,2,more,big,med,acc
high,high,4,4,big,med,acc
low,low,4,2,small,low,good
high,vhigh,3,more,med,high,acc
low,high,2,2,med,low,vgood
vhigh,high,4,4,small,med,acc
low,vhigh,3,more,med,med,good
vhigh,high,2,2,big,low,unacc
high,med,3,more,big,high,acc
vhigh,high,4,4,big,med,acc
med,low,2,2,big,low,good
low,vhigh,3,2,med,high,vgood
high,high,2,2,big,low,unacc
low,vhigh,3,more,med,med,acc
vhigh,vhigh,4,4,small,low,unacc
vhigh,high,4,2,big,low,unacc
high,vhigh,3,2,med,low,unacc
med,low,5more,more,small,med,good
med,low,5more,2,med,low,good
vhigh,vhigh,4,4,small,high,vgood
vhigh,low,5more,2,med,low,unacc
vhigh,high,4,2,big,low,unacc
low,low,5more,more,med,med,good
high,high,3,more,med,high,acc
high,vhigh,3,more,med,high,vgood
high,high,2,more,big,low,unacc
high,low,5more,more,med,high,acc
high,high,2,more,big,med,unacc
vhigh,low,4,2,small,low,unacc
low,vhigh,2,2,med,low,good
vhigh,high,4,4,small,med,good
vhigh,low,5more,2,small,low,unacc
high,vhigh,3,2,med,low,unacc
vhigh,high,4,2,small,low,unacc
high,vhigh,3,2,med,low,vgood
high,high,3,more,small,med,acc
high,vhigh,5more,more,med,high,vgood
vhigh,med,4,4,small,high,acc
low,low,4,4,small,low,good
low,vhigh,3,2,small,med,good
med,low,2,2,small,low,good
high,high,2,more,big,med,acc
med,low,5more,2,med,low,vgood
vhigh,low,5more,2,small,low,unacc
med,low,5more,2,big,low,vgood
vhigh,high,2,2,big,low,unacc
high,high,4,4,big,high,acc
low,med,3,more,med,med,good
high,high,4,4,big,high,vgood
vhigh,low,5more,4,small,low,unacc
vhigh,med,5more,2,big,high,vgood
high,vhigh,3,more,med,med,acc
high,low,5more,more,med,med,acc
vhigh,vhigh,3,2,small,low,unacc
