checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
>=200,6,critical/other existing credit,domestic appliance,396,<100,4<=X<7,1,male mar/wid,none,1,life insurance,22,stores,for free,1,skilled,1,none,yes,bad
>=200,4,no credits/all paid,domestic appliance,863,no known savings,4<=X<7,1,male single,none,1,life insurance,25,stores,for free,1,skilled,1,none,no,bad
>=200,7,no credits/all paid,domestic appliance,420,no known savings,4<=X<7,1,male single,none,1,life insurance,25,stores,for free,1,skilled,1,none,no,bad
>=200,5,critical/other existing credit,domestic appliance,371,no known savings,4<=X<7,1,male single,none,1,car,25,stores,for free,1,skilled,1,none,no,bad
>=200,6,critical/other existing credit,domestic appliance,382,100<=X<500,1<=X<4,1,male single,guarantor,1,real estate,24,stores,own,1,skilled,1,none,no,bad
>=200,6,critical/other existing credit,domestic appliance,442,<100,1<=X<4,1,male mar/wid,none,1,car,21,stores,for free,1,skilled,1,none,yes,bad
>=200,4,critical/other existing credit,domestic appliance,807,100<=X<500,4<=X<7,1,male single,none,1,car,24,stores,for free,1,skilled,1,none,no,bad
>=200,6,critical/other existing credit,domestic appliance,789,100<=X<500,1<=X<4,1,male single,none,1,no known property,24,stores,own,1,skilled,1,none,no,bad
>=200,5,critical/other existing credit,domestic appliance,941,no known savings,4<=X<7,1,male single,none,1,real estate,25,stores,own,1,skilled,1,none,no,bad
>=200,4,critical/other existing credit,domestic appliance,611,no known savings,>=7,1,male single,none,1,life insurance,24,stores,for free,1,skilled,1,none,no,bad
>=200,6,no credits/all paid,domestic appliance,577,no known savings,4<=X<7,1,male single,none,1,car,24,stores,for free,1,skilled,1,none,no,bad
>=200,5,critical/other existing credit,domestic appliance,327,<100,1<=X<4,1,male mar/wid,none,1,life insurance,23,stores,for free,1,skilled,1,none,yes,bad
>=200,5,no credits/all paid,domestic appliance,426,<100,4<=X<7,1,male mar/wid,none,1,car,21,stores,for free,1,skilled,1,none,yes,bad
>=200,5,critical/other existing credit,domestic appliance,377,no known savings,4<=X<7,1,male mar/wid,none,1,no known property,21,stores,for free,1,skilled,1,none,yes,bad
>=200,6,no credits/all paid,domestic appliance,358,100<=X<500,1<=X<4,1,male mar/wid,guarantor,1,real estate,19,stores,for free,1,skilled,1,none,yes,bad
