V1,V6,V10,V12,V13,V14,V15,V2,V3,V4,V5,V7,V8,V9,V11,V16,Class
58,2143,5,261,1,-0.999999999999957,5.55111512312578e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
57,52.0000000000005,5,38.0000000000001,1,-0.999999999999993,5.55111512312578e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
33,2.27373675443232e-13,5,54.0000000000002,1,-0.999999999999979,3.33066907387547e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
28,723,5.00000000000001,262,1,-0.999999999999972,-1.11022302462516e-16,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40,-2.27373675443232e-13,5,181,1,-0.999999999999972,2.22044604925031e-16,retired,divorced,primary,no,yes,yes,telephone,oct,unknown,1
36,264.999999999999,5.00000000000001,348,1,-0.99999999999995,2.22044604925031e-16,services,single,secondary,yes,yes,yes,unknown,may,unknown,1
57,839,5,225,1,-0.999999999999964,4.44089209850063e-16,services,divorced,secondary,yes,yes,yes,unknown,jun,unknown,1
53,-3.00000000000637,5.00000000000003,1666,1.00000000000001,-0.999999999999822,1.11022302462516e-16,technician,divorced,secondary,no,yes,no,unknown,jun,unknown,1
37,0,5,137,1,-0.999999999999979,2.22044604925031e-16,student,single,secondary,no,yes,no,unknown,may,other,1
60,104,5,22.0000000000001,1,-0.999999999999986,7.7715611723761e-16,unknown,married,unknown,no,yes,no,unknown,may,unknown,1
54,528.999999999995,5.00000000000002,1492,1.00000000000001,-0.999999999999858,-6.66133814775094e-16,retired,divorced,primary,no,yes,no,unknown,oct,unknown,1
36,-171.000000000001,5.00000000000001,242,1,-0.999999999999964,2.22044604925031e-16,student,single,primary,no,yes,no,unknown,may,other,1
55,9.09494701772928e-13,5,160,1,-0.999999999999979,5.55111512312578e-16,services,divorced,secondary,no,yes,no,unknown,jun,unknown,1
29,-9.09494701772928e-13,5.00000000000001,363,1,-0.999999999999957,-1.11022302462516e-16,management,single,tertiary,no,yes,no,unknown,may,other,1
42,-76.0000000000018,5.00000000000002,786.999999999999,1,-0.999999999999901,5.55111512312578e-16,student,single,secondary,no,yes,no,unknown,may,other,1
24,-103.000000000001,5.00000000000001,145,1,-0.999999999999972,-1.11022302462516e-16,services,single,secondary,yes,yes,yes,unknown,may,unknown,1
38,424,5,104,1,-0.999999999999972,2.22044604925031e-16,management,single,tertiary,no,yes,no,unknown,may,other,1
32,2.27373675443232e-13,5.00000000000001,138,1,-0.999999999999972,3.33066907387547e-16,services,divorced,tertiary,no,yes,no,unknown,may,unknown,1
53,988.999999999998,5.00000000000001,811.999999999999,1.00000000000001,-0.999999999999908,0,services,divorced,secondary,no,yes,no,unknown,may,unknown,1
57,249,5,164,1,-0.999999999999972,3.33066907387547e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
51,6530,5,90.9999999999999,1,-0.999999999999979,4.44089209850063e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
60,99.9999999999989,5.00000000000001,527.999999999999,1,-0.999999999999943,2.22044604925031e-16,retired,divorced,primary,no,no,no,telephone,oct,success,2
35,12223,5,177,1,-0.999999999999957,1.11022302462516e-16,blue-collar,single,secondary,yes,yes,yes,unknown,may,unknown,1
54,282,5,154,1,-0.999999999999979,4.44089209850063e-16,entrepreneur,divorced,tertiary,yes,yes,yes,unknown,may,unknown,1
43,1937,5,181,1,-0.999999999999972,3.33066907387547e-16,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1
49,-6.82121026329696e-13,5,272,1,-0.999999999999964,1.11022302462516e-16,services,divorced,secondary,yes,yes,yes,unknown,may,unknown,1
45,206,5.00000000000001,193,1,-0.999999999999972,3.33066907387547e-16,student,single,secondary,no,yes,no,unknown,may,other,1
47,164,5.00000000000001,212,1,-0.999999999999972,1.11022302462516e-16,services,divorced,secondary,no,yes,yes,unknown,jun,unknown,1
59,2343,5.00000000000001,1042,1.00000000000001,-0.999999999999879,5.55111512312578e-16,admin.,divorced,secondary,no,yes,no,unknown,dec,success,2
46,137,5,246,1,-0.999999999999972,2.22044604925031e-16,entrepreneur,divorced,tertiary,yes,yes,yes,unknown,jun,unknown,1
51,172.999999999999,5.00000000000001,529,2,-0.999999999999922,7.7715611723761e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
57,486.000000000001,5,180,2,-0.999999999999972,6.66133814775094e-16,retired,divorced,primary,no,yes,no,unknown,oct,unknown,1
52,128,5,229,1,-0.999999999999964,5.55111512312578e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
27,-1.36424205265939e-12,5.00000000000001,400,1,-0.999999999999957,-1.11022302462516e-16,student,single,tertiary,no,yes,no,unknown,may,unknown,1
34,61.0000000000005,5,21.0000000000001,1,-0.999999999999986,1.11022302462516e-16,services,divorced,secondary,yes,yes,yes,unknown,jun,unknown,1
46,79.0000000000005,5,144,1,-0.999999999999972,7.7715611723761e-16,services,divorced,secondary,no,yes,no,unknown,jun,unknown,1
36,447.999999999999,5.00000000000001,286,1,-0.999999999999957,1.11022302462516e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
59,81.0000000000011,5,107,1,-0.999999999999979,5.55111512312578e-16,retired,divorced,primary,no,yes,no,telephone,oct,other,1
44,144,5.00000000000001,247,2,-0.999999999999972,3.33066907387547e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
41,350.999999999999,5.00000000000001,517.999999999999,1,-0.999999999999936,3.33066907387547e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
33,-67.0000000000007,5.00000000000001,364,1,-0.999999999999957,-1.11022302462516e-16,management,single,tertiary,no,yes,no,unknown,may,other,1
51,26.0000000000007,5,79.0000000000002,1,-0.999999999999993,5.55111512312578e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
43,41.0000000000005,5,127,2,-0.999999999999979,5.55111512312578e-16,services,divorced,secondary,yes,yes,yes,unknown,may,unknown,1
52,7,5,175,1,-0.999999999999979,4.44089209850063e-16,technician,divorced,tertiary,yes,yes,yes,unknown,jun,unknown,1
55,1185,5.00000000000001,676.999999999999,1.00000000000001,-0.999999999999915,1.11022302462516e-16,unknown,single,unknown,no,no,no,unknown,jun,unknown,1
38,1685,5,185,1,-0.999999999999972,-1.11022302462516e-16,student,single,secondary,no,yes,no,unknown,may,unknown,1
28,2.27373675443232e-13,5,125,2,-0.999999999999979,3.33066907387547e-16,unemployed,single,tertiary,yes,yes,no,unknown,feb,other,1
32,-2.27373675443232e-13,5.00000000000001,136,1,-0.999999999999972,1.11022302462516e-16,student,single,secondary,no,yes,no,unknown,may,unknown,1
33,22,5,71.0000000000001,1,-0.999999999999979,2.22044604925031e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
54,347.999999999999,5.00000000000001,578.999999999999,2,-0.999999999999943,5.55111512312578e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
51,1883,5,57.0000000000001,1,-0.999999999999979,7.7715611723761e-16,unknown,married,unknown,no,yes,no,unknown,may,unknown,1
35,-3.41060513164848e-12,5.00000000000002,1056,1,-0.999999999999901,-5.55111512312578e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
44,1357,5.00000000000001,250,1,-0.999999999999957,3.33066907387547e-16,services,divorced,secondary,yes,yes,yes,unknown,may,unknown,1
60,92,5,130,1,-0.999999999999979,5.55111512312578e-16,services,divorced,secondary,no,yes,yes,unknown,may,other,1
35,786.999999999998,5.00000000000001,682.999999999999,2,-0.999999999999922,2.22044604925031e-16,services,divorced,secondary,no,yes,no,unknown,may,unknown,1
40,4384,5.00000000000001,315,1,-0.999999999999957,-1.11022302462516e-16,unknown,divorced,unknown,no,yes,no,unknown,jun,unknown,1
31,-2.04636307898909e-12,5.00000000000001,561.999999999999,1,-0.999999999999929,2.22044604925031e-16,management,single,tertiary,no,yes,no,unknown,may,other,1
51,2127,5,172,1,-0.999999999999972,3.33066907387547e-16,retired,divorced,primary,no,yes,no,unknown,oct,unknown,1
33,377,5.00000000000001,217,1,-0.999999999999972,-2.22044604925031e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
42,445,5,67.0000000000001,1,-0.999999999999993,3.33066907387547e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
38,154.999999999999,5.00000000000001,248,1,-0.999999999999972,1.11022302462516e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
50,173,5,98.0000000000001,1,-0.999999999999979,3.33066907387547e-16,services,divorced,tertiary,yes,yes,yes,unknown,jun,unknown,1
61,1428,5,82.0000000000002,2,-0.999999999999986,7.7715611723761e-16,blue-collar,divorced,primary,no,yes,no,unknown,may,other,1
44,575,5.00000000000001,476.999999999999,1,-0.999999999999936,2.22044604925031e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
50,5699,5.00000000000001,381,2,-0.999999999999957,5.55111512312578e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
42,55.9999999999996,5.00000000000001,215,1,-0.999999999999972,-1.11022302462516e-16,retired,divorced,primary,no,yes,no,unknown,oct,unknown,1
53,330,5.00000000000001,216,2,-0.999999999999979,6.66133814775094e-16,retired,divorced,primary,no,yes,no,unknown,oct,unknown,1
59,195,5.00000000000001,366,2,-0.99999999999995,7.7715611723761e-16,housemaid,divorced,primary,no,no,no,unknown,jun,unknown,1
36,301,5.00000000000001,210,1,-0.999999999999972,-1.11022302462516e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
40,483,5,168,1,-0.999999999999972,3.33066907387547e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
46,965,5.00000000000001,177,1,-0.999999999999979,1.11022302462516e-16,housemaid,married,primary,no,no,no,unknown,jun,unknown,1
35,-69.0000000000009,5.00000000000001,300,1,-0.999999999999957,1.11022302462516e-16,entrepreneur,divorced,secondary,yes,yes,yes,unknown,jun,unknown,1
48,278,5,125,2,-0.999999999999979,5.55111512312578e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
53,1467,5,124,1,-0.999999999999979,3.33066907387547e-16,services,divorced,secondary,no,yes,yes,unknown,may,other,1
31,387.999999999998,5.00000000000001,729.999999999999,2,-0.999999999999922,-2.22044604925031e-16,services,divorced,secondary,no,yes,yes,unknown,may,unknown,1
53,1827,5,121,1,-0.999999999999979,7.7715611723761e-16,unknown,married,unknown,no,yes,no,unknown,jun,unknown,1
