V1,V6,V10,V12,V13,V14,V15,V2,V3,V4,V5,V7,V8,V9,V11,V16,Class
58,2143,5,261,1,-0.999999999999964,0,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
47,1506,5,91.9999999999999,1,-0.999999999999993,1.11022302462516e-16,unknown,married,unknown,no,yes,no,unknown,may,unknown,1
42,1.99999999999977,5,380,1,-0.999999999999972,1.11022302462516e-16,entrepreneur,divorced,tertiary,yes,yes,yes,unknown,jun,unknown,1
43,593,5,54.9999999999998,1,-1.00000000000002,1.11022302462516e-16,student,single,secondary,no,yes,no,unknown,may,unknown,1
53,6,5,517,1,-0.999999999999936,1.11022302462516e-16,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1
58,70.9999999999989,5,70.9999999999999,1,-1,2.22044604925031e-16,unknown,married,unknown,no,yes,no,unknown,jun,unknown,1
45,12.9999999999998,5,97.9999999999999,1,-1.00000000000001,3.33066907387547e-16,unknown,single,unknown,no,yes,no,unknown,jun,unknown,1
28,723.000000000001,5,262,1,-1,3.33066907387547e-16,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
56,778.999999999999,5,164,1,-0.999999999999993,2.22044604925031e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
44,-372.000000000001,5,172,1,-1,1.11022302462516e-16,admin.,divorced,secondary,no,yes,yes,unknown,may,unknown,1
49,378,5,230,1,-0.999999999999993,1.11022302462516e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
50,48.9999999999993,5,180,2,-1,1.11022302462516e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
54,529.000000000002,5,1492,1,-0.999999999999787,-7.7715611723761e-16,retired,divorced,primary,no,yes,no,unknown,oct,other,1
58,95.9999999999991,5,616,1,-0.999999999999922,1.11022302462516e-16,unknown,divorced,unknown,no,yes,no,telephone,sep,other,1
55,-1.13686837721616e-12,5,160,1,-1,1.11022302462516e-16,technician,divorced,secondary,no,yes,no,unknown,jun,unknown,1
32,0,5,179,1,-1.00000000000001,3.33066907387547e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
38,243,5,174,1,-1,2.22044604925031e-16,entrepreneur,single,tertiary,yes,yes,yes,unknown,jun,unknown,1
32,2.27373675443232e-13,5,138,1,-1.00000000000001,6.66133814775094e-16,admin.,divorced,tertiary,no,yes,yes,unknown,may,unknown,1
53,989.000000000001,5,812,1,-0.999999999999901,-2.22044604925031e-16,services,divorced,secondary,no,yes,no,unknown,may,other,1
57,248.999999999999,5,164,1,-0.999999999999993,3.33066907387547e-16,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1
33,790.000000000001,5,391,1,-0.999999999999964,1.11022302462516e-16,services,divorced,secondary,yes,yes,yes,unknown,may,unknown,1
51,6530,4.99999999999999,90.9999999999999,1,-0.999999999999993,-1.11022302462516e-16,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1
55,1205,4.99999999999999,158,2,-0.999999999999993,2.22044604925031e-16,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1
35,12223,4.99999999999999,177,1,-0.999999999999964,-5.55111512312578e-16,blue-collar,single,secondary,yes,yes,yes,unknown,may,unknown,1
57,5935,5,258,1,-0.999999999999943,-1.11022302462516e-16,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
43,1937,5,181,1,-0.999999999999986,1.11022302462516e-16,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1
53,384,5,176,1,-0.999999999999993,0,technician,divorced,secondary,no,yes,no,unknown,may,unknown,1
55,90.9999999999993,5,349,1,-0.999999999999964,1.11022302462516e-16,services,divorced,secondary,yes,yes,yes,unknown,jun,other,1
