V1,V6,V10,V12,V13,V14,V15,V2,V3,V4,V5,V7,V8,V9,V11,V16,Class
50.1551376737185,4169.72811807101,11.0852897290065,413.139434964582,0.475491211889641,10.729802275426,-0.00787094853795678,management,single,tertiary,yes,yes,no,unknown,jun,unknown,1
39.4220977160584,1077.35910189649,11.5089841082146,375.714862978402,0.828366694245658,16.5875703633773,-0.00355398926436956,student,single,secondary,no,yes,no,unknown,may,unknown,1
33.8524900857684,-527.084974041035,11.7583558988291,354.881544016546,1.02784514696984,20.9011780480417,0.0235214171180439,blue-collar,divorced,secondary,yes,yes,yes,unknown,may,unknown,1
38.5461320353902,896.582180762894,9.5943869448135,423.380730011141,-0.00820234731347513,12.2523526114103,-0.145099521757706,management,divorced,tertiary,yes,yes,yes,unknown,jun,unknown,1
43.3973022782559,2267.64326905207,10.1051859258848,422.427935598526,0.142044235772692,10.5817135628751,-0.110228875039325,unknown,married,primary,yes,no,no,unknown,jun,unknown,1
47.4792035068402,3386.28250616327,11.4781159265087,397.258912448502,0.686302326461817,11.180581371399,-0.0183564318689284,unknown,married,primary,yes,no,no,unknown,jun,unknown,1
46.7073912984494,3154.44074543685,11.796670947746,386.534322461042,0.842295040915841,13.3129707814321,0.0218117102977764,management,single,tertiary,yes,yes,no,unknown,jun,unknown,1
37.4046441604787,513.10629407123,11.136959280059,380.231909506429,0.695189889725663,16.9481363211372,-0.0285425310244861,housemaid,married,primary,yes,yes,yes,unknown,jun,unknown,1
43.5284450865102,2237.00902821064,11.9623948076612,374.425061808863,0.964560593452033,15.106000146665,0.0252391815729621,blue-collar,divorced,secondary,yes,yes,yes,unknown,may,unknown,1
35.9998990142236,165.204336536923,9.65993982038296,414.953744901054,0.0623086026942996,14.4091112219295,-0.13049923736366,services,single,secondary,yes,yes,yes,unknown,may,unknown,1
46.8823039623966,3218.51127654704,11.388864877571,398.083619634648,0.655990815209615,11.2828156649652,-0.0252892476593803,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
46.0097225173567,2975.75762385461,11.1951916987065,400.845965048594,0.584064984126763,11.4397313867817,-0.0369358803045458,services,single,secondary,yes,yes,yes,unknown,may,unknown,1
35.8815170957841,67.3830309032774,11.3951903261303,369.576647579717,0.834176301184028,18.6212199349267,-0.0068473934457286,student,single,secondary,no,yes,no,unknown,may,other,1
46.2357256152754,3414.49687101595,1.00404928065818,666.793090891453,-3.94495885278603,-14.2070228773502,-0.785448753521992,unknown,married,primary,no,yes,no,unknown,jun,unknown,1
44.8461699369476,2620.52572015915,11.7924056288204,382.318978141826,0.867701266374996,13.6683431211337,0.00805190782366938,blue-collar,single,unknown,yes,yes,no,unknown,jun,unknown,1
32.067884803506,-948.552868050266,9.31063960736702,414.087813877655,-0.0309702211778919,15.8376951664258,-0.155663445025752,management,single,tertiary,yes,yes,no,unknown,jun,unknown,1
41.0072017677345,1556.52654302695,10.8131978241465,398.099484365047,0.49320215213557,13.4503434276423,-0.0636716651917444,management,single,tertiary,yes,yes,no,unknown,jun,unknown,1
38.7038710778748,1062.13845301351,6.30655355297684,509.535651505349,-1.47138864718897,3.66604590707815,-0.391552411394067,student,single,secondary,no,yes,no,unknown,may,other,1
36.8299770267062,349.06451672584,11.1300285251039,378.785817999223,0.702012289229032,17.5851413051083,-0.0229775095210385,management,single,tertiary,yes,yes,yes,unknown,jun,unknown,1
37.4494713555031,527.154978505799,11.1047794960861,381.171769243583,0.680254244675814,16.8630261657431,-0.0305014289871456,student,single,unknown,no,yes,no,unknown,jun,unknown,1
