V1,V6,V10,V12,V13,V14,V15,V2,V3,V4,V5,V7,V8,V9,V11,V16,Class
40.901355322879,1371.94037549937,15.7043351658328,257.808626507495,2.72364076406787,43.4143644954443,0.631092130746265,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.9069326864213,1369.38412595974,15.7632465245375,257.401773507768,2.74436268487082,41.6890356342316,0.593878728451974,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.8934039409731,1375.58469887582,15.6203480439429,258.388657476575,2.69409850725125,45.8740837847789,0.684145508280739,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.9092316094421,1368.33047025508,15.7875290870206,257.234073532678,2.75290401455208,40.9778755659956,0.578539805937051,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.8908967052384,1376.73382966923,15.5938651613761,258.571553278855,2.68478322056886,46.6496843247301,0.700874339265798,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.9157962215176,1365.32173925368,15.8568683391248,256.755203526322,2.77729392037384,38.9471464247779,0.534739263222104,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.909148285597,1368.36865972204,15.7866489720898,257.240151773065,2.75259443636048,41.0036513709441,0.579095761048318,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.8920607758557,1376.20030608643,15.6061607525054,258.486637598002,2.6891081635206,46.289585038149,0.693107402817515,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.9085866903376,1368.62605331175,15.7807170762179,257.281118569326,2.7505079070532,41.1773779896221,0.582842848745876,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.905786899429,1369.90926968569,15.7511440556934,257.485355449546,2.74010567219242,42.0434789750027,0.601523672512887,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
40.9031868088726,1371.10095823844,15.7236803864753,257.675024750179,2.73044539629644,42.8478036787359,0.618872051391925,blue-collar,married,primary,yes,yes,yes,unknown,may,unknown,1
