Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings,tst_cat
0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,M
0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,M
0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,M
0.33,0.255,0.08,0.205,0.0895,0.0395,0.0550000000000001,7,I
0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,
0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,M
0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,
0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,
0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,
0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,
0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,M
0.24,0.175,0.0450000000000001,0.0700000000000004,0.0315,0.0235,0.0200000000000001,5,I
0.39,0.295,0.095,0.203,0.0875000000000001,0.045,0.0750000000000001,7,I
0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,
0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,M
0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,M
0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,M
0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,M
0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,M
0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,M
0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,M
0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,M
0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,M
0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,
0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,
0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,I
0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,
0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,
0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,
0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,M
0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,M
0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,M
0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,
0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,M
0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,M
0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,
0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,M
0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,M
0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,M
0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,M
0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,
0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,
0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,
0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,M
0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,M
0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,
0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,
0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,
0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,I
0.37,0.265,0.075,0.214,0.0900000000000001,0.051,0.07,6,M
