Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings,tst_cat
0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,M
0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,I
0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,M
0.33,0.255,0.08,0.205,0.0895000000000001,0.0395,0.055,7,I
0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,I
0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,I
0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,I
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,I
0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,M
0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,M
0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,I
0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,M
0.38,0.275,0.1,0.2255,0.0800000000000001,0.049,0.0850000000000001,10,I
0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,I
0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,I
0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,M
0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,I
0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,I
0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,I
0.24,0.175,0.045,0.0700000000000002,0.0315000000000001,0.0235,0.02,5,I
0.205,0.15,0.055,0.0420000000000004,0.0255,0.015,0.012,5,I
0.21,0.15,0.05,0.0420000000000004,0.0175000000000001,0.0125,0.0150000000000001,4,I
0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,M
0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,I
0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,I
0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,M
0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,I
0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,M
0.245,0.19,0.06,0.0860000000000003,0.042,0.014,0.0250000000000001,4,I
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,M
0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,I
0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,M
0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,I
0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,M
0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,I
0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,I
0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,I
0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,I
0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,I
0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,M
0.475,0.375,0.125,0.5785,0.2775,0.0850000000000001,0.155,10,I
0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,I
0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,I
0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,M
0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,M
0.405,0.305,0.085,0.2605,0.1145,0.0595,0.0850000000000001,8,M
0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,I
0.375,0.275,0.09,0.238,0.1075,0.0545000000000001,0.0700000000000001,6,I
0.385,0.29,0.085,0.2505,0.112,0.0610000000000001,0.0800000000000001,8,I
0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,M
0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,M
0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,I
0.325,0.26,0.09,0.1915,0.0850000000000001,0.036,0.062,7,I
0.35,0.26,0.095,0.211,0.0860000000000001,0.056,0.0680000000000001,7,I
0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,M
0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,I
0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,I
0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,M
0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,M
0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,I
0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,M
0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,I
0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,M
0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,M
0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,I
0.235,0.16,0.0400000000000001,0.0480000000000004,0.0185,0.018,0.015,5,I
0.315,0.245,0.085,0.1435,0.0530000000000002,0.0475,0.05,8,I
0.225,0.16,0.045,0.0465000000000003,0.0250000000000001,0.015,0.0150000000000002,4,I
0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,M
0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,I
0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,I
0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,M
0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,I
0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,I
0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,I
0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,I
0.37,0.28,0.095,0.2655,0.122,0.0520000000000001,0.0800000000000001,7,I
0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12,I
0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,I
0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,I
0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,I
0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,I
0.39,0.29,0.125,0.3055,0.121,0.082,0.0900000000000001,7,I
0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,I
0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15,I
0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,M
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,M
0.275,0.215,0.075,0.1155,0.0485000000000002,0.029,0.0350000000000001,7,I
0.11,0.09,0.03,0.00800000000000012,0.00250000000000011,0.00200000000000006,0.003,3,I
0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,M
0.23,0.175,0.065,0.0645000000000002,0.026,0.0105,0.0200000000000001,5,I
0.3,0.23,0.08,0.1275,0.0435000000000001,0.0265000000000001,0.0400000000000001,8,I
0.33,0.255,0.085,0.1655,0.0630000000000001,0.0390000000000001,0.0600000000000001,8,I
0.305,0.245,0.075,0.156,0.0675000000000001,0.0380000000000001,0.0450000000000001,7,I
