Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings,tst_cat
0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,M
0.35,0.265,0.09,0.2255,0.0995000000000001,0.0485,0.0700000000000001,7,M
0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,
0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,
0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,M
0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,
0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,
0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,
0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,M
0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,M
0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,M
0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,
0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,
0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,
0.205,0.15,0.055,0.042,0.0255,0.015,0.0120000000000001,5,I
0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,M
0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,
0.325,0.245,0.07,0.161,0.0755000000000001,0.0255,0.0450000000000001,6,I
0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,I
0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,M
0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,
0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,M
0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,
0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,M
0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,M
0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,
0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,M
0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,M
0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,
0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,
0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,
0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,M
0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,
0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,M
0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,M
0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,M
0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,M
0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,M
0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,
0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,
0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,
0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,
0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,M
0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,
0.36,0.28,0.08,0.1755,0.081,0.0505,0.0700000000000001,6,I
0.375,0.275,0.09,0.238,0.1075,0.0545000000000001,0.0700000000000001,6,I
0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,M
0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,
0.35,0.26,0.095,0.211,0.0860000000000001,0.056,0.0680000000000001,7,I
0.265,0.2,0.065,0.0974999999999999,0.04,0.0205,0.0280000000000001,7,I
0.305,0.23,0.08,0.156,0.0675,0.0345,0.0480000000000001,7,
0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,
0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,
0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,M
0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,
0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,M
0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,
0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,M
0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,
0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,M
0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,M
0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,
0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,M
0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,M
0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,M
0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,M
0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,
0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7,I
0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,
0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,M
0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7,I
0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8,
0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,
0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,M
0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,I
0.13,0.1,0.03,0.013,0.00449999999999989,0.003,0.00400000000000003,3.00000000000001,I
0.27,0.2,0.07,0.1,0.034,0.0245,0.0350000000000001,5,I
0.3,0.23,0.08,0.1275,0.0435000000000001,0.0265000000000001,0.0400000000000001,8,I
0.33,0.255,0.085,0.1655,0.0630000000000001,0.0390000000000001,0.0600000000000001,8,I
0.345,0.27,0.11,0.2135,0.0820000000000001,0.0545,0.0700000000000001,7,I
0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12,
0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13,
0.245,0.195,0.06,0.095,0.0444999999999999,0.0245,0.026,4,I
0.27,0.2,0.08,0.1205,0.0464999999999999,0.028,0.0400000000000001,6,M
0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11,
0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22,M
0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18,M
0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,
0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9,
0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10,
