Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings,tst_cat
0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,I
0.35,0.265,0.09,0.225500000000001,0.0995000000000003,0.0485000000000001,0.0700000000000001,7,I
0.33,0.255,0.08,0.205000000000001,0.0895000000000002,0.0395000000000001,0.0550000000000001,7,I
0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,I
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,F
0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,I
0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,F
0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,I
0.355,0.28,0.095,0.245500000000001,0.0955000000000001,0.062,0.0750000000000001,11,I
0.38,0.275,0.1,0.2255,0.0800000000000001,0.0490000000000001,0.0850000000000001,10,I
0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,F
0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,F
0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,F
0.665,0.525,0.165,1.338,0.551499999999999,0.3575,0.35,18,I
0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,F
0.355,0.29,0.09,0.327500000000001,0.134,0.0860000000000001,0.0900000000000001,9,I
0.205,0.15,0.055,0.0420000000000008,0.0255000000000003,0.0150000000000001,0.0120000000000001,5,I
0.39,0.295,0.095,0.203,0.0875000000000002,0.0450000000000001,0.0750000000000001,7,I
0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,F
0.445,0.35,0.12,0.4425,0.192,0.0955000000000001,0.135,8,I
0.245,0.19,0.06,0.0860000000000007,0.0420000000000002,0.0140000000000002,0.025,4,I
0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,F
0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,I
0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,I
0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,F
0.31,0.235,0.07,0.151000000000001,0.0630000000000002,0.0405000000000001,0.0450000000000001,6,I
0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,F
0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,I
0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,F
0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,I
0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,F
0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,I
0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,I
0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,F
0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,I
0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,I
0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,I
0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,F
0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,F
0.435,0.395,0.105,0.3635,0.136,0.0980000000000001,0.13,9,F
0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,I
0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,I
0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,F
0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,F
0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,F
0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,F
0.385,0.295,0.085,0.253500000000001,0.103,0.0575000000000001,0.0850000000000001,7,I
0.37,0.265,0.075,0.214,0.0900000000000002,0.0510000000000001,0.0700000000000001,6,I
0.375,0.275,0.09,0.238,0.1075,0.0545000000000001,0.0700000000000001,6,I
0.385,0.29,0.085,0.2505,0.112,0.0610000000000001,0.0800000000000001,8,I
0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,I
0.325,0.26,0.09,0.1915,0.0850000000000003,0.0360000000000001,0.062,7,F
0.425,0.33,0.115,0.406,0.1635,0.0810000000000001,0.1355,8,F
0.375,0.285,0.095,0.253,0.096,0.0575000000000001,0.0925000000000001,9,I
0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,I
0.28,0.205,0.08,0.127,0.0520000000000001,0.0390000000000001,0.0420000000000001,9.00000000000001,I
0.175,0.13,0.055,0.031500000000001,0.0105000000000003,0.00650000000000017,0.0125000000000001,5,I
0.17,0.13,0.095,0.0300000000000007,0.0130000000000005,0.00800000000000017,0.0100000000000001,4,I
0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,I
0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,F
0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,F
0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,F
0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,F
0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,F
0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,F
0.235,0.16,0.04,0.0480000000000009,0.0185000000000001,0.0180000000000001,0.015,5,I
0.225,0.16,0.045,0.0465000000000004,0.0250000000000003,0.0150000000000001,0.015,4,I
0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,I
0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,I
0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,F
0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,F
0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,I
0.355,0.275,0.085,0.22,0.0920000000000001,0.0600000000000001,0.15,8,I
0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,F
0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,I
0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,F
0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,I
0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,F
0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,F
0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,I
0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,F
0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,F
0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,I
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,I
0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22,I
0.275,0.215,0.075,0.115500000000001,0.0485000000000002,0.0290000000000001,0.0350000000000001,7,I
0.295,0.225,0.08,0.124000000000001,0.0485000000000001,0.0320000000000001,0.0400000000000001,9.00000000000001,I
0.0749999999999998,0.0550000000000003,0.0100000000000001,0.00200000000000078,0.00100000000000033,0.000500000000000167,0.00150000000000003,0.999999999999998,I
0.13,0.1,0.03,0.0130000000000008,0.00450000000000034,0.0030000000000002,0.00400000000000006,3,I
0.11,0.0900000000000003,0.03,0.00800000000000123,0.00250000000000034,0.00200000000000022,0.00300000000000006,3,I
0.16,0.12,0.0350000000000001,0.0210000000000006,0.00750000000000012,0.00450000000000012,0.00500000000000003,5,I
0.27,0.2,0.07,0.100000000000001,0.0340000000000004,0.0245000000000002,0.0350000000000001,5,I
