classes,cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat
e,b,s,w,t,l,a,c,b,k,e,c,s,s,w,w,p,n,t,p,u,n,m
e,b,y,y,t,l,f,c,b,k,e,c,s,y,w,w,p,w,t,p,u,n,m
e,b,y,y,t,a,f,c,b,k,e,c,s,y,y,w,p,y,o,p,n,n,m
e,b,s,w,t,a,f,w,b,k,e,c,y,y,y,w,p,y,t,p,u,n,m
e,s,f,r,f,p,f,w,n,k,e,e,s,f,w,y,p,o,o,p,k,a,u
p,s,g,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
p,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,n,o,p,n,s,u
p,f,g,w,t,p,f,w,n,k,e,e,s,s,w,w,p,n,o,p,u,s,u
e,b,g,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,t,p,u,n,m
e,x,s,w,t,a,f,w,n,n,t,r,s,y,w,w,p,w,o,p,u,n,m
e,b,s,y,t,l,f,c,b,k,e,c,s,s,y,w,p,y,t,p,r,n,m
p,s,g,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,c,g,c,t,l,f,w,b,w,t,r,s,y,g,y,p,w,o,p,u,n,m
e,s,f,g,f,p,f,w,n,k,e,e,s,f,w,y,p,w,o,p,k,a,u
e,s,f,w,t,a,f,w,b,n,t,r,s,y,g,g,p,w,o,p,u,n,m
e,b,s,w,t,l,f,c,b,k,e,c,s,s,y,w,p,y,o,p,r,n,m
e,b,s,y,t,a,f,c,b,k,e,c,y,y,y,w,p,y,o,p,u,n,m
e,s,y,y,t,l,f,c,b,n,e,r,y,y,c,y,p,w,n,n,u,s,p
e,b,s,y,t,a,f,c,b,k,e,c,s,y,y,w,p,y,t,p,u,n,m
e,b,y,y,t,l,f,c,b,n,e,r,y,y,c,y,p,w,n,n,u,s,m
e,b,s,w,t,l,f,w,b,k,e,c,f,y,w,w,p,w,o,p,k,n,m
e,b,s,w,t,l,f,w,b,k,e,c,s,s,w,w,p,y,t,p,r,n,m
p,s,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,b,s,w,t,l,f,w,b,k,e,c,s,y,w,w,p,y,o,p,k,n,m
e,s,y,y,t,a,f,c,b,n,e,r,y,y,c,y,p,o,n,n,n,y,p
e,s,f,g,f,p,f,w,n,k,e,e,s,f,w,y,p,o,o,p,k,a,u
e,b,s,y,t,a,f,c,b,k,e,c,s,y,y,w,p,y,o,p,r,n,m
e,s,f,w,f,p,f,w,b,k,t,e,f,f,w,w,p,o,o,e,k,a,g
e,s,f,w,t,l,f,w,b,n,t,r,s,y,g,y,p,w,o,p,u,s,m
e,b,g,w,t,l,f,c,b,k,e,c,s,s,w,w,p,y,t,p,r,n,m
e,f,g,w,t,l,f,w,n,n,t,c,s,s,w,w,p,w,o,p,u,n,m
e,s,y,y,t,l,f,c,b,w,e,r,y,y,c,y,p,w,n,n,u,s,p
e,x,s,w,f,p,f,w,b,k,t,e,f,f,w,w,p,o,o,e,k,a,g
e,s,f,r,t,p,f,w,n,n,e,e,f,f,g,w,p,n,o,p,k,a,u
e,s,f,r,f,p,f,c,n,n,e,e,s,s,w,y,p,n,o,p,k,a,u
e,b,y,y,t,l,f,c,b,k,e,c,s,y,y,w,p,y,o,p,k,n,m
e,b,s,w,t,a,f,w,b,k,e,c,s,y,w,w,p,o,t,p,r,n,m
e,s,y,y,t,a,f,c,b,n,e,r,y,y,c,y,p,w,n,n,n,y,p
e,b,g,w,t,l,f,c,b,k,e,c,s,y,w,w,p,n,o,p,r,n,m
e,b,g,w,t,a,f,c,b,r,e,c,s,s,w,w,p,y,t,p,r,n,m
e,b,s,w,t,l,f,w,b,k,e,c,s,y,w,w,p,y,t,p,u,n,m
e,s,f,g,f,p,f,c,n,g,e,e,s,s,w,y,p,w,o,p,k,n,u
e,b,y,y,t,l,f,c,b,w,e,r,y,y,c,y,p,y,n,n,u,s,p
e,s,f,r,f,p,f,c,n,k,e,e,s,f,w,y,p,o,o,p,k,a,u
e,b,s,w,t,l,f,w,b,k,e,c,s,s,w,w,p,n,t,p,u,n,m
e,b,g,w,t,l,f,c,b,k,e,c,s,y,w,w,p,y,t,p,r,n,m
e,c,g,w,t,a,f,w,n,n,t,c,s,s,w,w,p,w,o,p,u,n,m
p,s,g,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
e,s,y,y,t,a,f,c,b,w,e,r,y,y,c,y,p,w,n,n,n,s,p
e,b,y,y,t,l,f,c,b,k,e,c,s,s,y,w,p,y,t,p,r,n,m
e,s,f,c,f,p,f,w,n,k,e,e,s,f,w,y,p,o,o,p,k,a,u
e,b,y,y,t,a,f,c,b,k,e,c,s,y,y,w,p,y,n,p,n,n,m
e,f,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,o,o,e,n,a,g
e,c,g,c,t,a,f,w,n,n,t,c,s,s,w,w,p,w,o,p,u,n,d
e,b,s,w,t,a,f,w,b,k,e,c,s,s,w,w,p,o,n,p,n,n,m
