classes,cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat
p,s,s,w,t,p,f,c,n,k,e,e,f,s,w,w,p,w,o,p,k,s,u
e,b,s,w,t,l,f,w,b,k,e,c,s,y,y,w,p,y,o,p,u,n,m
e,b,y,y,t,l,f,c,b,k,e,c,s,y,y,w,p,y,t,p,u,n,m
p,s,g,w,t,p,f,c,n,k,e,e,f,s,w,w,p,w,o,p,k,s,u
e,b,s,w,t,l,f,c,b,r,e,c,s,s,y,w,p,y,o,p,r,n,m
e,b,g,w,t,l,f,c,b,r,e,c,s,s,w,w,p,y,t,p,r,n,m
e,s,f,w,t,p,f,w,n,k,e,e,f,f,w,w,p,w,o,f,k,a,u
e,c,g,w,t,c,f,w,b,n,t,r,s,y,w,w,p,w,o,p,u,n,m
e,b,s,w,t,l,f,c,b,r,e,c,s,s,y,w,p,y,t,p,r,n,m
p,s,g,w,t,p,f,c,n,k,e,e,f,s,w,w,p,w,o,p,k,s,u
e,x,y,y,t,l,f,c,b,n,e,r,y,y,c,y,p,w,n,n,n,s,p
e,c,g,c,t,a,f,w,b,n,t,r,s,y,g,g,p,w,o,p,u,n,m
e,s,f,w,t,p,f,w,n,k,e,e,y,s,y,w,p,y,t,f,k,s,u
e,b,y,y,t,l,f,c,b,n,e,r,y,y,c,y,p,y,n,p,u,s,p
e,s,f,w,t,p,f,w,n,k,e,e,s,s,w,w,p,w,o,f,k,s,u
e,b,g,w,t,l,f,c,b,k,e,c,s,s,w,w,p,y,t,p,u,n,m
e,b,y,y,t,l,f,c,b,n,e,r,y,y,c,y,p,y,n,n,u,s,p
e,b,y,y,t,l,f,w,b,w,e,r,y,y,c,y,p,w,n,n,u,s,p
e,b,s,w,t,l,f,w,b,k,e,c,f,f,w,w,p,y,n,p,u,n,m
p,s,g,w,t,p,f,c,n,k,e,e,f,s,w,w,p,w,o,p,k,s,u
e,b,s,w,t,l,f,w,b,k,e,c,s,y,y,w,p,y,o,p,u,n,m
e,s,y,y,t,l,f,c,b,n,e,r,y,y,c,y,p,w,n,n,n,s,p
e,b,s,w,t,l,f,c,b,r,e,c,s,y,y,w,p,y,t,p,r,n,m
e,b,s,w,t,l,f,w,b,k,e,c,f,y,w,w,p,w,o,p,u,n,m
e,b,y,y,t,l,f,c,b,w,e,r,y,y,c,y,p,y,n,n,u,s,m
