classes,cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat
p,s,g,u,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,s,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,n,o,e,n,a,g
p,c,g,u,t,p,f,w,n,k,e,e,s,s,w,w,p,w,o,p,u,s,u
e,b,s,r,t,a,f,c,b,k,e,c,s,s,y,w,p,y,t,p,r,n,m
e,b,y,y,t,a,f,c,b,k,e,c,s,y,y,w,p,y,o,p,u,n,m
e,b,g,r,t,a,f,w,b,k,e,c,y,y,y,y,p,y,t,p,u,n,m
p,s,g,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
e,s,f,r,f,p,f,w,n,k,e,e,s,s,w,w,p,w,o,p,k,a,u
p,s,g,u,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
p,s,s,w,t,p,f,c,n,k,e,e,f,s,w,w,p,n,o,p,n,s,u
e,b,y,y,t,a,f,c,b,k,e,c,s,y,y,w,p,y,o,p,r,n,m
p,c,g,w,t,p,f,w,n,k,e,e,s,s,w,w,p,w,o,p,u,s,u
e,b,g,u,t,l,f,c,b,k,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,s,p,t,a,f,w,n,n,t,c,s,y,w,w,p,w,o,p,u,n,m
p,s,g,r,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
e,c,g,c,t,l,f,w,b,n,t,r,y,y,g,g,p,w,o,p,u,n,m
e,s,f,r,f,p,f,w,n,k,e,e,s,s,w,w,p,w,o,p,k,a,u
p,s,g,w,t,p,f,c,n,k,e,e,y,y,w,w,p,w,o,p,n,s,u
e,b,s,r,t,a,f,w,b,k,e,c,s,y,y,w,p,y,o,p,u,n,m
e,s,f,u,t,p,f,w,n,k,e,e,y,s,w,w,p,w,o,p,k,s,u
p,c,g,w,t,p,f,w,n,k,e,e,s,s,w,w,p,w,o,f,u,s,u
e,b,g,w,t,a,f,w,b,k,e,c,s,y,w,w,p,n,t,p,u,n,m
e,b,y,y,t,l,f,c,b,k,e,c,s,y,y,w,p,y,o,p,k,n,m
e,b,g,r,t,a,f,c,b,w,e,r,y,y,c,y,p,y,n,n,u,s,m
e,b,y,y,t,a,f,c,b,k,e,c,y,y,y,w,p,y,t,p,u,n,m
e,s,g,w,t,a,f,w,b,n,t,r,s,y,g,g,p,w,o,p,u,n,m
e,b,g,w,t,l,f,c,b,r,e,c,s,y,y,w,p,y,t,p,r,n,m
e,b,s,r,t,a,f,w,b,k,e,c,s,y,y,w,p,y,o,p,b,n,m
e,c,g,w,t,a,f,w,b,n,t,r,s,y,w,w,p,y,o,p,u,n,m
e,s,y,y,t,l,f,c,b,n,e,r,y,y,c,y,p,w,n,n,k,s,p
p,s,g,u,t,p,f,c,n,k,e,e,y,s,w,w,p,w,o,p,n,s,u
e,b,g,r,t,a,f,w,b,k,e,c,y,y,y,w,p,y,t,p,u,n,m
e,b,s,u,t,l,f,w,b,k,e,c,f,y,w,w,p,w,o,p,k,n,m
e,s,f,u,f,p,f,w,n,k,e,e,s,s,w,w,p,n,o,p,u,a,u
e,b,y,r,t,a,f,w,b,k,e,c,s,y,w,w,p,y,o,p,u,n,m
e,b,y,u,t,l,f,c,b,k,e,c,s,y,w,w,p,y,t,p,k,n,m
e,b,s,r,t,a,f,w,b,k,e,c,s,y,w,w,p,n,t,p,u,n,m
e,b,s,u,t,l,f,w,b,k,e,c,s,y,y,w,p,y,t,p,b,n,m
e,c,g,y,t,l,f,c,b,w,e,r,y,y,c,y,p,y,n,n,k,s,m
e,s,y,y,t,l,f,c,b,n,e,r,y,y,c,y,p,w,n,n,u,y,p
e,b,g,u,t,l,f,c,b,r,e,c,s,y,y,w,p,y,o,p,r,n,m
e,f,g,c,t,a,f,w,n,w,t,c,s,s,w,y,p,w,o,p,u,n,d
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,y,o,p,u,n,m
p,s,g,u,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,u,s,u
e,c,g,u,t,l,f,c,b,w,e,r,y,y,c,y,p,y,n,n,k,s,p
e,s,f,u,t,a,f,w,n,p,t,r,s,y,w,y,p,y,o,p,u,n,d
