classes,cap.shape,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.root,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.type,veil.color,ring.number,ring.type,spore.print.color,population,habitat
e,b,g,w,t,l,a,w,b,r,e,c,s,y,w,w,p,n,t,p,r,n,m
e,b,y,y,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,g,w,t,l,f,c,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
p,s,g,b,t,p,f,c,n,r,e,e,f,f,w,w,p,w,o,f,r,s,u
e,s,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,t,e,k,a,g
p,s,g,b,t,p,f,w,n,r,e,e,f,f,w,w,p,w,o,f,r,s,u
e,b,g,w,t,l,f,c,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
p,s,g,b,t,p,f,w,n,r,e,e,f,f,w,w,p,w,o,f,r,s,u
e,b,g,w,t,l,f,c,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,s,g,r,t,p,f,w,n,r,t,e,f,f,w,w,p,y,o,f,r,s,u
e,b,g,y,t,l,f,c,b,r,e,c,s,y,w,w,p,n,t,p,r,n,m
p,s,g,b,t,p,f,w,n,r,e,e,f,f,w,w,p,w,o,f,r,s,u
e,c,y,y,t,l,f,c,b,r,e,c,y,y,y,y,p,y,n,n,r,n,m
e,s,g,b,t,p,f,w,n,r,e,e,f,f,w,w,p,w,o,f,r,s,u
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,c,g,w,t,l,f,w,b,r,e,c,y,y,y,y,p,y,n,n,r,n,m
p,s,g,b,t,p,f,c,n,r,e,e,f,f,w,w,p,w,o,f,r,s,u
p,s,g,b,t,p,f,w,n,r,e,e,f,f,w,w,p,w,o,f,r,s,u
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,g,w,t,l,f,c,b,r,e,c,s,y,w,w,p,n,t,p,r,n,m
e,b,y,y,t,l,f,c,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,s,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,t,e,k,a,g
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,c,g,y,t,l,f,w,b,r,e,c,y,y,y,y,p,y,n,n,r,n,m
e,c,f,w,t,l,f,w,b,k,t,c,y,y,y,g,p,y,o,p,u,n,m
e,b,f,w,t,l,f,w,b,k,t,c,s,y,g,g,p,w,o,p,u,n,m
e,c,y,y,t,m,f,c,b,r,e,c,y,y,y,y,p,y,n,n,u,n,m
p,s,g,b,t,p,f,w,n,r,e,e,f,f,w,w,p,y,o,f,r,s,u
e,c,y,y,t,m,f,c,b,r,e,c,y,y,y,y,p,y,n,n,r,n,m
e,s,g,r,t,p,a,w,n,r,t,e,f,f,w,w,p,y,o,f,r,s,u
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,y,y,t,l,f,c,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,s,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,o,t,e,k,a,g
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
e,b,g,w,t,l,f,w,b,r,e,c,s,y,w,w,p,w,t,p,r,n,m
