"","buying","maint","doors","persons","lug_boot","safety","class"
"1","low","low","3","more","small","med","good"
"2","med","vhigh","4","4","big","low","vgood"
"3","low","vhigh","2","4","med","low","acc"
"4","med","vhigh","3","more","small","low","acc"
"5","med","low","5more","4","big","high","unacc"
"6","low","low","4","4","big","med","acc"
"7","low","low","2","4","med","low","good"
"8","low","low","3","4","small","high","unacc"
"9","med","low","3","4","small","high","unacc"
"10","low","low","3","4","small","high","unacc"
"11","med","vhigh","3","more","small","med","unacc"
"12","med","low","5more","more","big","med","vgood"
"13","med","vhigh","3","2","med","med","good"
"14","med","low","3","more","small","med","vgood"
"15","low","low","3","4","small","low","unacc"
"16","low","low","3","4","small","high","unacc"
"17","med","low","3","more","small","med","vgood"
"18","med","vhigh","3","2","small","med","unacc"
"19","med","low","3","more","small","med","vgood"
"20","low","vhigh","3","2","small","low","acc"
"21","med","vhigh","3","2","small","med","unacc"
"22","med","low","5more","4","small","high","unacc"
"23","low","low","4","4","small","med","acc"
"24","med","low","3","4","small","high","unacc"
"25","med","low","5more","4","small","med","acc"
"26","low","vhigh","2","more","small","low","good"
"27","low","low","3","more","small","low","acc"
"28","med","low","3","4","big","med","unacc"
"29","med","high","2","2","small","low","unacc"
"30","low","vhigh","3","2","med","med","acc"
"31","med","low","3","4","small","high","acc"
"32","low","low","3","4","small","high","unacc"
"33","med","low","3","more","small","med","unacc"
"34","med","vhigh","3","more","small","med","acc"
"35","low","low","3","more","small","med","unacc"
"36","med","low","3","4","small","high","acc"
"37","med","low","5more","more","big","med","acc"
"38","med","vhigh","3","2","small","med","unacc"
"39","low","low","3","2","small","high","acc"
"40","low","vhigh","3","2","small","med","good"
"41","low","vhigh","3","2","small","low","unacc"
"42","med","low","3","4","small","high","good"
"43","med","low","5more","more","small","med","good"
"44","med","low","3","more","small","med","vgood"
"45","vhigh","high","3","more","small","low","acc"
"46","low","low","2","4","med","low","good"
"47","low","low","4","4","small","low","acc"
"48","med","low","3","more","small","med","unacc"
"49","med","vhigh","3","2","small","med","unacc"
"50","low","low","3","4","small","high","unacc"
"51","low","vhigh","4","4","med","low","unacc"
"52","med","vhigh","5more","2","small","med","unacc"
"53","med","low","3","2","small","med","unacc"
"54","low","low","4","4","small","med","good"
"55","med","vhigh","3","2","small","med","unacc"
