price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,waterfront,view,condition
221900,3,1,1180,5650,1,7,1180,2.8421709430404e-13,1955,3.69482222595252e-13,98178,47.5112,-122.257,1340,5650,0,0,1
538000,3,2.25,2570,7242,2,7,2170,400.000000000001,1951,1991,98125,47.721,-122.319,1690,7639.00000000003,0,0,1
229500,3,1,1780,7470,1,7,1050,730,1960,3.83693077310454e-13,98146,47.5123,-122.337,1780,8113,0,0,1
662500.000000001,3,2.5,3560,9796,1,8,1860,1700,1965,1.13686837721616e-13,98007,47.6007,-122.145,2210,8925,0,0,1
4e+05,3,1.75,1370,9680.00000000002,1,7,1370,-3.41060513164848e-13,1977,1.56319401867222e-13,98074,47.6127,-122.045,1370,10208,0,3,4
530000,5,2,1810,4850,1.5,7,1810,1.25055521493778e-12,1900,5.25801624462474e-13,98107,47.67,-122.394,1360,4849.99999999999,0,0,1
650000,4,3,2950,4999.99999999998,2,9,1980,970,1979,3.83693077310454e-13,98126,47.5714,-122.375,2140,3999.99999999998,1,3,4
189000,2,1,1200,9850.00000000002,1,7,1200,-2.27373675443232e-13,1921,-5.6843418860808e-13,98002,47.3089,-122.21,1060,5095.00000000002,0,3,4
230000,3,1,1250,9774.00000000002,1,7,1250,-1.70530256582424e-13,1969,-4.68958205601666e-13,98003,47.3343,-122.306,1280,8850,0,3,4
252700,2,1.5,1070,9643.00000000001,1,7,1070,-4.54747350886464e-13,1985,-3.97903932025656e-13,98030,47.3533,-122.166,1220,8386.00000000001,0,0,1
233000,3,2,1710,4697,1.5,6,1710,5.6843418860808e-14,1941,-7.105427357601e-13,98002,47.3048,-122.218,1030,4705.00000000001,0,1,5
937000,3,1.75,2450,2690.99999999997,2,8,1750,700,1915,2.55795384873636e-13,98119,47.6386,-122.36,1760,3572.99999999999,0,0,1
280000,2,1.5,1190,1264.99999999993,3,7,1190,-5.6843418860808e-13,2005,2.55795384873636e-13,98133,47.7274,-122.357,1390,1755.99999999998,0,0,1
687500,4,1.75,2330,4999.99999999999,1.5,7,1510,820.000000000001,1929,4.9737991503207e-13,98117,47.6823,-122.368,1460,4999.99999999999,0,3,4
240000,4,1,1220,8075.00000000003,1,7,890.000000000001,330,1969,-1.84741111297626e-13,98001,47.3341,-122.282,1290,7800,0,3,2
488000,3,2.5,3160,13603,2,8,3160,-7.38964445190504e-13,2003,-3.26849658449646e-13,98019,47.7443,-121.977,3050,9232,0,0,1
1350000,3,2.5,2753,65005.0000000001,1,9,2165,588,1953,-4.2632564145606e-14,98070,47.4041,-122.451,2680,72513,1,4,5
228000,3,1,1190,9199,1,7,1190,2.8421709430404e-13,1955,2.41584530158434e-13,98148,47.4258,-122.322,1190,9364.00000000001,0,0,1
585000,2,1.75,1980,8549.99999999999,1,7,990.000000000001,989.999999999999,1981,3.83693077310454e-13,98117,47.6989,-122.369,1480,6737.99999999999,0,0,1
885000,4,2.5,2830,4999.99999999998,2,9,2830,1.13686837721616e-13,1995,1.27897692436818e-13,98105,47.6597,-122.29,1950,4999.99999999997,0,0,1
292500,4,2.5,2250,4494.99999999999,2,7,2250,-5.6843418860808e-14,2008,-4.68958205601666e-13,98042,47.3663,-122.114,2250,4500,0,0,1
650000,3,2.25,2150,21235,1,8,1590,560,1959,2.41584530158434e-13,98166,47.4336,-122.339,2570,18900,1,3,4
505000,3,1.75,2519,8689.99999999996,2,8,2519,2.27373675443232e-13,1973,-7.105427357601e-14,98166,47.4428,-122.344,2500,9499.99999999998,0,1,5
549000,3,1.75,1540,1043.99999999995,3,8,1540,-1.70530256582424e-13,2014,1.98951966012828e-13,98115,47.6765,-122.32,1580,3089.99999999997,0,0,1
287000,4,2.5,2240,4647.99999999998,2,7,2240,-5.6843418860808e-14,2005,-7.38964445190504e-13,98001,47.3378,-122.257,2221,4556.99999999999,0,0,1
204000,3,1,1000,12070,1,7,1000,-2.27373675443232e-13,1968,-1.70530256582424e-13,98042,47.3621,-122.11,1010,12635,0,3,4
832500,4,4,3430,35102,2,10,2390,1040,1986,2.70006239588838e-13,98075,47.5822,-121.987,3240,35020,0,3,4
380000,4,1.75,1760,7300.00000000003,1,7,880.000000000001,880,1956,1.84741111297626e-13,98008,47.6034,-122.125,1680,7500.00000000001,0,0,1
480000,3,1,1040,5060,1,7,1040,3.97903932025656e-13,1941,2.98427949019242e-13,98116,47.5636,-122.394,890,5059.99999999999,0,0,1
410000,3,1,1410,5059.99999999999,1,7,910,500,1956,6.3948846218409e-13,98133,47.7073,-122.34,1130,5693,0,3,4
390000,3,2.5,2350,5099.99999999999,2,8,2350,-2.8421709430404e-13,2003,-5.82645043323282e-13,98038,47.3512,-122.008,2350,5363.00000000001,0,0,1
315000,3,1,960,6633.99999999999,1,6,960,1.70530256582424e-13,1952,4.68958205601666e-13,98125,47.7264,-122.31,1570,7203,0,0,1
940000,3,1.5,2140,3599.99999999997,2,9,1900,240.000000000001,1925,1.4210854715202e-13,98119,47.6337,-122.365,2020,4799.99999999998,0,0,1
461000,3,3.25,2770,6277.99999999997,2,9,1980,789.999999999999,2006,-1.4210854715202e-14,98056,47.5228,-122.199,1900,7348.99999999998,0,0,1
215000,2,2.25,1610,2039.99999999996,2,7,1610,-5.11590769747272e-13,1979,-3.69482222595252e-13,98056,47.518,-122.194,1950,2025,0,3,4
243500,4,2.5,1980,7402.99999999996,2,7,1980,1.70530256582424e-13,1988,-6.11066752753686e-13,98023,47.2897,-122.372,1980,7509.99999999998,0,0,1
153000,3,1,1200,10500,1,7,1200,-5.6843418860808e-14,1962,-3.69482222595252e-13,98023,47.322,-122.351,1350,10500,0,0,1
314000,3,1.75,1810,41800.0000000001,1,7,1210,600,1980,3.5527136788005e-13,98038,47.4109,-121.958,1650,135036,0,1,5
375000,3,2.5,2340,10005,1,8,1460,880,1978,-1.4210854715202e-14,98058,47.4431,-122.133,2250,8162,0,3,4
188500,2,1.75,1240,2492.99999999998,1,8,1240,-1.13686837721616e-13,1985,2.70006239588838e-13,98198,47.3813,-122.322,1270,4966,0,3,4
680000,4,2.5,3140,28037,2,10,3140,-3.97903932025656e-13,1991,2.70006239588838e-13,98077,47.7304,-122.082,2990,35001,0,3,4
597750,4,2.5,2310,9624,2,8,2310,-5.6843418860808e-14,1984,-1.4210854715202e-13,98027,47.5386,-122.053,1940,9636,0,0,1
570000,3,1.75,1260,3327.99999999999,1,6,699.999999999999,560.000000000001,1905,3.69482222595252e-13,98103,47.6823,-122.349,1380,3536,0,1,5
480000,4,2.5,3230,16171,2,9,2520,710,2001,-5.6843418860808e-13,98001,47.3183,-122.253,2640,8516.99999999999,1,3,4
205425,2,1,880,6780,1,6,880,1.13686837721616e-13,1945,2.41584530158434e-13,98178,47.5009,-122.248,1190,6780.00000000001,0,3,4
171800,4,2,1570,9600,1,6,1570,6.82121026329696e-13,1950,3.26849658449646e-13,98168,47.4965,-122.303,1880,9000,0,0,1
535000,4,1,1610,2982,1.5,7,1610,9.66338120633736e-13,1925,3.97903932025656e-13,98144,47.587,-122.294,1610,4039.99999999999,0,3,4
445000,4,1.75,2100,4400,1.5,7,1720,380.000000000001,1924,2.27373675443232e-13,98118,47.5299,-122.266,1850,4400,0,1,5
445000,3,2.25,2100,8200.99999999999,1,8,1620,480,1967,2.55795384873636e-13,98178,47.5091,-122.244,2660,8711.99999999999,0,1,5
675000,4,3.5,2140,2277.99999999993,3,9,2140,1.13686837721616e-13,2005,1.98951966012828e-13,98107,47.6734,-122.38,1540,2284.99999999996,0,0,1
199000,3,1.75,1320,17390,1,7,1320,-1.13686837721616e-13,1956,-4.68958205601666e-13,98003,47.3257,-122.296,1550,19265,0,3,4
452000.000000001,4,2.25,2590,10002,1,8,1340,1250,1968,6.3948846218409e-13,98028,47.7689,-122.266,1550,10436,0,3,4
5e+05,4,2.25,2030,8517.00000000002,1,8,1380,650,1961,1.4210854715202e-14,98006,47.5495,-122.174,2230,8824,0,3,4
890000,4,1,2550,3999.99999999998,2,8,2370,180.000000000001,1905,9.9475983006414e-14,98109,47.6354,-122.353,2200,3999.99999999999,0,0,1
532170,3,2,1360,3089.99999999997,2,8,1360,0,1990,2.70006239588838e-13,98103,47.6838,-122.353,1500,3089.99999999998,0,0,1
560000,3,1,1110,4999.99999999999,1.5,7,1110,2.27373675443232e-13,1947,2.98427949019242e-13,98107,47.655,-122.359,1420,4999.99999999999,0,0,1
215000,3,1,1180,7669.00000000002,1,7,1180,0,1967,-5.6843418860808e-14,98058,47.4479,-122.176,1190,7669.00000000001,0,3,4
653000,3,2.5,2680,9750,1,8,1610,1070,1979,1.27897692436818e-13,98034,47.7028,-122.231,2480,8750,0,3,4
313000,3,1.5,1340,7911.99999999998,1.5,7,1340,1.70530256582424e-13,1955,5.40012479177676e-13,98133,47.7658,-122.339,1480,7939.99999999999,0,0,1
425000,3,2.5,1120,1099.99999999996,2,8,820.000000000001,300,2008,3.83693077310454e-13,98122,47.6106,-122.31,1590,1794.99999999998,0,0,1
