price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,waterfront,view,condition
538000,3,2.25,2570,7241.99999999998,2,7,2170,399.999999999999,1951,1991,98125,47.721,-122.319,1690,7639.00000000001,0,0,2
257500,3,2.25,1715,6818.99999999998,2,7,1715,-4.54747350886464e-13,1995,1.4210854715202e-14,98003,47.3097,-122.327,2238,6819.00000000002,0,0,2
468000,2,0.999999999999999,1160,5999.99999999998,1,7,859.999999999998,300,1942,-1.56319401867222e-13,98115,47.69,-122.292,1330,5999.99999999999,0,1,1
310000,3,1,1430,19901,1.5,7,1430,-1.13686837721616e-13,1927,-2.8421709430404e-13,98028,47.7558,-122.229,1780,12697,0,1,1
485000,4,1,1600,4300,1.5,7,1600,-1.70530256582424e-13,1916,-1.4210854715202e-14,98103,47.6648,-122.343,1610,4300.00000000001,0,1,1
285000,5,2.5,2270,6300.00000000004,2,8,2270,-3.41060513164848e-13,1995,2.27373675443232e-13,98092,47.3266,-122.169,2240,7005.00000000003,0,0,2
252699.999999999,2,1.5,1070,9642.99999999997,1,7,1070,-2.27373675443232e-13,1985,1.84741111297626e-13,98030,47.3533,-122.166,1220,8385.99999999998,0,0,2
233000,3,2,1710,4696.99999999997,1.5,6,1710,-5.6843418860808e-13,1941,3.26849658449646e-13,98002,47.3048,-122.218,1030,4704.99999999999,1,2,5
667000,3,1,1400,1580.99999999998,1.5,8,1400,-1.70530256582424e-13,1909,-8.5265128291212e-14,98112,47.6221,-122.314,1860,3860.99999999999,1,2,5
535000,3,0.999999999999999,1090,2999.99999999998,1.5,8,1090,-1.13686837721616e-13,1929,-4.2632564145606e-14,98117,47.6889,-122.375,1570,5080,0,1,1
322500,4,2.75,2060,6659.00000000001,1,7,1280,780,1981,1.4210854715202e-14,98058,47.4276,-122.157,2020,8720,0,0,2
696000,3,2.5,2300,3059.99999999996,1.5,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3263.99999999999,0,0,2
640000,4,2,2360,5999.99999999999,2,8,2360,-1.70530256582424e-13,1904,1.4210854715202e-13,98107,47.6702,-122.362,1730,4700,0,1,1
240000,4,0.999999999999998,1220,8074.99999999999,1,7,890,330,1969,1.27897692436818e-13,98001,47.3341,-122.282,1290,7799.99999999999,0,0,1
210490,3,0.999999999999997,989.999999999998,8527.99999999997,1,6,990,-5.6843418860808e-13,1966,1.4210854715202e-13,98023,47.3066,-122.371,1228,8839.99999999999,0,0,2
450000,3,1.75,1250,5962.99999999998,1,7,1250,-1.13686837721616e-13,1953,4.2632564145606e-14,98115,47.6796,-122.301,970,5099.99999999999,0,1,1
1350000,3,2.5,2753,65005,1,9,2165,588,1953,-9.9475983006414e-14,98070,47.4041,-122.451,2680,72512.9999999999,1,4,5
228000,3,0.999999999999998,1190,9199,1,7,1190,-1.13686837721616e-13,1955,2.8421709430404e-13,98148,47.4258,-122.322,1190,9363.99999999999,0,0,2
301000,3,2.5,2420,4750.00000000001,2,8,2420,5.6843418860808e-14,2003,1.4210854715202e-14,98042,47.3663,-122.122,2690,4750.00000000002,0,0,2
430000,4,3,1850,9976.00000000002,2,8,1850,-2.27373675443232e-13,1991,-1.4210854715202e-14,98059,47.5059,-122.149,2270,8542.00000000003,0,0,2
289000,3,1.75,1260,8400,1,7,1260,-2.8421709430404e-13,1954,1.98951966012828e-13,98148,47.4366,-122.335,1290,8750,0,0,2
549000,3,1.75,1540,1044,3,8,1540,-4.54747350886464e-13,2014,-1.4210854715202e-14,98115,47.6765,-122.32,1580,3090.00000000004,0,0,2
975000.000000001,4,2.5,2720,11049,2,10,2720,3.41060513164848e-13,1989,-7.105427357601e-14,98004,47.5815,-122.192,2750,11049,0,0,2
1040000,5,3.25,4770.00000000001,50094,1,11,3070,1700,1973,-2.55795384873636e-13,98005,47.6525,-122.16,3530,38917,0,1,1
325000,3,2,1260,5611.99999999998,1,7,1260,-1.13686837721616e-13,1972,-2.70006239588838e-13,98034,47.7362,-122.179,1640,4745,0,1,1
