price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,waterfront,view,condition
221900,3,1,1180,5650.00000000001,1,7,1180,3.41060513164848e-13,1955,1.4210854715202e-14,98178,47.5112,-122.257,1340,5649.99999999999,0,0,2
604000,4,3,1960,5000.00000000004,1,7,1050,910,1965,-2.27373675443232e-13,98136,47.5208,-122.393,1360,5000,1,3,5
510000,3,2,1680,8080.00000000002,1,8,1680,-2.8421709430404e-13,1987,1.13686837721616e-13,98074,47.6168,-122.045,1800,7503,0,0,2
229500,3,1,1780,7469.99999999998,1,7,1050,730,1960,-1.98951966012828e-13,98146,47.5123,-122.337,1780,8112.99999999999,0,0,2
4e+05,3,1.75,1370,9680.00000000002,1,7,1370,-2.8421709430404e-13,1977,-7.105427357601e-14,98074,47.6127,-122.045,1370,10208,0,1,1
650000,4,3,2950,4999.99999999997,2,9,1980,970.000000000001,1979,4.2632564145606e-14,98126,47.5714,-122.375,2140,4000.00000000001,1,3,5
395000.000000001,3,2,1890,14040,2,7,1890,-5.11590769747272e-13,1994,-8.5265128291212e-14,98019,47.7277,-121.962,1890,14018,0,0,2
485000,4,1,1600,4299.99999999999,1.5,7,1600,3.97903932025656e-13,1916,7.105427357601e-14,98103,47.6648,-122.343,1610,4299.99999999999,0,1,1
937000,3,1.75,2450,2690.99999999998,2,8,1750,700,1915,3.83693077310454e-13,98119,47.6386,-122.36,1760,3573,0,0,2
667000,3,1,1400,1580.99999999999,1.5,8,1400,2.8421709430404e-13,1909,4.9737991503207e-13,98112,47.6221,-122.314,1860,3860.99999999999,1,3,5
719000,4,2.5,2570,7172.99999999998,2,8,2570,-2.27373675443232e-13,2005,2.8421709430404e-14,98052,47.7073,-122.11,2630,6025.99999999999,0,0,2
861990,5,2.75,3595,5638.99999999998,2,9,3595,-3.41060513164848e-13,2014,8.5265128291212e-14,98053,47.6848,-122.016,3625,5638.99999999999,0,0,2
