school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,15,U,LE3,T,4,4,other,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,yes,2,3,3,4,5,5,1,18,2,12
MS,F,16,U,GT3,T,0,4,other,teacher,course,mother,1,3,0,yes,no,yes,no,yes,yes,yes,no,2,3,3,5,5,2,1,13,10,18
GP,F,20,U,LE3,T,2,3,other,services,reputation,mother,4,1,0,no,yes,yes,no,yes,yes,yes,no,1,5,3,1,1,4,2,8,17,12
MS,F,18,U,GT3,T,4,4,other,teacher,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,3,3,1,2,5,6,11,17,14
GP,F,15,R,LE3,T,3,4,other,teacher,course,mother,1,2,1,yes,yes,no,no,yes,yes,yes,yes,4,5,5,5,5,5,1,18,9,10
GP,M,20,U,LE3,T,1,2,health,health,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,5,3,0,18,8,12
MS,M,20,U,LE3,T,1,2,health,health,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,5,4,2,1,5,3,1,18,9,18
GP,F,15,U,GT3,T,2,4,health,services,reputation,father,2,1,0,no,yes,no,no,yes,yes,yes,no,2,3,1,5,1,4,16,18,13,12
MS,F,15,U,LE3,T,0,4,other,other,course,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,yes,3,3,3,4,5,3,0,13,6,18
GP,F,19,R,GT3,T,4,3,services,services,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,2,3,4,1,5,5,7,12,13,14
GP,F,15,R,LE3,T,0,4,teacher,teacher,course,mother,1,1,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,4,5,32,18,11,10
GP,M,15,U,LE3,T,3,3,health,health,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,1,5,0,2,8,10
GP,M,15,U,LE3,T,1,1,teacher,health,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,5,4,3,1,17,8,3
GP,F,15,U,GT3,T,1,4,health,teacher,course,mother,1,2,0,yes,yes,yes,no,yes,no,yes,no,2,5,4,5,2,4,25,18,9,15
GP,M,20,U,GT3,T,2,4,teacher,services,course,other,1,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,4,2,2,2,9,16,12,16
GP,F,17,U,GT3,T,3,2,services,services,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,2,5,2,1,1,11,0,12
GP,M,16,U,GT3,T,3,2,other,other,other,other,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,1,2,2,5,5,9,10,12
GP,F,17,U,LE3,T,2,1,services,health,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,1,4,4,1,1,2,3,14,12,17
GP,F,20,R,GT3,T,1,3,at_home,teacher,reputation,other,4,2,0,no,yes,yes,no,yes,yes,yes,no,2,5,4,5,5,1,8,18,18,12
MS,F,20,U,LE3,T,1,2,teacher,services,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,1,12,18,6,17
GP,M,21,U,GT3,T,1,3,health,services,reputation,father,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,5,4,14,18,12,14
MS,M,21,U,LE3,T,0,2,teacher,health,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,5,3,0,18,12,19
MS,F,20,U,LE3,T,3,2,other,other,course,other,1,2,0,no,yes,yes,no,no,yes,no,yes,4,3,5,1,2,4,2,10,5,18
GP,F,16,U,GT3,T,2,1,health,services,reputation,other,2,1,0,yes,yes,no,no,yes,yes,yes,yes,3,4,3,2,5,1,9,17,3,11
GP,F,15,U,LE3,T,4,2,services,teacher,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,1,4,1,1,5,0,18,18,19
GP,F,15,R,LE3,T,0,4,services,teacher,course,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,1,4,5,1,18,10,12
GP,F,16,U,GT3,T,3,2,other,other,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,yes,1,4,3,5,5,5,2,17,2,14
MS,M,17,U,LE3,T,1,2,health,other,course,mother,1,2,1,no,yes,yes,no,yes,yes,yes,no,4,3,2,5,5,5,2,4,4,18
GP,F,15,U,GT3,T,1,4,other,teacher,course,mother,1,2,0,no,yes,no,no,yes,no,yes,yes,2,3,3,5,2,1,0,18,6,10
MS,F,17,U,GT3,T,4,2,at_home,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,2,1,1,5,5,5,0,1,16,15
MS,F,17,U,GT3,T,1,3,other,services,reputation,mother,3,2,1,yes,yes,yes,no,yes,no,yes,no,2,5,4,5,2,4,26,1,17,14
GP,M,15,U,GT3,T,2,4,services,services,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,2,3,4,5,1,3,11,17,12,17
GP,M,20,U,LE3,T,2,1,health,other,reputation,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,5,3,32,12,12,12
