school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,21,R,LE3,T,2,0,at_home,health,reputation,father,4,4,0,yes,yes,no,no,yes,no,yes,no,4,2,3,1,5,4,29,14,12,6
GP,F,16,U,LE3,T,3,3,at_home,health,reputation,father,3,2,3,no,no,no,no,yes,yes,yes,no,2,5,2,2,5,1,1,8,16,11
GP,M,22,U,LE3,T,3,2,other,at_home,course,mother,4,1,3,no,yes,no,no,yes,no,yes,no,2,5,2,1,5,1,28,13,2,19
GP,M,15,U,GT3,A,2,4,other,teacher,reputation,father,4,4,0,no,no,no,yes,yes,no,yes,no,3,5,3,1,5,3,4,15,2,0
GP,M,17,U,GT3,T,3,3,teacher,services,other,mother,1,1,0,no,yes,no,no,yes,no,yes,no,4,5,2,2,3,1,1,10,16,3
GP,M,17,U,GT3,T,3,1,teacher,at_home,course,other,1,1,2,no,yes,no,no,no,yes,yes,no,3,5,2,2,5,1,2,7,14,14
GP,M,21,U,LE3,T,2,0,health,other,course,mother,4,4,0,no,yes,no,no,yes,no,yes,no,2,5,2,3,5,4,27,18,14,5
GP,M,21,R,GT3,A,2,0,at_home,teacher,reputation,father,4,4,0,no,yes,no,no,yes,no,yes,no,4,5,1,1,2,4,20,13,15,6
GP,M,16,R,GT3,T,1,3,other,at_home,course,other,4,1,2,no,yes,no,no,yes,no,yes,no,3,5,1,2,5,1,2,6,4,10
GP,M,16,U,LE3,A,0,3,services,at_home,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,no,4,2,2,5,5,1,1,10,16,17
GP,F,16,U,GT3,T,2,0,at_home,health,course,mother,1,2,3,no,yes,no,no,yes,yes,yes,no,5,3,4,1,3,4,1,8,14,18
MS,M,18,U,GT3,T,3,0,at_home,health,reputation,father,4,4,1,no,yes,no,no,yes,yes,yes,no,3,5,5,3,5,1,4,13,10,13
GP,M,16,U,LE3,A,1,4,other,at_home,course,mother,1,1,1,no,no,no,no,yes,yes,yes,no,5,5,1,5,5,1,1,5,16,14
GP,F,16,U,GT3,T,2,3,health,health,course,father,4,2,0,no,yes,no,yes,yes,no,no,no,5,5,2,1,5,1,29,13,13,18
GP,M,16,U,LE3,A,0,4,at_home,health,other,father,1,4,2,no,yes,no,yes,yes,yes,yes,yes,4,5,2,3,1,3,7,16,5,4
GP,M,18,R,GT3,T,2,3,other,health,course,father,4,2,1,no,yes,no,no,yes,no,yes,yes,5,5,2,1,4,1,29,10,3,3
GP,F,19,U,GT3,T,1,0,health,health,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,1,2,1,1,4,1,12,17,13
GP,M,17,U,GT3,T,4,0,at_home,teacher,course,father,1,1,0,no,yes,no,no,yes,yes,no,no,4,5,2,1,5,1,2,19,3,14
GP,F,15,U,GT3,T,4,2,other,teacher,course,father,2,4,0,no,no,no,no,yes,no,yes,no,4,5,2,1,1,1,6,8,14,18
GP,M,18,U,LE3,T,2,3,teacher,teacher,course,mother,4,1,3,no,yes,no,no,yes,no,yes,yes,4,5,2,2,5,1,22,8,5,19
GP,M,17,U,GT3,T,2,1,teacher,services,reputation,mother,1,1,2,no,yes,no,no,no,yes,yes,no,1,5,2,1,5,1,2,5,13,14
GP,M,15,U,GT3,A,0,4,health,teacher,reputation,mother,2,1,0,no,yes,no,no,yes,no,yes,no,4,5,2,2,5,1,1,15,2,18
GP,M,18,U,LE3,A,2,0,services,teacher,reputation,mother,4,2,0,no,yes,no,no,yes,no,yes,no,4,5,2,1,5,1,0,14,1,5
GP,F,15,U,GT3,T,0,2,health,teacher,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,4,2,1,1,3,1,14,4,14
GP,F,17,U,GT3,T,1,0,services,teacher,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,1,2,1,1,3,0,12,18,13
GP,M,18,U,GT3,T,0,3,at_home,teacher,reputation,father,4,4,0,no,yes,no,no,yes,no,yes,no,4,5,2,4,5,2,23,15,4,5
GP,F,16,U,GT3,T,2,4,at_home,services,reputation,mother,1,1,0,yes,yes,no,yes,yes,no,yes,no,2,5,2,2,3,1,25,12,13,14
GP,M,16,U,LE3,T,3,3,teacher,at_home,course,mother,1,1,3,no,no,no,yes,yes,yes,yes,yes,3,5,3,1,5,4,3,13,14,14
GP,M,16,U,GT3,A,1,2,health,services,reputation,mother,1,1,1,yes,no,no,no,yes,yes,yes,no,4,5,2,2,3,1,31,12,3,12
GP,F,17,U,GT3,T,2,3,health,teacher,course,father,1,4,1,no,no,no,yes,yes,yes,yes,no,5,4,1,1,1,5,8,16,12,4
GP,M,15,U,LE3,T,3,3,teacher,health,course,mother,4,2,0,no,yes,no,yes,yes,no,yes,yes,2,4,3,1,5,4,30,15,18,19
MS,F,21,U,LE3,T,3,0,at_home,at_home,course,mother,4,4,3,no,yes,no,no,yes,no,yes,no,2,3,2,1,5,1,25,16,3,11
GP,F,16,R,GT3,T,2,4,teacher,teacher,course,mother,1,2,2,no,no,no,yes,yes,yes,yes,no,5,4,2,2,4,5,10,12,14,3
GP,M,18,U,GT3,A,2,0,teacher,teacher,reputation,mother,4,4,0,no,no,no,no,yes,no,yes,no,2,5,2,1,5,4,1,12,12,2
MS,F,17,R,GT3,T,1,3,other,other,course,mother,3,2,0,no,yes,no,no,yes,no,yes,yes,4,5,2,2,1,1,0,12,14,3
GP,M,17,R,LE3,T,1,3,other,at_home,course,mother,2,1,3,no,yes,no,no,no,no,yes,no,1,5,2,5,3,1,1,5,14,11
GP,M,15,U,LE3,A,4,4,other,at_home,reputation,mother,1,4,1,no,yes,no,yes,yes,no,yes,no,1,1,4,3,5,4,0,16,12,17
GP,F,17,U,GT3,A,2,4,at_home,teacher,course,father,2,3,2,no,no,no,yes,yes,yes,yes,no,4,5,2,4,5,1,9,7,11,4
GP,M,21,U,LE3,A,4,0,other,services,reputation,mother,1,4,1,no,yes,no,no,yes,yes,yes,no,5,2,2,1,2,5,24,13,12,19
GP,M,17,U,LE3,T,3,1,health,at_home,reputation,mother,1,1,2,no,yes,no,no,no,yes,yes,no,3,5,2,2,5,1,2,14,15,13
GP,M,18,R,GT3,T,2,3,other,health,course,father,4,2,0,no,yes,no,no,yes,no,yes,no,5,5,2,1,4,1,24,12,5,4
GP,M,16,U,LE3,A,0,4,health,at_home,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,no,4,2,2,2,5,3,1,11,0,18
GP,M,21,R,GT3,A,2,0,other,health,course,father,3,4,1,no,yes,no,no,yes,no,yes,no,5,5,2,1,2,5,20,13,14,5
GP,F,22,R,GT3,T,3,4,at_home,health,course,father,1,2,1,no,no,no,yes,no,yes,yes,no,3,5,2,1,2,1,7,13,14,11
GP,M,16,U,LE3,A,3,4,health,health,course,mother,1,4,0,no,yes,no,no,yes,no,yes,yes,1,5,1,2,5,1,4,5,7,11
GP,F,16,U,LE3,A,1,3,teacher,other,reputation,mother,1,2,1,no,yes,no,yes,yes,yes,yes,no,3,5,3,2,5,4,4,12,13,14
GP,F,17,U,GT3,T,1,1,health,teacher,reputation,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,3,1,18,1,14
GP,M,16,U,LE3,T,3,2,teacher,services,course,mother,1,1,1,no,yes,no,no,no,yes,yes,no,4,5,2,1,3,1,20,13,15,12
GP,F,16,R,GT3,T,2,4,health,teacher,course,other,1,2,2,no,yes,no,yes,no,yes,yes,no,5,5,2,3,1,1,13,6,15,13
GP,F,22,R,GT3,A,1,0,teacher,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,yes,yes,3,1,2,1,4,1,12,8,17,19
GP,M,15,U,LE3,T,0,0,teacher,services,course,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,3,5,28,14,17,13
GP,M,17,U,LE3,T,3,0,at_home,at_home,course,mother,2,2,3,no,yes,no,no,no,yes,yes,no,2,5,2,1,5,1,2,17,15,8
GP,M,17,R,GT3,T,4,4,teacher,at_home,reputation,father,2,1,2,no,yes,no,no,yes,no,yes,no,4,5,2,1,5,4,4,12,2,8
GP,M,21,U,GT3,A,3,3,teacher,teacher,course,other,1,1,0,no,no,no,no,yes,no,yes,no,4,5,3,1,2,4,3,8,11,18
