school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,16,U,GT3,A,1,2,other,services,course,other,1,1,0,no,yes,no,no,yes,yes,yes,no,2,3,2,2,1,2,7,2,9,3
GP,F,20,R,GT3,T,2,1,services,services,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,3,1,1,1,3,1,18,15,12
GP,M,17,U,GT3,A,2,2,other,other,home,mother,2,2,2,no,yes,no,no,yes,yes,yes,no,1,1,4,2,4,4,1,11,18,12
GP,M,17,U,GT3,T,2,4,services,teacher,course,mother,4,4,0,yes,yes,yes,yes,no,yes,no,no,1,1,3,1,4,5,1,16,2,10
GP,F,16,U,GT3,A,2,0,services,other,home,other,1,4,0,yes,no,yes,no,no,yes,no,no,5,1,2,3,3,2,8,16,6,10
GP,M,16,R,GT3,A,0,2,services,teacher,course,mother,4,4,0,no,no,yes,no,yes,yes,no,yes,1,1,4,1,3,4,9,17,8,7
GP,F,17,R,GT3,A,2,2,other,health,course,father,1,4,1,no,no,no,no,yes,yes,no,no,1,3,2,1,1,5,11,6,18,18
GP,M,18,U,GT3,A,2,4,services,other,course,mother,4,4,2,no,no,yes,no,no,yes,no,no,2,1,1,1,4,5,8,15,0,4
GP,M,17,R,GT3,A,2,2,services,teacher,reputation,mother,1,4,2,yes,no,no,yes,yes,yes,no,yes,2,2,2,1,2,5,1,13,19,10
GP,F,17,U,GT3,T,2,2,services,other,other,other,1,4,2,no,yes,no,no,no,no,no,no,2,1,1,1,2,5,15,9,8,19
GP,M,16,R,GT3,T,4,3,services,health,other,mother,4,4,0,no,no,no,no,no,yes,yes,no,4,1,1,1,1,3,8,1,11,19
GP,F,17,R,GT3,T,3,1,services,services,home,other,1,1,0,no,yes,no,no,no,yes,no,no,2,1,1,1,2,5,0,9,8,8
GP,F,15,U,GT3,A,2,3,other,health,course,other,2,4,0,no,no,yes,yes,yes,yes,no,yes,1,1,2,3,2,2,24,12,19,19
GP,M,16,U,GT3,A,2,2,services,other,home,mother,4,4,0,yes,no,yes,yes,no,yes,no,no,2,1,1,1,4,3,8,19,6,1
GP,F,21,U,GT3,A,2,3,health,services,other,mother,2,2,0,yes,yes,no,no,yes,yes,no,yes,2,1,5,4,1,1,30,13,18,11
GP,F,20,U,GT3,A,2,0,at_home,other,reputation,mother,4,1,0,no,yes,yes,no,yes,yes,no,yes,3,5,4,3,1,5,28,11,3,13
GP,F,20,U,GT3,T,2,2,health,health,course,mother,1,4,1,no,yes,yes,no,yes,yes,yes,yes,2,4,4,1,1,5,26,0,1,6
GP,F,21,U,GT3,T,2,2,services,health,course,mother,1,4,1,no,no,yes,no,no,yes,no,no,1,2,1,2,1,3,29,1,8,1
