school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,20,U,LE3,T,0,4,other,services,course,mother,1,1,0,no,yes,yes,no,yes,no,yes,yes,5,3,3,1,2,5,1,18,6,2
GP,M,15,U,GT3,T,0,4,services,services,course,other,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,1,1,4,5,2,2,10,17,0,11
GP,F,15,U,GT3,T,1,4,health,teacher,reputation,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,2,2,4,5,2,3,11,17,2,17
GP,F,15,U,LE3,T,4,4,other,services,home,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,5,3,0,18,15,12
MS,F,17,U,LE3,T,0,2,other,teacher,other,mother,1,2,1,yes,yes,no,no,yes,yes,yes,yes,4,1,2,3,5,2,0,12,1,5
MS,M,15,U,LE3,T,2,2,teacher,other,course,other,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,3,5,3,6,10,13
GP,F,15,U,GT3,T,0,4,other,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,yes,2,3,2,5,5,3,1,18,6,12
MS,F,19,U,GT3,T,2,4,other,services,reputation,mother,4,2,0,no,yes,yes,no,yes,yes,yes,no,2,4,2,5,5,4,9,15,16,13
MS,F,20,U,LE3,T,2,2,teacher,services,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,3,4,4,1,2,3,11,3,0,19
MS,M,20,U,LE3,T,1,2,services,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,1,1,3,1,18,3,17
GP,F,15,U,GT3,T,4,4,at_home,teacher,course,mother,1,2,1,yes,yes,no,no,yes,yes,yes,yes,4,3,2,4,5,2,0,18,1,2
MS,M,17,U,GT3,T,2,2,teacher,health,reputation,other,3,2,2,no,yes,no,no,yes,yes,yes,yes,4,5,1,4,1,5,0,13,9,10
MS,F,17,U,GT3,A,4,2,at_home,at_home,course,mother,2,2,1,yes,yes,no,no,yes,yes,no,yes,4,2,2,1,5,1,12,1,1,6
