"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"2","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"3","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"4","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"5","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"6","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"7","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"8","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"9","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"10","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"11","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"12","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"13","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"14","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"15","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"16","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"17","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"18","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"19","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"20","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"21","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"22","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"23","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"24","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"25","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"26","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"27","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"28","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"29","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"30","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"31","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"32","Adelie","Dream",41.9,14.6,204,4196,"female",2008
"33","Adelie","Dream",41.9,14.6,205,4190,"female",2008
"34","Adelie","Dream",41.9,14.6,203,4189,"female",2008
"35","Adelie","Dream",41.9,14.6,205,4192,"female",2008
"36","Adelie","Dream",41.9,14.6,203,4198,"female",2008
"37","Adelie","Dream",41.9,14.6,204,4194,"female",2008
"38","Adelie","Dream",41.9,14.6,203,4199,"female",2008
"39","Adelie","Dream",41.9,14.6,203,4198,"female",2008
"40","Adelie","Dream",41.9,14.6,204,4192,"female",2008
"41","Adelie","Dream",41.9,14.6,205,4199,"female",2008
"42","Adelie","Dream",41.9,14.6,203,4191,"female",2008
"43","Adelie","Dream",41.9,14.6,203,4188,"female",2008
"44","Adelie","Dream",41.9,14.6,205,4198,"female",2008
"45","Adelie","Dream",41.9,14.6,203,4192,"female",2008
"46","Adelie","Dream",41.9,14.6,203,4196,"female",2008
"47","Adelie","Dream",41.9,14.6,203,4200,"female",2008
"48","Adelie","Dream",41.9,14.6,205,4200,"female",2008
"49","Adelie","Dream",41.9,14.6,203,4194,"female",2008
"50","Adelie","Dream",41.9,14.6,204,4191,"female",2008
"51","Adelie","Dream",41.9,14.6,204,4193,"female",2008
"52","Adelie","Dream",41.9,14.6,205,4198,"female",2008
"53","Adelie","Dream",41.9,14.6,203,4198,"female",2008
"54","Adelie","Dream",41.9,14.6,205,4193,"female",2008
"55","Adelie","Dream",41.9,14.6,203,4189,"female",2008
"56","Adelie","Dream",41.9,14.6,203,4193,"female",2008
"57","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"58","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"59","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"60","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"61","Adelie","Dream",41.9,14.6,203,4199,"female",2008
"62","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"63","Adelie","Dream",41.9,14.6,203,4193,"female",2008
"64","Adelie","Dream",41.9,14.6,203,4191,"female",2008
"65","Adelie","Dream",41.9,14.6,204,4199,"female",2008
"66","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
"67","Gentoo","Torgersen",51.9,20,224,5275,"female",2008
