checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,34,existing paid,new car,7301,<100,4<=X<7,3,male single,none,4,no known property,37,none,own,1,skilled,1,yes,yes,bad
no checking,28,critical/other existing credit,new car,7315,<100,1<=X<4,2,male single,none,4,no known property,42,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,16,existing paid,radio/tv,1980,<100,<1,2,male single,none,1,real estate,26,none,own,1,skilled,1,none,yes,bad
0<=X<200,14,existing paid,radio/tv,2103,<100,1<=X<4,4,female div/dep/mar,none,1,car,27,none,own,1,skilled,1,none,yes,good
<0,14,critical/other existing credit,new car,1321,<100,1<=X<4,4,male single,none,2,car,44,none,own,1,skilled,1,none,yes,bad
<0,17,existing paid,furniture/equipment,2030,<100,1<=X<4,4,male single,none,2,real estate,39,none,own,1,unskilled resident,1,none,yes,good
no checking,30,delayed previously,business,6108,<100,4<=X<7,2,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,good
<0,32,existing paid,used car,8618,<100,1<=X<4,3,male single,none,4,no known property,41,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,28,critical/other existing credit,radio/tv,4113,no known savings,>=7,3,male single,none,2,car,34,none,own,2,skilled,1,yes,yes,good
<0,9,critical/other existing credit,new car,2128,<100,<1,1,male single,none,3,real estate,40,none,own,1,unskilled resident,2,none,yes,good
no checking,21,critical/other existing credit,radio/tv,2690,no known savings,>=7,4,male single,none,4,real estate,41,none,own,1,skilled,1,yes,yes,good
no checking,13,existing paid,new car,1878,<100,1<=X<4,2,female div/dep/mar,none,2,life insurance,31,none,own,1,skilled,1,none,yes,good
<0,42,existing paid,new car,7631,<100,1<=X<4,4,male single,none,4,no known property,41,none,for free,1,skilled,1,yes,yes,bad
no checking,24,critical/other existing credit,business,5075,<100,1<=X<4,3,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,good
no checking,10,critical/other existing credit,new car,1261,<100,1<=X<4,4,male single,none,4,real estate,48,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,10,existing paid,radio/tv,844,<100,1<=X<4,4,male single,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,furniture/equipment,5028,<100,1<=X<4,2,male single,none,4,life insurance,47,none,own,1,skilled,1,none,yes,good
no checking,28,existing paid,radio/tv,5697,no known savings,4<=X<7,2,female div/dep/mar,none,4,car,33,none,own,1,skilled,1,yes,yes,good
no checking,12,critical/other existing credit,new car,1566,<100,4<=X<7,4,male single,none,4,car,41,none,own,2,skilled,1,yes,yes,good
no checking,24,delayed previously,furniture/equipment,4416,<100,4<=X<7,2,male single,none,3,life insurance,32,none,own,2,skilled,1,none,yes,good
no checking,12,existing paid,radio/tv,1304,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
no checking,32,delayed previously,radio/tv,5485,<100,1<=X<4,4,male single,none,2,car,31,none,own,2,skilled,1,yes,yes,good
<0,33,existing paid,furniture/equipment,4669,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,28,none,rent,1,skilled,1,none,yes,bad
0<=X<200,13,existing paid,furniture/equipment,2064,<100,1<=X<4,2,male single,none,2,car,31,none,own,1,skilled,1,none,yes,good
no checking,33,critical/other existing credit,used car,6718,<100,>=7,3,male single,none,4,no known property,45,none,for free,1,skilled,1,yes,yes,good
no checking,25,existing paid,radio/tv,3614,<100,4<=X<7,4,male single,none,4,car,30,none,own,1,skilled,1,yes,yes,good
<0,29,critical/other existing credit,furniture/equipment,4444,<100,1<=X<4,4,male single,none,4,life insurance,43,none,own,2,skilled,1,yes,yes,good
