checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,31,delayed previously,new car,8125,<100,1<=X<4,2,male single,none,2,no known property,37,none,own,1,skilled,1,yes,yes,good
<0,30,existing paid,new car,6764,<100,1<=X<4,2,male single,none,4,life insurance,40,none,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
0<=X<200,13,existing paid,radio/tv,1536,<100,<1,4,male mar/wid,none,1,car,23,none,own,1,skilled,1,none,yes,bad
0<=X<200,14,existing paid,radio/tv,1767,<100,<1,2,male mar/wid,none,2,life insurance,26,none,own,1,skilled,1,none,yes,good
<0,14,critical/other existing credit,radio/tv,1252,<100,1<=X<4,4,male single,none,4,car,48,none,own,1,unskilled resident,1,none,yes,bad
<0,16,existing paid,radio/tv,1438,<100,1<=X<4,4,male single,none,2,car,43,none,own,1,unskilled resident,1,none,yes,good
no checking,36,existing paid,radio/tv,6264,<100,1<=X<4,2,male single,none,2,car,31,none,own,1,skilled,1,yes,yes,good
0<=X<200,33,existing paid,used car,7548,<100,>=7,4,male single,none,4,no known property,41,none,for free,1,skilled,1,yes,yes,good
no checking,25,critical/other existing credit,radio/tv,4159,no known savings,1<=X<4,3,male single,none,2,car,33,none,own,1,skilled,1,yes,yes,good
no checking,9,critical/other existing credit,new car,2477,<100,1<=X<4,1,male single,none,3,real estate,41,none,own,2,unskilled resident,2,none,yes,good
no checking,18,existing paid,new car,2219,<100,>=7,3,male single,none,4,real estate,38,none,own,1,skilled,1,yes,yes,good
0<=X<200,11,existing paid,new car,1759,<100,1<=X<4,2,male single,none,2,real estate,32,none,own,1,skilled,1,none,yes,good
0<=X<200,41,existing paid,education,9234,<100,1<=X<4,4,male single,none,4,no known property,39,none,for free,1,skilled,1,yes,yes,bad
no checking,25,existing paid,radio/tv,5195,<100,4<=X<7,2,male single,none,2,car,31,none,own,1,skilled,1,yes,yes,good
no checking,10,critical/other existing credit,new car,1188,<100,>=7,4,male single,none,4,real estate,54,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,12,existing paid,radio/tv,953,<100,1<=X<4,4,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,22,existing paid,business,5109,<100,1<=X<4,2,male single,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,24,existing paid,used car,5425,<100,>=7,2,male single,none,4,car,32,none,own,1,skilled,1,yes,yes,good
0<=X<200,11,critical/other existing credit,new car,1348,<100,>=7,4,male single,none,4,car,39,none,own,1,skilled,1,none,yes,good
<0,23,existing paid,new car,3278,<100,1<=X<4,4,male single,none,2,life insurance,32,none,own,1,skilled,1,yes,yes,bad
0<=X<200,13,existing paid,radio/tv,1410,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
no checking,41,existing paid,radio/tv,6502,<100,1<=X<4,2,male single,none,2,car,31,none,own,1,skilled,1,yes,yes,good
<0,33,existing paid,furniture/equipment,4927,<100,<1,4,female div/dep/mar,none,4,life insurance,29,none,own,1,skilled,1,none,yes,bad
0<=X<200,11,existing paid,new car,1554,<100,1<=X<4,2,male single,none,2,real estate,30,none,own,1,skilled,1,none,yes,good
0<=X<200,30,existing paid,new car,6109,<100,>=7,4,male single,none,4,no known property,45,none,for free,1,skilled,1,yes,yes,good
