checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,46,existing paid,radio/tv,5213,<100,1<=X<4,2,male single,none,2,car,26,none,own,1,skilled,1,none,yes,bad
no checking,11,critical/other existing credit,new car,2325,<100,<1,4,male single,none,1,real estate,39,none,own,1,unskilled resident,2,none,yes,good
<0,39,existing paid,new car,4720,<100,>=7,4,male single,none,4,no known property,43,none,for free,1,skilled,2,none,yes,bad
<0,36,existing paid,used car,5447,<100,1<=X<4,4,male single,none,4,no known property,44,none,for free,1,skilled,2,yes,yes,good
no checking,23,existing paid,radio/tv,2573,<100,>=7,4,male single,none,4,car,47,none,own,1,skilled,1,yes,yes,good
no checking,34,existing paid,used car,6401,<100,1<=X<4,2,male single,none,2,car,38,none,own,1,skilled,1,yes,yes,good
no checking,12,existing paid,furniture/equipment,1923,<100,4<=X<7,3,female div/dep/mar,none,4,real estate,48,none,own,1,unskilled resident,1,none,yes,good
<0,20,existing paid,radio/tv,1807,<100,>=7,4,male single,none,4,car,45,none,own,2,skilled,1,none,yes,good
<0,16,existing paid,furniture/equipment,1508,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,32,none,own,1,unskilled resident,1,none,yes,good
no checking,35,existing paid,business,5043,<100,<1,2,male single,none,2,car,30,none,own,2,skilled,1,none,yes,good
no checking,25,existing paid,radio/tv,3706,no known savings,>=7,4,male single,none,4,car,40,none,own,1,skilled,2,yes,yes,good
no checking,11,critical/other existing credit,furniture/equipment,1413,<100,4<=X<7,4,male single,none,3,car,45,none,own,1,skilled,1,yes,yes,good
no checking,15,existing paid,business,2007,<100,1<=X<4,4,male single,none,4,car,40,none,own,1,skilled,1,yes,yes,good
no checking,11,existing paid,furniture/equipment,1244,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,35,none,own,1,unskilled resident,1,none,yes,good
no checking,11,existing paid,radio/tv,1123,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,34,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,13,existing paid,radio/tv,1407,<100,1<=X<4,4,male mar/wid,none,2,real estate,31,none,own,1,skilled,1,none,yes,good
no checking,27,existing paid,business,3820,<100,1<=X<4,2,male single,none,2,car,34,none,own,2,skilled,1,none,yes,good
