checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,36,existing paid,radio/tv,5832,<100,1<=X<4,2,female div/dep/mar,none,2,car,27,none,own,1,skilled,1,none,yes,bad
no checking,10,critical/other existing credit,radio/tv,2115,<100,1<=X<4,2,male single,none,4,real estate,36,none,own,1,unskilled resident,1,none,yes,good
no checking,36,critical/other existing credit,used car,7522,<100,>=7,4,male single,none,4,no known property,42,none,for free,1,skilled,1,yes,yes,good
no checking,15,existing paid,radio/tv,2481,no known savings,>=7,3,male single,none,4,real estate,45,none,own,1,skilled,1,yes,yes,good
0<=X<200,27,existing paid,furniture/equipment,4444,<100,1<=X<4,2,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,none,yes,bad
no checking,23,critical/other existing credit,radio/tv,2346,no known savings,>=7,4,male single,none,4,car,46,none,own,1,skilled,1,none,yes,good
no checking,9,existing paid,radio/tv,1830,<100,>=7,2,male single,none,4,real estate,43,none,own,1,unskilled resident,1,none,yes,good
<0,8,critical/other existing credit,new car,2467,<100,1<=X<4,1,male single,none,2,real estate,41,none,own,2,unskilled resident,2,none,yes,good
no checking,13,existing paid,new car,1638,<100,1<=X<4,4,male mar/wid,none,2,real estate,32,none,own,2,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,1058,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,41,none,own,2,skilled,1,none,yes,good
<0,48,critical/other existing credit,used car,8034,<100,>=7,4,male single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,bad
no checking,16,existing paid,used car,1983,500<=X<1000,1<=X<4,4,male single,none,4,real estate,36,none,own,1,skilled,1,yes,yes,good
0<=X<200,38,critical/other existing credit,new car,7475,<100,1<=X<4,4,male single,none,4,no known property,38,none,for free,2,skilled,1,yes,yes,good
no checking,18,existing paid,radio/tv,1901,<100,1<=X<4,4,male single,none,1,real estate,33,none,own,1,skilled,1,none,yes,good
0<=X<200,11,existing paid,radio/tv,839,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,26,none,own,1,skilled,1,none,yes,good
<0,25,existing paid,furniture/equipment,4791,<100,1<=X<4,2,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,good
no checking,24,existing paid,radio/tv,2439,no known savings,>=7,4,male single,none,2,car,41,none,own,1,skilled,1,none,yes,good
no checking,21,delayed previously,furniture/equipment,5070,<100,>=7,2,male single,none,4,car,38,none,own,2,skilled,1,none,yes,good
no checking,14,existing paid,radio/tv,1726,<100,1<=X<4,4,male single,none,2,real estate,29,none,own,1,skilled,1,none,yes,good
>=200,16,existing paid,radio/tv,2229,<100,<1,2,female div/dep/mar,none,1,car,30,none,own,1,skilled,1,none,yes,good
0<=X<200,32,critical/other existing credit,furniture/equipment,6293,<100,>=7,4,male single,none,4,no known property,36,none,own,2,skilled,1,yes,yes,good
no checking,15,existing paid,radio/tv,1224,no known savings,>=7,4,male single,none,4,real estate,47,none,own,1,skilled,1,none,yes,good
no checking,28,critical/other existing credit,used car,3823,no known savings,>=7,4,male single,none,4,life insurance,43,none,own,2,skilled,1,yes,yes,good
0<=X<200,28,existing paid,radio/tv,2693,<100,>=7,4,male single,none,4,no known property,46,none,for free,1,skilled,1,none,yes,bad
no checking,11,critical/other existing credit,new car,1252,<100,>=7,2,male single,none,4,real estate,53,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,28,critical/other existing credit,used car,5358,<100,1<=X<4,1,male single,none,4,car,34,none,own,2,skilled,1,yes,yes,good
<0,31,existing paid,radio/tv,3618,<100,1<=X<4,4,male single,none,2,car,32,none,own,1,skilled,1,none,yes,good
0<=X<200,26,existing paid,radio/tv,3798,<100,1<=X<4,2,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,none,yes,good
0<=X<200,26,existing paid,radio/tv,4471,<100,1<=X<4,1,female div/dep/mar,none,2,car,30,none,own,2,skilled,1,yes,yes,good
no checking,14,existing paid,radio/tv,1990,<100,>=7,2,male single,none,4,real estate,47,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,34,existing paid,new car,8789,<100,>=7,4,male single,none,4,no known property,39,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,15,existing paid,new car,1222,<100,1<=X<4,4,male single,none,2,car,34,none,own,2,skilled,1,none,yes,good
no checking,12,critical/other existing credit,radio/tv,836,<100,>=7,4,male single,none,4,real estate,49,none,own,2,skilled,1,none,yes,good
no checking,14,critical/other existing credit,new car,1204,<100,1<=X<4,4,male single,none,4,real estate,37,none,own,2,unskilled resident,1,none,yes,good
no checking,30,critical/other existing credit,used car,7107,<100,4<=X<7,3,male single,none,4,car,36,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,27,existing paid,radio/tv,2928,<100,1<=X<4,4,male single,none,4,car,31,none,own,1,skilled,1,none,yes,bad
no checking,15,critical/other existing credit,new car,1482,<100,1<=X<4,4,male single,none,4,car,37,none,own,2,skilled,1,none,yes,good
no checking,21,existing paid,furniture/equipment,3864,<100,1<=X<4,2,male single,none,2,car,33,none,own,1,skilled,1,none,yes,good
no checking,23,existing paid,furniture/equipment,4313,<100,1<=X<4,2,male single,none,2,car,33,none,own,2,skilled,1,none,yes,good
no checking,27,critical/other existing credit,radio/tv,3244,<100,>=7,4,male single,none,4,car,40,none,own,1,skilled,1,yes,yes,good
no checking,13,existing paid,furniture/equipment,2059,<100,<1,2,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes,good
no checking,19,existing paid,radio/tv,2241,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,29,none,own,1,skilled,1,none,yes,bad
0<=X<200,29,critical/other existing credit,used car,5706,<100,1<=X<4,3,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,radio/tv,832,<100,1<=X<4,4,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes,good
no checking,17,existing paid,furniture/equipment,2440,<100,1<=X<4,2,male single,none,2,life insurance,32,none,own,1,skilled,1,none,yes,good
0<=X<200,37,existing paid,radio/tv,6737,<100,1<=X<4,2,female div/dep/mar,none,2,car,27,none,own,1,skilled,1,none,yes,good
no checking,19,critical/other existing credit,new car,2327,<100,>=7,4,male single,none,4,no known property,53,none,for free,1,skilled,1,none,yes,good
<0,35,existing paid,radio/tv,6446,<100,1<=X<4,1,female div/dep/mar,none,4,car,28,none,own,1,skilled,1,none,yes,good
