checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,16,critical/other existing credit,radio/tv,1652,no known savings,>=7,4,male single,none,4,life insurance,52,none,own,2,skilled,1,none,yes,good
no checking,8,critical/other existing credit,new car,2508,<100,1<=X<4,1,male single,none,2,real estate,43,none,own,2,unskilled resident,2,none,yes,good
no checking,27,critical/other existing credit,radio/tv,2552,no known savings,>=7,4,male single,none,4,car,40,none,own,1,skilled,1,none,yes,good
0<=X<200,29,existing paid,business,6625,<100,1<=X<4,2,male single,none,2,car,36,none,own,2,skilled,1,yes,yes,good
no checking,14,existing paid,radio/tv,2258,<100,>=7,1,male single,none,4,real estate,53,none,own,1,skilled,1,yes,yes,good
0<=X<200,27,critical/other existing credit,new car,4187,<100,unemployed,4,male mar/wid,none,2,car,31,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,18,existing paid,radio/tv,1773,<100,<1,4,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,none,yes,bad
0<=X<200,22,existing paid,new car,2881,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
0<=X<200,18,existing paid,radio/tv,2105,<100,1<=X<4,2,female div/dep/mar,none,1,life insurance,25,none,own,1,skilled,1,none,yes,good
<0,18,critical/other existing credit,radio/tv,1446,<100,>=7,4,male single,none,4,life insurance,48,none,own,2,skilled,1,none,yes,good
no checking,30,delayed previously,business,6383,<100,1<=X<4,2,male single,none,2,car,30,none,own,2,skilled,1,none,yes,good
0<=X<200,42,existing paid,education,8350,<100,>=7,4,male single,none,4,no known property,49,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
<0,8,critical/other existing credit,new car,2478,<100,4<=X<7,1,male single,none,2,real estate,40,none,own,2,unskilled resident,2,none,yes,good
no checking,10,existing paid,furniture/equipment,1744,<100,1<=X<4,2,male single,none,4,real estate,46,none,own,1,skilled,1,none,yes,good
