checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,32,existing paid,new car,6560,<100,4<=X<7,1,male single,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,bad
no checking,29,critical/other existing credit,new car,7423,<100,1<=X<4,2,male single,none,4,no known property,40,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,15,existing paid,radio/tv,1952,<100,<1,2,female div/dep/mar,none,1,car,26,none,own,1,skilled,1,none,yes,bad
0<=X<200,14,existing paid,radio/tv,2074,<100,1<=X<4,4,female div/dep/mar,none,1,car,27,none,own,1,skilled,1,none,yes,good
<0,14,critical/other existing credit,new car,1392,<100,1<=X<4,4,male single,none,2,car,43,none,own,1,skilled,1,none,yes,bad
<0,18,existing paid,furniture/equipment,2300,<100,1<=X<4,4,male single,none,2,real estate,39,none,own,1,unskilled resident,1,none,yes,good
no checking,31,delayed previously,business,5802,<100,4<=X<7,2,male single,none,4,car,34,none,own,2,skilled,1,yes,yes,good
<0,32,existing paid,used car,9021,<100,1<=X<4,2,male single,none,4,no known property,43,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,27,critical/other existing credit,radio/tv,3913,no known savings,>=7,3,male single,none,2,car,34,none,own,2,skilled,1,yes,yes,good
<0,9,critical/other existing credit,new car,2345,<100,1<=X<4,1,male single,none,3,real estate,39,none,own,2,unskilled resident,2,none,yes,good
no checking,21,existing paid,radio/tv,2565,no known savings,>=7,4,male single,none,4,real estate,41,none,own,1,skilled,1,yes,yes,good
no checking,12,existing paid,new car,1941,<100,1<=X<4,2,male single,none,2,life insurance,30,none,own,1,skilled,1,none,yes,good
0<=X<200,40,existing paid,new car,8037,<100,1<=X<4,4,male single,none,4,no known property,42,none,for free,1,skilled,1,yes,yes,bad
no checking,27,critical/other existing credit,business,5308,<100,>=7,2,male single,none,4,car,32,none,own,2,skilled,1,yes,yes,good
no checking,10,existing paid,radio/tv,1377,<100,1<=X<4,4,male single,none,4,real estate,49,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,11,existing paid,radio/tv,874,<100,1<=X<4,4,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,25,existing paid,business,5552,<100,1<=X<4,2,male single,none,4,life insurance,47,none,own,1,unskilled resident,1,yes,yes,good
no checking,28,existing paid,radio/tv,5787,no known savings,4<=X<7,2,male single,none,4,car,33,none,own,1,skilled,1,yes,yes,good
no checking,11,critical/other existing credit,new car,1473,<100,4<=X<7,4,male single,none,4,life insurance,41,none,own,1,skilled,1,yes,yes,good
no checking,27,delayed previously,business,5125,<100,<1,2,male single,none,3,life insurance,33,none,own,2,skilled,1,none,yes,good
no checking,13,existing paid,radio/tv,1315,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,34,delayed previously,radio/tv,5286,<100,1<=X<4,4,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,good
<0,30,existing paid,furniture/equipment,4655,<100,<1,4,female div/dep/mar,none,4,life insurance,28,none,rent,1,skilled,1,yes,yes,bad
0<=X<200,13,existing paid,furniture/equipment,2038,<100,1<=X<4,2,male single,none,2,car,30,none,own,1,skilled,1,none,yes,good
no checking,33,critical/other existing credit,used car,6986,<100,>=7,4,male single,none,4,no known property,43,none,for free,1,skilled,1,yes,yes,good
0<=X<200,23,existing paid,radio/tv,3296,<100,4<=X<7,4,male single,none,4,life insurance,30,none,own,1,skilled,1,yes,yes,good
no checking,27,critical/other existing credit,furniture/equipment,4197,<100,1<=X<4,4,male single,none,4,car,42,none,own,2,skilled,1,yes,yes,good
<0,32,existing paid,new car,4282,<100,>=7,4,male single,none,4,no known property,45,none,for free,1,skilled,1,yes,yes,bad
no checking,28,existing paid,radio/tv,3533,<100,>=7,4,female div/dep/mar,none,4,car,29,none,own,1,skilled,1,none,yes,good
no checking,34,delayed previously,radio/tv,5945,no known savings,1<=X<4,1,male single,none,4,car,33,none,own,2,skilled,1,yes,yes,good
no checking,9,critical/other existing credit,new car,987,<100,>=7,4,male single,none,4,real estate,45,none,own,2,unskilled resident,1,none,yes,good
0<=X<200,30,delayed previously,business,5918,<100,<1,1,male single,none,1,life insurance,34,none,own,2,unskilled resident,1,yes,yes,good
<0,28,existing paid,furniture/equipment,3413,<100,>=7,4,male single,none,2,life insurance,40,none,own,1,skilled,1,yes,yes,bad
no checking,16,critical/other existing credit,new car,2048,<100,>=7,4,male single,none,4,no known property,53,none,for free,2,skilled,1,yes,yes,good
