CreditScore,Age,Tenure,Balance,EstimatedSalary,Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited
607,47,6,171770.55,74850.93,Spain,Male,2,1,1,0
578,30,3,0,17550.49,Spain,Male,2,1,1,0
660,62,3,0,46041.08,Spain,Male,2,1,1,0
494,29,4,122552.34,193209.11,Germany,Female,4,0,0,1
618,35,9,156282.79,20081.3,Germany,Female,4,0,0,1
712,28,4,97792.21,186136.48,Spain,Male,2,1,1,0
702,46,7,70438.01,98570.01,Spain,Male,2,1,1,0
542,21,2,96763.89,19632.64,Spain,Male,2,1,1,0
655,40,1,109876.82,134281.11,Spain,Male,2,1,1,0
796,38,10,81153.82,145004.39,Spain,Male,2,1,1,0
479,37,2,122031.55,26796.73,Spain,Male,2,1,1,0
555,30,8,171932.26,110932.24,Spain,Male,2,1,1,0
850,34,0,154953.94,14828.54,Germany,Female,4,0,0,1
695,31,9,47536.4,95686.6,Spain,Male,2,1,1,0
735,37,6,114430.18,186300.59,Spain,Male,2,1,1,0
745,35,6,0,74077.91,Spain,Male,2,1,1,0
579,46,1,166287.85,64771.61,Spain,Male,2,1,1,0
654,36,4,49113.75,147545.65,Spain,Male,2,1,1,0
544,26,9,111233.09,142917.54,Spain,Male,2,1,1,0
850,33,10,75497.51,103697.57,Germany,Female,4,0,0,1
575,35,2,92911.52,24472.23,Spain,Male,2,1,1,0
700,43,6,105000.85,49865.04,Germany,Female,4,0,0,1
472,45,9,0,190347.72,Spain,Male,2,1,1,0
598,40,9,71872.19,135123.96,Germany,Female,4,0,0,1
587,50,2,127552.85,175877.7,Spain,Male,2,1,1,0
548,43,2,0,139297.71,Spain,Male,2,1,1,0
563,33,7,114330.95,188343.05,Germany,Female,4,0,0,1
686,42,6,128289.7,173245.68,Spain,Male,2,1,1,0
716,35,8,141038.57,62933.03,Spain,Male,2,1,1,0
758,27,8,150842.93,55859.27,Germany,Female,4,0,0,1
713,32,8,0,133486.36,Spain,Male,2,1,1,0
697,40,4,143566.12,52309.8,Spain,Male,2,1,1,0
535,38,3,146766.72,79792.3,Spain,Male,2,1,1,0
633,31,2,122950.31,143980.29,Spain,Male,2,1,1,0
772,36,8,0,77677.14,Spain,Male,2,1,1,0
806,39,3,51293.47,41921.75,Germany,Female,4,0,0,1
771,31,9,61687.33,176570.28,Germany,Female,4,0,0,1
699,31,7,103471.52,30117.44,Spain,Male,2,1,1,0
554,42,3,0,94875.03,Spain,Male,2,1,1,0
492,29,10,118233.81,47675.29,Spain,Male,2,1,1,0
594,42,1,120252.02,161428.25,Spain,Male,2,1,1,0
590,45,10,113063.83,12905.89,Spain,Male,2,1,1,0
683,43,5,112373.49,114672.64,Spain,Male,2,1,1,0
530,36,5,112088.04,176962.31,Germany,Female,4,0,0,1
501,43,6,0,138525.19,Spain,Male,2,1,1,0
783,41,3,0,171340.68,Spain,Male,2,1,1,0
699,28,5,131899,54372.37,Spain,Male,2,1,1,0
789,46,5,108300.27,79099.64,Spain,Male,2,1,1,0
784,43,2,82531.11,11597.69,Germany,Female,4,0,0,1
767,47,4,153590.73,42429.88,Spain,Male,2,1,1,0
706,38,6,0,179718.17,Germany,Female,4,0,0,1
695,37,5,91241.85,60651.77,Germany,Female,4,0,0,1
535,42,8,0,70224.34,Spain,Male,2,1,1,0
452,46,9,46323.57,174123.16,Spain,Male,2,1,1,0
712,40,5,88772.87,52827.51,Germany,Female,4,0,0,1
693,30,5,0,3965.69,Spain,Male,2,1,1,0
817,38,8,113146.98,44420.18,Germany,Female,4,0,0,1
787,82,7,160997.54,980.93,Spain,Male,2,1,1,0
687,34,8,82291.1,2605.65,Spain,Male,2,1,1,0
644,52,6,150635.3,56905.38,Spain,Male,2,1,1,0
571,47,10,141947.67,170072.9,Spain,Male,2,1,1,0
579,33,1,0,53157.16,Germany,Female,4,0,0,1
513,35,2,84350.07,55701.62,Spain,Male,2,1,1,0
567,37,0,120171.58,47161.25,Spain,Male,2,1,1,0
520,24,7,111336.89,181177.9,Spain,Male,2,1,1,0
666,58,4,129490.36,186489.95,Germany,Female,4,0,0,1
636,37,6,0,183572.39,Germany,Female,4,0,0,1
651,33,4,128369.75,25165.36,Spain,Male,2,1,1,0
698,39,8,115897.73,164074.89,Spain,Male,2,1,1,0
734,41,3,0,110035.88,Spain,Male,2,1,1,0
663,32,4,129837.72,195813.81,Germany,Female,4,0,0,1
607,30,2,0,102986.15,Germany,Female,4,0,0,1
656,31,10,146780.52,197148.24,Spain,Male,2,1,1,0
850,43,2,74260.03,115241.96,Spain,Male,2,1,1,0
743,34,3,93173.88,138344.7,Spain,Male,2,1,1,0
679,33,7,51949.95,114957.22,Spain,Male,2,1,1,0
715,31,1,124978.19,191520.5,Spain,Male,2,1,1,0
625,22,4,104267.7,3476.38,Germany,Female,4,0,0,1
760,37,2,135096.77,169287.99,Spain,Male,2,1,1,0
739,33,8,0,52795.56,Germany,Female,4,0,0,1
713,30,3,157094.78,48682.1,Spain,Male,2,1,1,0
738,23,5,118469.38,17550.49,Spain,Male,2,1,1,0
685,41,3,126679.69,168816.22,Spain,Male,2,1,1,0
520,37,8,0,23067.97,Germany,Female,4,0,0,1
700,40,2,0,44912.7,Germany,Female,4,0,0,1
641,37,3,141827.33,40223.74,Germany,Female,4,0,0,1
747,35,9,0,10109.47,Germany,Female,4,0,0,1
612,40,5,160729.1,189826.96,Spain,Male,2,1,1,0
652,40,7,66190.33,87771.06,Spain,Male,2,1,1,0
682,29,7,0,87278.48,Spain,Male,2,1,1,0
667,40,4,0,124777.14,Germany,Female,4,0,0,1
738,39,5,120046.74,189664.43,Spain,Male,2,1,1,0
771,30,3,132767.66,116548.02,Spain,Male,2,1,1,0
590,27,4,127076.68,96075.55,Germany,Female,4,0,0,1
703,36,0,121702.73,68807.47,Spain,Male,2,1,1,0
798,25,7,100421.1,26136.89,Germany,Female,4,0,0,1
791,65,4,118028.35,159123.82,Spain,Male,2,1,1,0
473,49,3,153537.57,108732.96,Spain,Male,2,1,1,0
581,33,3,161884.99,170483.9,Germany,Female,4,0,0,1
456,74,5,152283.39,22001.91,Spain,Male,2,1,1,0
489,29,2,174180.39,100615.14,Germany,Female,4,0,0,1
642,36,9,127738.75,172437.12,Spain,Male,2,1,1,0
788,38,7,115182.84,134942.45,Germany,Female,4,0,0,1
791,43,1,98903.06,13848.58,Spain,Male,2,1,1,0
696,55,4,134152.29,72549.27,Germany,Female,4,0,0,1
580,38,4,129709.62,53584.03,Spain,Male,2,1,1,0
523,38,5,88938.62,40299.23,Spain,Male,2,1,1,0
621,40,6,0,38153.19,Germany,Female,4,0,0,1
646,33,7,114415.84,171413.66,Spain,Male,2,1,1,0
500,61,6,104682.83,196864.61,Spain,Male,2,1,1,0
528,45,8,119278.01,104189.46,Spain,Male,2,1,1,0
802,42,5,131778.66,31445.03,Spain,Male,2,1,1,0
559,31,2,0,32683.88,Germany,Female,4,0,0,1
707,39,7,117307.44,4989.33,Spain,Male,2,1,1,0
571,26,1,0,22558.74,Spain,Male,2,1,1,0
796,41,7,92246.14,45033.75,Spain,Male,2,1,1,0
468,52,5,79562.98,141756.32,Spain,Male,2,1,1,0
627,39,3,54098.18,27472.07,Spain,Male,2,1,1,0
453,31,10,135216.8,89891.4,Germany,Female,4,0,0,1
636,50,5,152806.74,177815.87,Germany,Female,4,0,0,1
659,62,5,128252.66,55072.93,Spain,Male,2,1,1,0
763,32,7,0,6120.84,Spain,Male,2,1,1,0
687,43,2,0,113950.51,Spain,Male,2,1,1,0
783,33,7,0,10883.52,Spain,Male,2,1,1,0
711,47,1,115545.33,61290.99,Spain,Male,2,1,1,0
580,34,3,114450.32,70974.13,Spain,Male,2,1,1,0
724,35,10,92246.14,120906.83,Spain,Male,2,1,1,0
659,47,7,0,144995.33,Spain,Male,2,1,1,0
553,29,10,0,153229.19,Germany,Female,4,0,0,1
682,38,1,0,161304.68,Germany,Female,4,0,0,1
731,36,10,98986.28,135851.3,Germany,Female,4,0,0,1
775,51,8,0,192127.22,Spain,Male,2,1,1,0
529,38,2,0,106.67,Spain,Male,2,1,1,0
583,50,10,0,143829.54,Spain,Male,2,1,1,0
676,41,8,143571.52,86043.27,Spain,Male,2,1,1,0
686,64,9,77354.37,63584.55,Germany,Female,4,0,0,1
724,46,8,74197.38,53478.02,Spain,Male,2,1,1,0
608,31,3,0,81884.8,Spain,Male,2,1,1,0
745,32,7,112499.42,122254.86,Spain,Male,2,1,1,0
659,54,0,62092.9,106851.7,Spain,Male,2,1,1,0
658,76,8,110822.9,103660.31,Spain,Male,2,1,1,0
525,42,8,127197.14,10662.58,Spain,Male,2,1,1,0
818,41,6,0,78970.58,Spain,Male,2,1,1,0
671,20,1,145081.72,6554.97,Spain,Male,2,1,1,0
700,28,7,0,71139.8,Spain,Male,2,1,1,0
815,32,6,126679.69,72143.44,Spain,Male,2,1,1,0
719,42,4,0,144390.75,Germany,Female,4,0,0,1
486,42,5,106000.12,1568.91,Spain,Male,2,1,1,0
614,34,2,116037.76,92243.94,Spain,Male,2,1,1,0
669,35,0,140355.6,41536.59,Spain,Male,2,1,1,0
751,33,2,191808.73,2150.22,Germany,Female,4,0,0,1
606,54,7,0,57802.62,Germany,Female,4,0,0,1
497,31,6,182781.74,85250.77,Spain,Male,2,1,1,0
554,37,3,153610.61,1568.91,Spain,Male,2,1,1,0
653,42,1,0,150319.49,Germany,Female,4,0,0,1
479,44,5,96032.22,131647.31,Germany,Female,4,0,0,1
713,30,7,107174.58,2150.22,Spain,Male,2,1,1,0
718,37,1,121818.84,93251.42,Germany,Female,4,0,0,1
587,33,5,118210.42,83629.6,Spain,Male,2,1,1,0
536,58,2,0,28461.29,Spain,Male,2,1,1,0
608,20,6,0,74760.32,Spain,Male,2,1,1,0
636,27,7,109663.47,158590.66,Spain,Male,2,1,1,0
668,53,8,73937.02,176962.31,Germany,Female,4,0,0,1
637,44,9,170826.55,98810.78,Spain,Male,2,1,1,0
497,34,1,152283.39,188193.25,Spain,Male,2,1,1,0
