CreditScore,Age,Tenure,Balance,EstimatedSalary,Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited
652.265637141482,42.1711557600321,4.78638324594281,95478.9818430196,97676.282430988,Spain,Female,4,0,1,0
653.056080472606,45.4119377104417,4.55552186657943,114345.682474838,95559.2254414467,Germany,Female,4,0,0,1
653.382864280073,46.7517365590468,4.46007952735653,122145.52342998,94683.9951543055,Spain,Female,4,0,1,0
651.013261293476,37.0364713575762,5.15215926601623,65586.6426044097,101030.540653123,Germany,Female,4,0,1,1
651.610554938328,39.4853483195447,4.97771028364647,79843.1489762067,99430.7995510699,France,Male,2,1,1,0
648.949702799585,28.5759747510597,5.75485390779327,16332.5862951002,106557.402302532,France,Male,2,0,1,0
648.033871085588,24.8211060951181,6.02233693210765,-5526.94758514059,109010.288999173,Spain,Female,4,0,1,0
649.356942283449,30.2456382384139,5.63591322567964,26052.7839677048,105466.686293195,Spain,Female,4,0,1,0
655.550868079855,55.640454201541,3.82687999492317,173892.533049221,88877.3959751402,Germany,Male,3,1,0,1
647.921100657936,24.3587524359935,6.05527330522146,-8218.60910578883,109312.323835415,Spain,Female,4,0,1,0
649.871958284238,32.3571805765034,5.48549472045009,38345.4459775977,104087.31071842,Germany,Female,3,1,0,1
651.278906691933,38.1256054910827,5.07457335859618,71927.2011360213,100319.058342628,Spain,Female,4,0,1,0
648.437659136976,26.4766188652356,5.90440429501224,4110.86955402633,107928.817016521,Spain,Female,4,0,1,0
650.258552002035,33.942197355631,5.37258395831218,47572.8600788245,103051.890593852,Spain,Male,2,0,1,0
653.434063974119,46.9616529917601,4.44512585322825,123367.583585308,94546.8661965739,Germany,Female,3,1,0,1
650.552226452468,35.146249336061,5.28681172640002,54582.4301787354,102265.337626097,France,Male,2,1,1,0
650.88736401333,36.5202981962163,5.18892954240179,62581.662738879,101367.733347909,Spain,Female,4,0,1,0
650.347559056302,34.3071222573518,5.34658805131676,49697.3254020753,102813.501579821,Spain,Female,4,0,1,0
648.249987923476,25.7071753676771,5.95921661805856,-368.561751033136,108431.459822945,Spain,Female,4,0,1,0
649.614820489476,31.3029272338281,5.56059584870023,32207.9512276547,104776.006978153,France,Male,2,1,1,0
653.215366595066,46.0650036169972,4.50899985482126,118147.604091402,95132.60687739,Germany,Female,4,0,0,1
653.914182787631,48.9301184384455,4.30489961918819,134827.301904832,93260.9563154572,Germany,Female,4,0,0,1
651.379824183145,38.5393626462413,5.04509882157918,74335.9507835142,100048.769415232,Spain,Female,4,0,1,0
652.192847900255,41.8727231591552,4.80764248613227,93741.6114720174,97871.2350175123,Germany,Female,4,1,0,1
652.216459527429,41.9695297639475,4.80074633987628,94305.1857142052,97807.9956195999,Spain,Female,4,0,1,1
651.916196005887,40.7384628896177,4.88844301340916,87138.344337298,98612.1962016734,Germany,Male,3,1,0,1
652.50514430888,43.153124326957,4.7164314190934,101195.659874902,97034.8065619141,France,Male,2,0,1,0
653.321341868972,46.4994974527233,4.47804811299614,120677.075450614,94848.7716098799,France,Male,2,1,1,0
653.522359238557,47.3236595873378,4.41933783562245,125475.059549448,94310.3835806018,Germany,Female,3,1,0,1
652.26327611071,42.161475640523,4.78707282203169,95422.6275681395,97682.6060173878,Germany,Male,3,1,0,1
651.775589792632,40.1619837669671,4.92950926453799,83782.2842277411,98988.784066765,Germany,Male,3,1,0,1
648.894456055975,28.3494655979531,5.77098958625754,15013.9291168567,106705.370537704,Germany,Male,1,1,0,0
651.499113009796,39.0284414467985,5.01025864774405,77183.1967434947,99729.2762469164,Spain,Female,4,0,1,0
651.986133446472,41.0252032366906,4.86801668635065,88807.6464903186,98424.8816383232,Germany,Male,3,1,0,1
649.424280773484,30.5217230056339,5.61624596291499,27660.053056416,105286.332540584,Germany,Female,3,1,0,1
649.994800032035,32.8608261932664,5.44961686023751,41277.4948538866,103758.301704689,Spain,Female,4,0,1,0
651.123793800081,37.4896496415008,5.11987651286428,68224.8882952579,100734.49967654,France,Male,2,0,1,0
653.685577675987,47.9928478076305,4.37166732956728,129370.83964567,93873.2330346015,Spain,Female,4,0,1,0
648.346669744581,26.1035664667361,5.93097917496722,1939.08878315939,108172.5153584,France,Male,2,1,0,0
650.941230612379,36.7411488189682,5.17319695681537,63867.377929709,101223.461575942,Germany,Female,4,0,0,1
648.300019028294,25.9123006373412,5.94460424875338,825.605926395787,108297.460716396,France,Male,2,1,1,0
652.308016088332,42.3449075277081,4.77400580945794,96490.5039494595,97562.7782212534,Spain,Female,4,0,1,0
650.162210603412,33.5472019733652,5.40072197567572,45273.3349203304,103309.923299433,France,Male,2,1,1,0
650.379384450638,34.4376049364597,5.3372929454618,50456.9499871405,102728.263118226,Germany,Male,1,1,0,0
649.453814110816,30.6428083545662,5.60762028827753,28364.969667333,105207.232931844,France,Male,2,1,1,0
653.339771813879,46.5750593942924,4.47266535836317,121116.97068348,94799.4103942874,Germany,Female,4,0,0,1
652.028624652311,41.1994152611473,4.85560646286657,89821.848050986,98311.0767635486,Germany,Male,1,1,0,0
651.467448950784,38.8986202352333,5.0195066330856,76427.4229914377,99814.082601537,Spain,Female,4,0,1,0
651.117150785605,37.4624135822387,5.12181670949148,68066.329470767,100752.291768236,Spain,Female,4,0,1,0
653.098361720646,45.5852889174103,4.5431729645652,115354.872656741,95445.982899994,Germany,Male,1,1,0,0
651.811012876593,40.3072168110191,4.91916339696898,84627.7802857618,98893.9098556248,Spain,Male,2,0,1,0
648.660736919602,27.3912276967683,5.83925092781366,9435.40273268215,107331.344230902,Spain,Female,4,0,1,1
649.86936768225,32.3465592253805,5.4862513464152,38283.6121809992,104094.249169071,France,Male,2,0,1,0
649.607980544614,31.27488376888,5.56259356193708,32044.6919692559,104794.326511645,Germany,Male,1,1,0,0
648.976448024941,28.6856289668398,5.7470425450125,16970.9548412715,106485.770138597,Spain,Female,4,0,1,0
652.194777739293,41.8806354120335,4.80707884635604,93787.6738448221,97866.0662988156,France,Male,2,1,1,0
655.62480673119,55.9435993319399,3.80528505147369,175657.33812119,88679.3649051772,Germany,Female,3,1,0,1
652.702908839056,43.9639499669338,4.6586711845165,105916.003559892,96505.130664344,Spain,Female,4,0,1,0
649.771679633502,31.9460426384397,5.51478267408054,35951.944497237,104355.888629172,Germany,Female,3,1,0,1
650.43786535478,34.6773740016471,5.32021267966026,51852.8017423286,102571.632779283,Germany,Female,3,1,0,1
652.549836498527,43.3363602856005,4.70337836374789,102262.395628683,96915.1067570776,Germany,Male,1,1,0,0
650.307366321277,34.1423338594014,5.35832697032953,48737.9849036084,102921.150423531,Spain,Female,4,0,1,0
652.135644947686,41.6381936376873,4.8243495061219,92376.2625103883,98024.44259836,Germany,Male,3,1,0,1
655.831475419404,56.7909316176387,3.74492421780797,180590.210747173,88125.8408590204,Spain,Female,4,0,1,0
649.883218120051,32.4033453946898,5.48220610869908,38614.201425441,104057.15332045,Spain,Female,4,0,1,0
653.26209767764,46.2565989445386,4.49535130879977,119263.005171293,95007.4462730847,Spain,Female,4,0,1,1
652.096705133245,41.478542157535,4.83572249001571,91446.8273532094,98128.7357248706,Germany,Male,3,1,0,1
650.276018417038,34.0138088681205,5.3674826177084,47989.7572933257,103005.110015779,Germany,Male,1,1,0,0
652.291553480911,42.2774115809543,4.77881397230489,96097.5661212592,97606.8702854611,Germany,Male,1,1,0,0
649.929198642773,32.5918634607445,5.46877677546091,39711.6877637286,103934.002952575,France,Male,2,1,1,0
651.763588550328,40.1127792156585,4.93301441568974,83495.832515325,99020.9271855737,Spain,Female,4,0,1,0
653.71236576004,48.1026777421321,4.36384344923148,130010.231164866,93801.4860815342,Spain,Female,4,0,1,0
653.506536019971,47.2587851059276,4.42395925492589,125097.382976899,94352.7631594855,France,Male,2,1,1,0
650.780174630151,36.0808265673169,5.22023588389322,60023.2124063674,101654.820383662,France,Male,2,1,1,0
651.691565200792,39.8174867361179,4.95404996519155,81776.7428340162,99213.8284721572,Germany,Female,4,0,0,1
650.172140190738,33.587912832847,5.39782188387107,45510.3393254588,103283.328727217,Spain,Female,4,0,1,0
