age,absences,G1,G2,G3,school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health
18,4,0,11,11,GP,F,U,LE3,A,4,4,teacher,teacher,other,mother,4,2,2,yes,yes,no,no,yes,yes,no,no,2,3,1,1,1,3
15,1.33226762955019e-15,14,14,14,GP,F,U,GT3,T,0,4,health,health,home,mother,1,3,3,no,yes,no,no,yes,yes,yes,yes,3,2,2,1,2,5
16,6,12,12,13,GP,M,U,LE3,A,4,3,teacher,health,reputation,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,4,3,1,2,5
17,2,10,13,13,GP,F,U,LE3,A,4,4,teacher,teacher,home,mother,4,2,0,yes,yes,no,no,no,yes,no,no,2,1,1,1,1,1
15,2,14,14,14,GP,F,U,LE3,A,0,4,health,health,reputation,father,1,2,0,yes,yes,yes,no,yes,yes,yes,yes,3,3,3,1,2,2
15,3.5527136788005e-15,10,12,13,GP,F,R,GT3,T,2,0,services,services,reputation,other,3,4,3,yes,yes,no,yes,yes,yes,no,no,5,2,2,1,2,4
15,1.33226762955019e-15,12,12,13,GP,M,U,GT3,T,4,3,teacher,teacher,reputation,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,2,3
16,6,17,17,17,GP,M,U,GT3,T,0,4,health,health,home,father,1,3,1,no,yes,no,no,yes,yes,yes,no,4,2,4,3,2,2
16,10,13,13,14,GP,M,U,GT3,T,0,4,health,teacher,reputation,father,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,3,1,3,2
16,2,10,10,10,GP,M,U,LE3,T,2,2,services,health,reputation,mother,3,4,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,2,4,5
16,6,10,11,12,GP,F,U,GT3,T,0,2,services,services,home,mother,4,4,3,no,yes,yes,no,no,yes,yes,yes,1,2,1,3,5,1
16,2,12,12,13,GP,M,U,LE3,A,3,4,services,health,home,other,1,2,3,yes,yes,yes,yes,no,yes,no,no,5,3,3,1,4,5
16,4,12,11,12,GP,M,U,GT3,T,4,4,teacher,teacher,home,mother,4,1,3,yes,yes,yes,yes,no,yes,yes,yes,1,5,5,5,5,5
15,3.99680288865056e-15,10,11,11,GP,M,U,GT3,A,4,4,health,health,home,father,1,1,3,no,yes,yes,no,no,yes,yes,no,5,4,4,3,4,5
15,1.33226762955019e-15,13,12,12,GP,M,U,LE3,A,3,3,other,other,reputation,father,1,4,0,no,no,no,yes,no,yes,yes,no,5,3,2,4,1,2
16,4,13,13,13,GP,M,R,GT3,A,4,4,teacher,teacher,reputation,other,2,3,2,yes,yes,yes,yes,no,yes,yes,yes,2,5,1,1,1,4
15,2,11,12,12,GP,F,U,GT3,A,3,4,health,health,reputation,father,4,3,0,yes,yes,yes,no,yes,yes,no,yes,4,3,1,1,1,5
16,16,11,11,10,GP,F,U,LE3,A,2,2,other,other,home,other,1,4,3,no,yes,yes,no,no,no,yes,yes,1,1,3,5,2,3
15,8,10,11,11,GP,M,U,LE3,A,0,4,teacher,teacher,home,other,1,1,2,no,no,yes,no,no,no,yes,no,1,4,3,4,4,5
15,4.44089209850063e-16,14,15,15,GP,M,U,GT3,T,4,4,teacher,teacher,course,father,1,3,0,yes,yes,yes,yes,no,yes,yes,no,5,3,1,1,1,2
15,4,10,11,11,GP,F,U,GT3,A,4,0,services,health,reputation,other,1,4,3,yes,yes,yes,yes,yes,yes,yes,yes,2,2,2,4,1,1
16,6,13,12,13,GP,F,U,LE3,A,3,3,services,at_home,home,other,1,4,2,yes,yes,no,no,yes,yes,yes,no,2,5,5,3,4,1
15,4.44089209850063e-16,16,14,16,GP,F,U,LE3,A,0,4,health,health,other,mother,1,2,0,yes,yes,yes,no,yes,yes,no,yes,3,1,3,1,2,3
15,1.33226762955019e-15,13,12,12,GP,F,U,GT3,T,0,4,services,teacher,other,mother,1,3,3,yes,yes,yes,yes,yes,yes,yes,no,2,2,4,2,3,5
16,2,12,13,12,GP,F,U,LE3,A,2,1,other,other,other,other,1,2,2,yes,no,no,yes,yes,yes,yes,yes,5,3,1,4,3,2
15,8,15,15,16,GP,F,U,GT3,A,4,4,health,health,reputation,mother,1,4,0,yes,yes,yes,yes,yes,yes,no,yes,3,2,2,4,1,5
15,4.44089209850063e-16,14,13,14,GP,M,U,LE3,A,1,0,at_home,at_home,home,father,1,4,1,yes,yes,no,no,no,yes,no,no,2,1,2,5,1,2
15,1.33226762955019e-15,13,12,12,GP,M,U,LE3,T,3,3,services,teacher,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,2,4,4,4,4,2
16,3.10862446895044e-15,10,9,10,GP,F,U,GT3,T,3,3,services,other,reputation,mother,4,4,0,yes,yes,yes,no,yes,yes,no,no,2,3,1,1,2,3
15,6,15,15,15,MS,F,R,LE3,T,0,3,other,other,reputation,father,2,4,0,no,yes,yes,no,no,yes,yes,no,3,1,4,2,3,3
16,14,12,11,11,GP,F,U,GT3,T,4,4,at_home,health,course,mother,1,4,2,yes,yes,no,no,yes,yes,yes,no,2,3,4,2,2,3
15,2,10,9,9,GP,M,U,GT3,T,3,3,other,other,home,father,4,3,0,yes,yes,no,no,no,yes,yes,no,5,3,2,1,2,4
15,4,12,11,11,GP,F,U,LE3,A,0,2,services,health,reputation,mother,1,2,2,yes,yes,no,yes,yes,yes,yes,no,4,4,4,3,4,5
15,2,13,12,13,GP,M,U,LE3,A,2,2,services,services,reputation,mother,2,3,3,no,no,yes,yes,yes,yes,yes,no,5,1,3,5,3,4
16,6,9,9,10,GP,M,U,LE3,A,4,4,health,health,reputation,mother,4,1,0,no,yes,yes,no,yes,yes,no,no,1,1,4,3,5,5
16,1.33226762955019e-15,12,13,12,GP,F,U,LE3,A,0,1,at_home,at_home,home,father,4,2,3,yes,yes,no,no,no,yes,no,no,3,1,3,2,3,2
15,4,13,13,13,MS,F,R,GT3,T,0,0,other,other,home,mother,4,4,3,yes,yes,yes,no,no,yes,no,no,2,1,2,4,1,3
16,4,12,13,13,GP,F,U,GT3,T,4,4,teacher,teacher,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,yes,5,4,3,5,2,1
15,-1.33226762955019e-15,16,16,16,GP,F,U,LE3,A,3,4,services,teacher,course,mother,1,2,2,yes,yes,no,yes,yes,yes,yes,no,5,4,4,3,1,1
15,10,10,10,10,GP,F,U,GT3,A,3,0,health,health,reputation,father,2,4,0,yes,yes,no,no,yes,yes,no,no,2,3,3,1,1,4
15,8,12,10,11,MS,M,R,LE3,T,4,4,teacher,teacher,home,father,4,4,1,no,yes,no,no,no,yes,yes,yes,1,5,5,5,5,1
16,2,15,15,14,GP,F,U,LE3,A,4,4,health,health,other,mother,1,3,2,yes,yes,no,no,yes,yes,yes,yes,5,4,5,4,2,4
16,6,14,14,15,GP,M,U,GT3,T,3,3,other,services,home,father,1,1,0,no,no,no,yes,no,yes,yes,no,5,1,2,3,4,1
16,4,12,13,13,GP,M,U,LE3,T,4,4,health,health,course,father,1,1,3,no,yes,yes,yes,yes,yes,yes,no,3,4,4,3,4,5
16,1.77635683940025e-15,12,11,11,GP,F,U,GT3,A,2,2,other,health,home,mother,1,2,3,no,no,no,no,no,yes,yes,yes,5,4,4,1,1,1
16,4,13,12,13,GP,F,U,GT3,T,0,3,other,other,home,other,2,3,2,no,yes,yes,no,no,no,yes,yes,1,2,2,2,2,1
17,8,11,10,11,GP,M,U,LE3,A,2,1,health,at_home,course,other,3,4,2,no,yes,no,no,yes,no,no,yes,3,2,2,4,2,5
15,6,11,12,13,MS,F,R,GT3,T,1,0,at_home,at_home,course,other,3,2,3,no,yes,no,yes,no,no,no,yes,4,3,3,5,2,4
17,2,13,12,12,GP,F,U,LE3,T,0,2,health,health,course,father,1,2,3,no,yes,no,no,no,no,yes,yes,3,4,4,2,3,5
16,12,13,11,11,GP,F,U,LE3,A,2,2,other,health,home,other,3,1,1,yes,no,no,no,yes,no,no,no,5,1,1,3,1,1
18,2,11,11,12,GP,M,U,LE3,T,3,3,services,services,other,other,4,1,2,no,no,no,yes,no,no,yes,yes,3,2,4,4,5,4
15,2.00000000000001,8,9,9,MS,F,R,GT3,T,1,0,other,at_home,course,other,3,1,3,no,no,no,yes,yes,no,no,yes,5,5,5,4,5,1
15,24,9,8,9,GP,F,U,LE3,A,3,3,services,services,other,mother,1,2,2,no,yes,no,no,no,yes,no,yes,1,1,1,2,5,1
