X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month,day
7,4,90.6,35.3999999999999,669.1,6.7,18,33,0.899999999999998,2.22044604925031e-16,-1.24344978758018e-14,nov,tue
7,4,90.6,43.6999999999999,686.9,6.7,14.6,33,1.3,1.2490009027033e-16,-2.30926389122033e-14,may,sat
8,6,91.7,33.2999999999999,77.4999999999996,9.00000000000001,8.30000000000001,97,4,0.2,3.5527136788005e-15,may,sat
7,5,92.5,88,698.6,7.1,17.8,51,7.2,-9.0205620750794e-17,-2.48689957516035e-14,may,sat
6,4,89.2,27.8999999999999,70.8000000000002,6.3,15.9,35,4,6.93889390390723e-16,-2.30926389122033e-14,nov,tue
5,4,91.8,78.4999999999999,724.3,9.2,19.1,38,2.7,-1.11022302462516e-16,-5.32907051820075e-15,dec,mon
7,4,94.3,96.2999999999998,199.999999999999,56.1,21,44,4.5,1.08246744900953e-15,8.70414851306123e-14,nov,tue
7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,2.08166817117217e-17,-7.105427357601e-15,may,sat
7,4,90.9,126.5,686.5,7,19.4,48,1.3,-2.63677968348475e-16,1.59872115546023e-14,dec,mon
6,3,93.5,149.3,728.6,8.09999999999999,22.8,39,3.6,-3.12250225675825e-16,2.1316282072803e-14,dec,mon
6,3,88.6,69.7,706.8,5.8,20.6,37,1.8,-1.73472347597681e-16,3.5527136788005e-15,may,mon
7,4,90,41.4999999999999,682.6,8.7,11.3,60,5.4,-1.52655665885959e-16,-3.01980662698043e-14,dec,mon
5,6,94.3,85.1,692.3,15.9,25.9,24,4,3.33066907387547e-16,5.32907051820075e-15,nov,tue
5,6,90.9,126.5,686.5,7,14.7,70,3.6,-5.06539254985228e-16,3.5527136788005e-15,dec,mon
4,3,90.2,99.6,631.2,6.3,21.5,34,2.2,-4.85722573273506e-17,1.59872115546023e-14,nov,tue
4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,-1.80411241501588e-16,1.06581410364015e-14,nov,tue
4,3,92.9,137,706.4,9.19999999999999,27.7,24,2.2,-1.31838984174237e-16,4.44089209850063e-14,dec,mon
2,2,91.1,103.2,638.8,5.79999999999999,23.1,31,3.1,-1.87350135405495e-16,1.95399252334028e-14,dec,mon
2,2,91.7,114.3,661.3,6.3,18.6,44,4.5,-3.33066907387547e-16,2.1316282072803e-14,nov,tue
4,5,91.7,33.3,77.5000000000001,9,17.2,26,4.5,8.32667268468867e-16,-3.19744231092045e-14,may,sat
4,5,91.2,48.3,97.8000000000002,12.5,15.8,27,7.6,7.35522753814166e-16,-3.73034936274053e-14,may,sat
4,5,94.3,85.0999999999999,692.3,15.9,17.7,37,3.6,-3.46944695195361e-17,-5.32907051820075e-15,may,mon
1,2,94.8,108.3,647.1,17,18.6,51,4.5,-1.66533453693773e-16,4.79616346638068e-14,nov,tue
1,2,92.1,111.2,654.1,9.6,16.6,47,0.899999999999998,-3.2612801348364e-16,4.44089209850063e-14,nov,tue
1,2,92.9,137,706.4,9.2,21.5,15,0.899999999999997,-3.46944695195361e-17,2.48689957516035e-14,dec,mon
4,4,89.7,89.9999999999999,704.4,4.8,17.8,64,1.3,-5.41233724504764e-16,3.01980662698043e-14,dec,mon
3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,-1.31838984174237e-16,5.32907051820075e-15,nov,tue
3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,-1.31838984174237e-16,5.32907051820075e-15,nov,tue
3,4,88.8,147.3,614.5,9,14.4,66,5.4,-5.96744875736022e-16,1.4210854715202e-14,nov,tue
2,4,92.5,121.1,674.4,8.6,24.1,29,4.5,-1.17961196366423e-16,1.06581410364015e-14,may,sat
4,4,85.9,19.5,57.3000000000004,2.8,13.7,43,5.8,6.24500451351651e-16,-2.8421709430404e-14,may,sat
3,4,91.7,33.2999999999999,77.5000000000001,9,18.8,18,4.5,7.91033905045424e-16,-2.30926389122033e-14,may,sat
3,4,89.7,90,704.4,4.8,22.8,39,3.6,-2.0122792321331e-16,8.88178419700125e-15,dec,mon
3,4,91.8,78.5,724.3,9.2,18.9,35,2.7,-1.59594559789866e-16,-1.77635683940025e-15,dec,mon
3,4,88.1,25.7,67.6000000000005,3.8,15.8,27,7.6,7.91033905045424e-16,-4.61852778244065e-14,nov,tue
3,4,94.3,85.1,692.3,15.9,19.8,50,5.4,-2.22044604925031e-16,1.24344978758018e-14,may,mon
3,5,93.5,139.4,594.2,20.3,17.6,52,5.8,-9.71445146547012e-17,8.88178419700125e-15,may,sat
3,6,92.4,124.1,680.7,8.5,17.2,58,1.3,-4.23272528138341e-16,1.59872115546023e-14,dec,mon
3,6,90.9,126.5,686.5,7,15.6,66,3.1,-6.24500451351651e-16,1.77635683940025e-15,dec,mon
2,5,95.5,99.9,513.3,13.2,23.8,32,5.4,2.35922392732846e-16,0.770000000000007,nov,tue
2,2,94.8,108.3,647.1,17,17.4,43,6.7,-1.11022302462516e-16,1.07000000000002,nov,tue
3,4,90.1,51.1999999999999,424.1,6.2,24.6,43,1.8,1.2490009027033e-16,1.43000000000003,may,sat
7,4,94.8,108.3,647.1,17,16.4,47,1.3,0,1.56000000000003,nov,tue
2,4,93.4,145.4,721.4,8.09999999999999,28.6,27,2.2,-1.73472347597681e-16,1.61000000000004,may,sat
2,4,92.1,111.2,654.1,9.6,20.5,35,4,-1.11022302462516e-16,1.64000000000001,nov,tue
6,4,95.2,131.7,578.8,10.4,20.3,41,4,-6.24500451351651e-17,1.90000000000001,nov,tue
8,6,92.5,121.1,674.4,8.6,17.8,56,1.8,-1.66533453693773e-16,1.95000000000002,may,sat
6,5,84.9,18.1999999999999,55.0000000000004,3.00000000000001,5.3,70,4.5,2.42861286636753e-16,2.13999999999996,dec,mon
7,4,91.4,142.4,601.4,10.6,20.1,39,5.4,-2.08166817117217e-17,2.74,nov,tue
0.999999999999998,4,90.2,96.9,624.2,8.9,20.3,39,4.9,-1.11022302462516e-16,4.53,may,sat
6,5,81.5,9.09999999999995,55.2000000000005,2.70000000000001,5.8,54,5.8,5.62050406216486e-16,4.60999999999993,dec,mon
2,5,90.2,99.6,631.2,6.3,19.2,44,2.7,-2.22044604925031e-16,4.69000000000001,nov,tue
2,5,90.1,82.9,735.7,6.2,18.3,45,2.2,-2.91433543964104e-16,4.88,nov,tue
8,6,88.8,147.3,614.5,9,14.4,66,5.4,-3.33066907387547e-16,5.22999999999999,nov,tue
8,6,93.9,135.7,586.7,15.1,20.8,34,4.9,4.02455846426619e-16,6.96,may,sat
6,4,90.8,41.8999999999999,89.4,7.90000000000001,13.3,42,0.899999999999996,5.48172618408671e-16,7.39999999999999,may,sat
2,2,94.8,108.3,647.1,17,24.6,22,4.5,1.11022302462516e-16,8.71000000000003,nov,tue
4,5,92.9,133.3,699.6,9.2,24.3,25,4,-6.93889390390723e-18,9.41000000000001,nov,tue
2,2,94.8,108.3,647.1,17,24.6,22,4.5,1.04083408558608e-16,10.01,nov,tue
4,5,92.9,137,706.4,9.2,21.5,15,0.899999999999998,9.71445146547012e-17,11.06,dec,mon
