X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month,day
7,4,90.6,35.4,669.1,6.70000000000001,18,33,0.900000000000001,-6.93889390390723e-17,2.48689957516035e-14,jan,wed
7,4,90.6,43.7,686.9,6.70000000000001,14.6,33,1.3,-1.14491749414469e-16,2.1316282072803e-14,may,sat
7.99999999999999,6,91.5,145.4,608.2,10.7,8,86,2.2,-4.85722573273506e-17,-6.03961325396085e-14,apr,mon
7,5,92.8,73.2,713,22.6,19.3,38,4,1.6306400674182e-16,1.03028696685215e-13,may,sat
6,5,63.5,70.8,665.299999999999,0.800000000000019,17,72,6.7,6.59194920871187e-17,-4.9737991503207e-14,may,sat
6,5,92.9,133.3,699.6,9.2,26.4,21,4.5,1.42247325030098e-16,7.8159700933611e-14,jan,wed
8,5,84.9,32.8,664.2,3.00000000000001,16.7,47,4.9,-1.45716771982052e-16,1.06581410364015e-14,apr,thu
6,4,86.3,27.3999999999999,97.1000000000002,5.1,9.3,44,4.5,-2.67147415300428e-16,-5.32907051820075e-14,apr,thu
7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,-2.42861286636753e-17,0,may,sat
7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,2.77555756156289e-16,9.9475983006414e-14,may,sat
6,3,88.6,69.7,706.8,5.80000000000001,20.6,37,1.8,-3.46944695195361e-18,1.06581410364015e-14,dec,mon
6,3,91.7,75.6,718.3,7.8,17.7,39,3.6,-3.46944695195361e-17,1.4210854715202e-14,apr,thu
6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,2.77555756156289e-17,3.90798504668055e-14,dec,mon
4,4,88.1,25.7,67.6,3.8,14.1,43,2.7,-2.18575157973078e-16,-7.105427357601e-14,may,sat
4,4,79.5,60.6,366.7,1.50000000000002,23.3,37,3.1,-6.24500451351651e-17,-3.90798504668055e-14,may,sat
4,4,90.2,96.9,624.2,8.9,18.4,42,6.7,1.04083408558608e-17,2.8421709430404e-14,may,sat
4,4,92.5,88,698.6,7.10000000000001,19.6,48,2.7,-2.42861286636753e-17,3.5527136788005e-15,may,sat
6,6,94.2,62.3,442.9,11,23,36,3.1,-4.16333634234434e-17,5.6843418860808e-14,may,sat
4,4,87.2,23.9,64.7000000000001,4.10000000000001,11.8,35,1.8,-1.6306400674182e-16,-6.75015598972095e-14,may,mon
4,4,87.6,52.2,103.8,5,11,46,5.8,-2.04697370165263e-16,-5.32907051820075e-14,may,mon
4,3,90.2,99.6,631.2,6.30000000000001,21.5,34,2.2,9.71445146547012e-17,3.5527136788005e-15,jan,wed
4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,4.85722573273506e-17,2.1316282072803e-14,jan,wed
2.00000000000001,2,92.4,117.9,668,12.2,23,37,4.5,1.45716771982052e-16,3.90798504668055e-14,dec,mon
2.00000000000001,2,92.4,117.9,668,12.2,19.6,33,5.4,1.04083408558608e-16,3.5527136788005e-14,dec,mon
2.00000000000001,2,92.4,117.9,668,12.2,19.6,33,6.3,1.45716771982052e-16,4.2632564145606e-14,dec,mon
4,5,94.3,85.1,692.3,15.9,17.7,37,3.6,5.89805981832114e-17,7.46069872548105e-14,dec,mon
1.00000000000001,2,90.2,99.6,631.2,6.30000000000001,17.9,44,2.2,0,-2.48689957516035e-14,jan,wed
1.00000000000001,2,94.8,108.3,647.1,17,18.6,51,4.5,1.00613961606655e-16,2.1316282072803e-14,apr,thu
1.00000000000001,2,92.9,137,706.4,9.20000000000001,21.5,15,0.900000000000001,1.28369537222284e-16,2.1316282072803e-14,apr,mon
1.00000000000001,2,92.9,137,706.4,9.2,25.4,27,2.2,1.49186218934005e-16,2.1316282072803e-14,apr,mon
1.00000000000001,2,93.5,149.3,728.6,8.1,25.3,36,3.6,1.17961196366423e-16,1.06581410364015e-14,apr,thu
7.99999999999999,6,91.4,142.4,601.4,10.6,18.2,43,4.9,1.38777878078145e-17,3.19744231092045e-14,jan,wed
8,6,91.1,103.2,638.8,5.80000000000001,23.4,22,2.7,3.46944695195361e-18,6.3948846218409e-14,apr,mon
4,4,89.7,90,704.4,4.80000000000001,17.8,64,1.3,-3.81639164714898e-17,-5.6843418860808e-14,apr,thu
