age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic
16.867725,2.6845763,2.5073168,1.3466492,2.1028295,0.09621091,3.8198495,3.077447,3.1767588,1.501342,2.116922,3.4425447,4.3557076,11.700191,12.2145,12.755214,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,yes
16.213821,3.7777483,3.4121978,1.1764042,2.3381927,0.0018110859,4.254487,3.359749,2.991612,1.21099,1.9806732,3.3450534,2.042114,13.73616,14.0273075,14.621729,GP,M,U,GT3,T,teacher,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no
16.908218,2.0471916,1.885707,1.4023398,2.2982275,0.049544133,3.934777,2.9968042,3.273209,1.1215824,1.9211884,3.3831742,4.289695,12.343969,12.247982,12.964663,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no
15.993228,3.3680525,2.931583,1.2192968,1.576605,0.023647813,4.4187555,3.6902988,3.1293516,1.2583911,2.310496,4.2217855,1.953718,12.932474,13.322585,13.578814,GP,M,U,GT3,T,other,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.717813,3.2680883,2.812204,1.2750906,2.3855522,0.007937541,3.9532497,3.040988,3.200345,1.3071623,2.1281524,3.244675,3.7394826,12.67871,13.281495,13.990623,GP,F,U,GT3,T,services,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no
16.897709,2.2388527,2.0511034,1.3491551,2.25302,0.03614611,3.9502285,3.0080764,3.3309965,1.1747948,1.9987175,3.321348,4.5873165,12.211885,12.621756,13.118611,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.448135,3.2904358,2.8968601,1.3204671,1.9851301,0.06707975,3.9995825,3.2974296,3.0400443,1.6171267,2.2983315,3.6368184,3.7317462,12.052544,12.598846,12.862752,GP,M,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.589018,3.5420964,3.0313423,1.2398344,2.5347607,0.0021118068,4.0497665,3.0597177,3.161503,1.2241038,2.1033273,3.1460435,3.156308,13.215481,13.898611,14.562421,GP,F,U,GT3,T,services,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no
16.720499,2.709002,2.527609,1.4381608,1.896904,0.34515798,3.9041038,3.1968884,3.0283756,1.8011589,2.332354,3.7435987,3.876062,11.00251,11.343985,11.8404455,GP,M,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,yes
16.547876,3.326698,2.9469242,1.2931256,2.1685228,0.035849124,3.9499776,3.1604667,3.0998337,1.5196509,2.160822,3.4601743,3.55856,12.3625,12.78162,13.222499,GP,F,U,GT3,T,services,services,home,mother,no,yes,no,yes,yes,yes,yes,no
