age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic
16.625383,2.6818097,2.5172446,1.4351156,1.8716757,0.208395,4.0207434,3.2496717,3.2571146,1.5515512,2.5112143,3.7965634,3.5902631,11.877348,11.719392,12.044343,GP,M,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.268131,3.3498425,3.0983489,1.2605894,1.9833698,0.06626817,4.1396856,3.3472009,3.016459,1.488094,2.3181353,3.7097156,3.362691,11.981742,12.436154,12.619046,GP,M,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.73922,2.2316525,2.1511326,1.4592007,2.0990863,0.06891574,3.93473,2.91036,3.3185778,1.1872504,1.9328179,3.3988981,3.5287018,12.635194,12.305455,13.269847,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.637514,2.958364,2.7115142,1.4162941,1.805888,0.24727029,3.9954925,3.3119025,3.1396666,1.7577918,2.4470575,3.754331,3.3538442,11.3797,11.67297,11.639248,GP,M,U,GT3,T,services,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.024994,3.6515505,3.3468533,1.073041,1.7595034,0.0085399775,4.4707146,3.299646,3.1158178,1.1591623,1.9204948,3.9028587,1.338365,13.601358,13.950149,14.081825,GP,M,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
17.100235,1.8224584,1.8105156,1.9846612,1.8295573,0.49930632,3.789836,3.134227,3.1768286,1.7346094,2.4693093,3.4615803,4.0492797,10.170975,10.362694,10.469366,MS,F,R,GT3,T,at_home,other,course,mother,no,yes,no,no,yes,yes,no,no
16.634258,2.914126,2.545784,1.3405243,2.00596,0.072518624,3.9953837,3.03714,3.0847046,1.3374724,2.1146257,3.5987425,3.4490912,11.902776,12.622828,13.0504265,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.690186,2.974232,2.683423,1.3227217,2.0810802,0.052691337,4.0191326,2.9963336,3.1026998,1.2968645,2.0945213,3.4093502,3.7990322,11.854445,12.867301,13.160816,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.747147,2.7339442,2.6060534,1.5604529,1.8099922,0.47755325,3.8679764,3.287401,3.1345959,2.1196353,2.6906562,3.7404904,4.674152,11.086571,11.151304,11.089854,GP,M,U,GT3,T,services,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.359093,3.2237136,2.9622118,1.3035216,2.0307674,0.074671015,4.0419664,3.2383227,3.1599305,1.5065987,2.4052873,3.6155825,4.2152452,11.846513,12.499311,12.617857,GP,M,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.694477,2.6733308,2.4944143,1.506921,2.038584,0.17918879,3.7842398,3.0434837,3.065795,1.6290601,2.3913398,3.5990887,4.515092,11.501645,11.753774,12.176738,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.763533,2.7768493,2.5608025,1.4691224,1.9568571,0.23826577,3.8871734,3.1127331,3.093628,1.7700408,2.4542756,3.6308296,4.5581856,11.252355,11.51703,11.927644,GP,M,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.82796,2.1832056,2.1006155,1.7499189,1.9026227,0.42026395,3.8493445,3.1620667,3.194868,1.6864715,2.4560766,3.5214567,4.1967535,11.018672,11.124363,10.949043,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.88456,2.45166,2.2388892,1.6077349,2.051924,0.2184574,3.824348,3.0300415,3.1704273,1.4985601,2.3173308,3.457153,4.6109443,11.426741,11.8180685,11.980625,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.158518,3.4403977,3.128842,1.1948918,1.9342858,0.046173766,4.217802,3.4180596,3.154855,1.3443558,2.1336355,3.8603294,2.7637188,12.35732,12.686632,13.200278,GP,M,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.041882,3.6232665,3.3627737,1.113092,1.9581045,0.012329221,4.3688917,3.3634088,3.0516691,1.2498567,2.234158,3.929784,2.2492616,13.239905,13.650434,13.97152,GP,M,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.219662,3.529871,3.1250148,1.087868,2.1468449,0.0028356372,4.3685884,2.9657803,2.9882765,1.065723,1.6146291,3.6201878,2.0891495,13.848026,14.278459,14.991494,GP,F,U,GT3,T,other,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.595095,2.270986,2.1701958,1.4987622,2.318703,0.024558652,3.9518855,2.951983,3.3102298,1.0856383,1.6595821,2.996084,3.5498104,13.021376,12.880918,13.498474,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.736563,2.7204988,2.4567904,1.3420997,1.947809,0.08277135,4.0035744,3.0882647,3.137686,1.3661726,2.247631,3.5948102,3.3456159,11.703617,12.055583,12.977632,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.730865,2.7770355,2.6593912,1.5604784,1.8412359,0.4080721,3.833997,3.24779,3.1319063,2.0994422,2.7357435,3.6818564,4.8549733,10.876781,11.065432,11.069518,GP,M,U,GT3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
16.535631,3.2268257,2.887112,1.3065767,2.2294574,0.045333453,3.9926803,3.1338165,2.972259,1.3505083,2.1749063,3.4104068,4.909866,11.95606,12.597825,12.536415,GP,F,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.194244,3.4492118,3.189839,1.1865133,1.7579305,0.055482797,4.247534,3.3436332,3.1749897,1.4261804,2.2507296,3.9551094,2.5788593,12.218584,12.946751,12.934672,GP,M,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.796661,2.4648564,2.3902583,1.5853575,1.8040398,0.44326448,3.9376514,3.2235212,3.2061567,1.9219477,2.6556866,3.768238,3.7597754,10.814485,10.612586,10.780668,GP,M,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,no
16.85731,2.7414033,2.3941402,1.4891622,2.2272625,0.082328856,3.9140668,2.964621,3.0652454,1.3441606,2.074431,3.386724,4.7348304,11.863252,12.34066,12.709133,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
16.171623,3.4586976,3.1870966,1.197447,2.0237627,0.044125497,4.0680676,3.2971096,2.9828696,1.4462353,2.2171216,3.7981992,3.3181882,12.155015,12.317911,13.177899,GP,M,U,GT3,T,services,other,home,mother,no,yes,no,yes,yes,yes,yes,no
16.730598,2.5869112,2.33609,1.4245622,2.0568213,0.09609705,3.975478,2.930471,3.0728805,1.3345985,2.0577226,3.4924731,3.7929783,12.118281,12.467087,12.839742,GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,yes,no
