duration,credit_amount,age,checking_status,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
42,7882,45,<0,no credits/all paid,other,<100,4<=X<7,3,male single,guarantor,4,no known property,bank,for free,4,skilled,2,none,no,bad
30,5234,28,0<=X<200,delayed previously,other,<100,unemployed,4,male mar/wid,co applicant,3,car,stores,rent,3,unemp/unskilled non res,1,yes,yes,bad
48,4308,24,<0,no credits/all paid,domestic appliance,>=1000,<1,1,female div/dep/mar,guarantor,1,life insurance,none,rent,1,skilled,1,none,no,bad
15,1403,28,<0,no credits/all paid,domestic appliance,<100,1<=X<4,2,female div/dep/mar,co applicant,4,car,none,rent,1,unemp/unskilled non res,1,none,yes,bad
24,1282,32,>=200,all paid,domestic appliance,100<=X<500,1<=X<4,1,female div/dep/mar,co applicant,2,car,stores,rent,1,unskilled resident,1,none,yes,bad
24,12579,44,0<=X<200,delayed previously,other,no known savings,unemployed,3,male div/sep,none,4,no known property,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
6,2647,44,>=200,existing paid,domestic appliance,500<=X<1000,1<=X<4,3,male mar/wid,co applicant,3,real estate,none,rent,3,unskilled resident,2,none,no,bad
10,2241,48,<0,critical/other existing credit,new car,>=1000,4<=X<7,1,male mar/wid,guarantor,3,real estate,bank,rent,3,unskilled resident,2,none,no,bad
12,1804,44,0<=X<200,all paid,repairs,>=1000,<1,1,female div/dep/mar,co applicant,4,no known property,stores,rent,4,skilled,1,yes,no,good
10,2069,26,no checking,critical/other existing credit,business,>=1000,4<=X<7,1,male mar/wid,guarantor,1,life insurance,none,own,3,skilled,1,none,no,good
60,6836,63,<0,no credits/all paid,repairs,>=1000,>=7,3,male div/sep,none,4,no known property,stores,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
24,4020,27,>=200,delayed previously,education,>=1000,1<=X<4,2,male single,co applicant,2,life insurance,stores,own,1,skilled,1,none,yes,bad
45,4746,25,<0,delayed previously,retraining,<100,<1,4,male div/sep,guarantor,1,real estate,stores,own,2,unskilled resident,1,none,yes,bad
10,1225,37,>=200,existing paid,domestic appliance,500<=X<1000,4<=X<7,3,male mar/wid,none,2,car,none,own,4,skilled,1,yes,yes,bad
12,1158,26,>=200,existing paid,domestic appliance,500<=X<1000,<1,3,male div/sep,none,1,car,bank,own,4,unemp/unskilled non res,1,yes,yes,good
30,6187,24,no checking,critical/other existing credit,domestic appliance,100<=X<500,4<=X<7,1,female div/dep/mar,co applicant,3,car,none,rent,2,unemp/unskilled non res,1,none,no,good
11,1393,35,no checking,critical/other existing credit,new car,no known savings,unemployed,1,female div/dep/mar,none,1,car,none,rent,2,unemp/unskilled non res,1,yes,yes,good
11,7228,39,no checking,critical/other existing credit,new car,no known savings,>=7,1,male div/sep,none,2,real estate,none,own,2,unskilled resident,2,none,no,good
12,2073,28,>=200,existing paid,radio/tv,100<=X<500,1<=X<4,2,female div/dep/mar,co applicant,2,real estate,stores,rent,1,unskilled resident,1,none,no,good
18,3378,31,no checking,existing paid,retraining,no known savings,4<=X<7,2,male single,none,1,life insurance,none,own,4,high qualif/self emp/mgmt,2,yes,no,good
6,783.000000000001,26,>=200,all paid,retraining,100<=X<500,1<=X<4,1,male single,guarantor,2,real estate,stores,own,4,unskilled resident,2,none,no,good
36,6229,23,<0,critical/other existing credit,other,<100,unemployed,2,female div/dep/mar,co applicant,4,no known property,bank,rent,2,unemp/unskilled non res,1,none,yes,bad
48,14421,25,0<=X<200,no credits/all paid,business,<100,1<=X<4,2,male div/sep,none,2,car,bank,rent,3,high qualif/self emp/mgmt,1,yes,yes,bad
24,3181,26,no checking,existing paid,domestic appliance,no known savings,<1,4,female div/dep/mar,guarantor,1,life insurance,none,rent,4,skilled,1,yes,yes,good
12,2171,29,>=200,all paid,other,500<=X<1000,<1,2,female div/dep/mar,co applicant,1,car,bank,own,1,skilled,1,none,yes,good
