duration,credit_amount,age,checking_status,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
41.5396576584465,8089.48105289761,36.4709368592303,<0,all paid,education,<100,4<=X<7,4,male single,guarantor,3,no known property,bank,for free,3,unskilled resident,2,none,no,bad
40.7917160792732,7912.35010352382,36.4388538737978,>=200,all paid,education,no known savings,>=7,4,male single,none,4,no known property,bank,for free,3,unemp/unskilled non res,2,yes,yes,bad
12.1745077954963,1135.09180838319,35.2113175232966,0<=X<200,no credits/all paid,repairs,100<=X<500,<1,1,male div/sep,none,1,life insurance,none,rent,1,unemp/unskilled non res,1,none,no,bad
12.6764584272073,1253.96605526221,35.2328487167125,0<=X<200,existing paid,domestic appliance,100<=X<500,<1,1,male mar/wid,none,1,life insurance,none,rent,1,skilled,1,yes,yes,good
18.8042288039614,2705.17269305703,35.4956996842282,<0,critical/other existing credit,education,>=1000,>=7,2,male single,guarantor,3,no known property,bank,for free,3,unskilled resident,2,none,no,bad
18.2896244542335,2583.30173473977,35.4736257090468,<0,no credits/all paid,repairs,<100,1<=X<4,2,male mar/wid,guarantor,2,car,stores,rent,1,unskilled resident,1,none,yes,bad
35.4787932771915,6654.11939929882,36.2109558271998,0<=X<200,no credits/all paid,other,100<=X<500,unemployed,2,male div/sep,co applicant,3,no known property,stores,for free,4,unemp/unskilled non res,2,yes,yes,bad
42.5050559003583,8318.11108480816,36.5123476573384,<0,no credits/all paid,other,no known savings,unemployed,4,male single,none,4,no known property,bank,for free,3,high qualif/self emp/mgmt,1,yes,yes,bad
22.8130118490633,3654.55104878009,35.6676566012111,no checking,critical/other existing credit,used car,500<=X<1000,>=7,3,male mar/wid,guarantor,2,car,none,own,1,high qualif/self emp/mgmt,1,yes,no,good
13.7495682055486,1508.10482640794,35.2788798056968,<0,critical/other existing credit,new car,>=1000,<1,1,male div/sep,co applicant,1,real estate,none,own,3,unskilled resident,2,none,no,good
13.720680276938,1501.26345488545,35.2776406567865,0<=X<200,no credits/all paid,repairs,100<=X<500,<1,1,male div/sep,none,4,life insurance,none,rent,4,unemp/unskilled non res,1,yes,no,good
12.8429733407387,1293.40087950518,35.2399913809177,no checking,critical/other existing credit,domestic appliance,>=1000,1<=X<4,1,male div/sep,co applicant,1,real estate,none,own,2,unskilled resident,2,none,no,good
48.7237983707361,9790.86215034812,36.7791008766285,<0,no credits/all paid,business,100<=X<500,>=7,3,male div/sep,none,4,no known property,stores,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
24.9611645539903,4163.28640809003,35.7598017016548,0<=X<200,no credits/all paid,business,100<=X<500,1<=X<4,2,male mar/wid,none,2,car,stores,own,4,high qualif/self emp/mgmt,1,yes,yes,good
12.8978342221294,1306.3932846272,35.2423446407276,0<=X<200,no credits/all paid,used car,no known savings,>=7,1,male single,none,4,no known property,bank,for free,4,skilled,2,yes,no,good
8.88512652511484,356.085474868431,35.0702193756362,>=200,all paid,retraining,500<=X<1000,4<=X<7,4,male mar/wid,guarantor,3,real estate,stores,own,1,unskilled resident,1,none,yes,good
26.0219965869682,4414.51750736277,35.8053061362364,0<=X<200,no credits/all paid,other,100<=X<500,1<=X<4,1,male mar/wid,guarantor,2,real estate,stores,rent,2,unemp/unskilled non res,2,none,no,bad
31.4629555922489,5703.07033146767,36.0386963011448,0<=X<200,no credits/all paid,repairs,>=1000,>=7,1,male div/sep,none,4,no known property,none,rent,4,skilled,1,yes,yes,good
12.1310534810783,1124.80075867879,35.2094535486557,no checking,critical/other existing credit,domestic appliance,>=1000,4<=X<7,2,male div/sep,none,3,life insurance,none,own,4,high qualif/self emp/mgmt,1,yes,yes,good
20.4409815667634,3092.79597653024,35.5659082626891,0<=X<200,delayed previously,business,100<=X<500,<1,1,male div/sep,co applicant,1,life insurance,stores,own,4,unskilled resident,2,none,no,bad
12.1046356339212,1118.54436315588,35.208320353993,no checking,no credits/all paid,radio/tv,500<=X<1000,1<=X<4,3,male mar/wid,guarantor,2,car,stores,own,1,skilled,1,yes,no,good
41.7750554256043,8145.22902992973,36.481034256333,no checking,no credits/all paid,business,>=1000,1<=X<4,2,male mar/wid,guarantor,3,car,stores,own,4,skilled,1,yes,yes,good
34.5122567756609,6425.21979953359,36.1694962033975,<0,critical/other existing credit,education,<100,unemployed,2,male div/sep,co applicant,4,no known property,bank,for free,3,unemp/unskilled non res,2,none,no,bad
10.9345684600108,841.443697653463,35.1581302734561,0<=X<200,no credits/all paid,retraining,100<=X<500,unemployed,1,male mar/wid,guarantor,1,car,stores,own,4,unemp/unskilled non res,1,none,yes,bad
26.39541315131,4502.95172788956,35.8213238554375,0<=X<200,no credits/all paid,other,100<=X<500,unemployed,3,male single,none,4,no known property,stores,for free,4,high qualif/self emp/mgmt,1,yes,yes,bad
22.1625190186948,3500.49835828602,35.6397536839489,no checking,existing paid,domestic appliance,no known savings,<1,1,female div/dep/mar,none,1,life insurance,none,rent,1,skilled,1,yes,yes,good
28.4511782611934,4989.80743392699,35.9095059861139,no checking,delayed previously,retraining,no known savings,>=7,1,male single,none,1,no known property,bank,for free,4,high qualif/self emp/mgmt,2,yes,yes,good
25.5199668947385,4295.62453700973,35.7837715515162,<0,all paid,education,<100,>=7,4,male single,none,4,no known property,stores,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
26.4415749098235,4513.8839669012,35.8233039660065,no checking,existing paid,radio/tv,500<=X<1000,>=7,4,male mar/wid,guarantor,1,car,none,rent,1,skilled,1,yes,yes,good
38.7162546204179,7420.82981793937,36.3498268674055,no checking,existing paid,domestic appliance,no known savings,<1,1,male div/sep,none,1,life insurance,none,rent,1,skilled,1,yes,no,good
9.00844584620872,385.290521131048,35.0755091630907,no checking,critical/other existing credit,used car,>=1000,>=7,1,male single,none,4,real estate,none,own,4,skilled,2,yes,no,good
37.3588090629068,7099.35334568475,36.2915991832391,0<=X<200,all paid,retraining,100<=X<500,4<=X<7,2,male mar/wid,guarantor,3,life insurance,bank,own,4,unemp/unskilled non res,2,none,yes,bad
25.9284717017338,4392.36851581995,35.8012943823587,<0,all paid,used car,no known savings,>=7,4,male single,none,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad
13.6744729384508,1490.32042141574,35.2756585910626,<0,critical/other existing credit,used car,no known savings,>=7,3,male single,none,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad
50.6521267337395,10247.5377024958,36.8618166026985,0<=X<200,no credits/all paid,business,100<=X<500,1<=X<4,3,male single,guarantor,2,real estate,stores,own,2,unskilled resident,2,none,no,good
19.9321586151065,2972.29419537538,35.5440822808206,0<=X<200,all paid,other,500<=X<1000,unemployed,3,male mar/wid,guarantor,3,no known property,bank,for free,3,unemp/unskilled non res,2,none,no,bad
15.2088461399938,1853.69770842714,35.341475593946,>=200,delayed previously,domestic appliance,>=1000,<1,1,male div/sep,none,1,life insurance,none,rent,4,skilled,1,none,yes,good
17.3027521777103,2349.58612362955,35.4312937813227,no checking,all paid,other,no known savings,unemployed,4,male single,co applicant,3,car,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,bad
