duration,credit_amount,age,checking_status,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
42,7882,45,<0,all paid,furniture/equipment,500<=X<1000,4<=X<7,2,male single,co applicant,4,no known property,bank,for free,3,unskilled resident,2,none,no,bad
36,9055,35,>=200,no credits/all paid,retraining,no known savings,>=7,2,male single,none,4,no known property,bank,for free,3,unskilled resident,2,yes,no,good
12,1295,25,0<=X<200,no credits/all paid,repairs,100<=X<500,<1,1,male div/sep,none,1,real estate,bank,rent,1,skilled,1,none,no,bad
12,1567,22,0<=X<200,existing paid,repairs,500<=X<1000,<1,1,male mar/wid,none,1,car,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
24,1199,60,<0,critical/other existing credit,education,<100,>=7,4,male single,guarantor,4,no known property,bank,for free,4,unskilled resident,2,none,yes,bad
24,1282,32,<0,all paid,repairs,100<=X<500,1<=X<4,4,female div/dep/mar,guarantor,2,car,stores,own,4,unskilled resident,1,none,yes,bad
30,8072,25,0<=X<200,no credits/all paid,retraining,<100,4<=X<7,2,male div/sep,co applicant,1,no known property,stores,for free,3,unemp/unskilled non res,2,yes,yes,bad
24,12579,44,0<=X<200,no credits/all paid,other,no known savings,unemployed,3,male single,none,4,no known property,bank,for free,4,high qualif/self emp/mgmt,1,yes,yes,bad
24,3430,31,no checking,existing paid,domestic appliance,500<=X<1000,1<=X<4,3,male mar/wid,none,2,car,stores,own,4,high qualif/self emp/mgmt,2,yes,no,good
10,2241,48,<0,critical/other existing credit,new car,>=1000,<1,1,male div/sep,guarantor,3,real estate,bank,rent,3,unskilled resident,2,none,no,good
12,1804,44,0<=X<200,delayed previously,domestic appliance,100<=X<500,<1,1,male div/sep,none,4,no known property,none,rent,2,skilled,1,yes,no,good
10,2069,26,no checking,critical/other existing credit,other,>=1000,<1,3,male mar/wid,co applicant,1,life insurance,none,own,2,skilled,2,none,no,good
60,6836,63,0<=X<200,delayed previously,business,100<=X<500,>=7,3,male div/sep,none,4,no known property,stores,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
18,5866,30,0<=X<200,delayed previously,domestic appliance,100<=X<500,1<=X<4,3,male mar/wid,none,2,car,stores,own,4,skilled,1,yes,no,good
12,1264,57,no checking,no credits/all paid,retraining,no known savings,>=7,1,male single,guarantor,4,no known property,bank,for free,3,skilled,2,yes,no,good
9,458,24,>=200,existing paid,domestic appliance,500<=X<1000,1<=X<4,4,male mar/wid,guarantor,3,real estate,none,own,4,skilled,1,none,yes,good
18,6204,44,0<=X<200,no credits/all paid,retraining,500<=X<1000,unemployed,2,male div/sep,guarantor,2,real estate,stores,own,4,unemp/unskilled non res,2,none,yes,bad
30,6187,24,no checking,delayed previously,business,>=1000,4<=X<7,1,male div/sep,guarantor,4,real estate,bank,rent,4,skilled,1,yes,no,good
11,1393,35,no checking,critical/other existing credit,education,>=1000,<1,4,female div/dep/mar,none,1,car,none,own,4,high qualif/self emp/mgmt,1,yes,yes,good
24,2333,29,0<=X<200,delayed previously,retraining,no known savings,<1,1,male single,co applicant,1,life insurance,stores,own,4,unskilled resident,2,none,no,bad
12,1262,25,>=200,no credits/all paid,domestic appliance,500<=X<1000,1<=X<4,3,male mar/wid,guarantor,2,car,stores,own,1,skilled,1,none,no,good
36,9566,31,no checking,no credits/all paid,repairs,>=1000,1<=X<4,2,male single,none,2,car,stores,own,2,skilled,1,none,yes,good
36,6229,23,<0,critical/other existing credit,other,<100,<1,2,female div/dep/mar,co applicant,4,no known property,bank,rent,3,unemp/unskilled non res,1,none,no,bad
9,1391,27,0<=X<200,no credits/all paid,business,100<=X<500,<1,1,male mar/wid,guarantor,1,real estate,stores,rent,3,skilled,1,yes,yes,bad
36,1953,61,0<=X<200,no credits/all paid,other,<100,>=7,3,male single,none,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad
24,3181,26,no checking,existing paid,domestic appliance,no known savings,<1,4,female div/dep/mar,co applicant,1,life insurance,none,rent,1,skilled,1,yes,yes,good
27,5190,48,0<=X<200,delayed previously,retraining,no known savings,>=7,1,male div/sep,guarantor,4,life insurance,none,own,4,high qualif/self emp/mgmt,2,yes,yes,good
36,1819,37,>=200,no credits/all paid,education,<100,>=7,4,male single,none,4,no known property,stores,for free,3,skilled,2,none,yes,bad
