duration,credit_amount,age,checking_status,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
6,1169,67,no checking,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,guarantor,4,car,none,own,4,skilled,2,yes,yes,good
12,2096,49,no checking,critical/other existing credit,retraining,>=1000,4<=X<7,2,male mar/wid,guarantor,3,life insurance,stores,own,3,unskilled resident,2,none,no,good
24,4870,53,<0,no credits/all paid,education,100<=X<500,>=7,3,male div/sep,none,4,no known property,bank,for free,3,unskilled resident,2,none,no,bad
30,5234,28,0<=X<200,delayed previously,other,<100,unemployed,1,male div/sep,co applicant,3,real estate,stores,own,2,unemp/unskilled non res,1,yes,yes,bad
48,4308,24,<0,no credits/all paid,education,100<=X<500,<1,3,female div/dep/mar,co applicant,1,life insurance,bank,rent,4,skilled,1,none,yes,bad
24,1199,60,<0,critical/other existing credit,retraining,<100,>=7,4,male div/sep,co applicant,4,life insurance,stores,own,4,unskilled resident,2,none,no,bad
24,1282,32,>=200,all paid,domestic appliance,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,2,car,bank,own,4,unskilled resident,1,none,no,bad
30,8072.00000000001,25,>=200,no credits/all paid,business,500<=X<1000,4<=X<7,2,male mar/wid,none,3,car,bank,rent,3,unemp/unskilled non res,2,yes,yes,bad
24,3430,31,>=200,existing paid,retraining,500<=X<1000,>=7,3,male single,none,2,car,none,own,1,skilled,2,yes,yes,good
10,2241,48,<0,critical/other existing credit,new car,>=1000,4<=X<7,1,male div/sep,guarantor,3,real estate,none,rent,3,unemp/unskilled non res,2,none,no,good
12,1804,44,0<=X<200,no credits/all paid,repairs,100<=X<500,<1,3,female div/dep/mar,none,1,life insurance,none,for free,4,high qualif/self emp/mgmt,2,yes,no,good
10,2069,26,no checking,critical/other existing credit,new car,>=1000,4<=X<7,1,male mar/wid,guarantor,2,real estate,none,own,2,unemp/unskilled non res,2,none,no,good
6,425.999999999996,39,>=200,no credits/all paid,retraining,500<=X<1000,>=7,3,male mar/wid,guarantor,1,car,bank,own,3,unskilled resident,2,none,yes,good
12,408.999999999996,42,no checking,all paid,retraining,>=1000,<1,3,female div/dep/mar,guarantor,2,real estate,bank,rent,3,unemp/unskilled non res,1,none,no,good
12,1264,57,no checking,critical/other existing credit,repairs,500<=X<1000,>=7,2,male single,none,4,no known property,bank,for free,4,unskilled resident,2,yes,yes,good
12,1474,33,>=200,all paid,furniture/equipment,>=1000,unemployed,3,female div/dep/mar,co applicant,1,car,stores,own,4,unemp/unskilled non res,1,yes,yes,bad
45,4746,25,0<=X<200,delayed previously,repairs,>=1000,<1,4,male div/sep,guarantor,1,real estate,stores,own,2,unskilled resident,1,none,no,bad
48,6110,31,no checking,all paid,education,500<=X<1000,unemployed,3,male single,none,4,no known property,bank,for free,3,unemp/unskilled non res,2,yes,yes,bad
10,1225,37,>=200,existing paid,domestic appliance,500<=X<1000,unemployed,2,male single,co applicant,3,car,none,own,1,unemp/unskilled non res,1,none,yes,good
18,6204,44,0<=X<200,delayed previously,repairs,>=1000,1<=X<4,2,male div/sep,none,3,real estate,stores,for free,4,unskilled resident,2,none,yes,good
11,7228.00000000001,39,no checking,critical/other existing credit,retraining,>=1000,1<=X<4,1,male div/sep,none,2,real estate,none,own,2,unskilled resident,2,none,no,good
24,2333,29,0<=X<200,all paid,retraining,>=1000,<1,3,female div/dep/mar,none,2,life insurance,stores,own,4,unskilled resident,2,none,yes,bad
6,782.999999999997,26,>=200,all paid,retraining,>=1000,1<=X<4,1,male single,guarantor,2,real estate,stores,own,4,unskilled resident,2,none,no,good
18,1961,23,>=200,existing paid,other,100<=X<500,unemployed,3,female div/dep/mar,none,2,car,bank,own,3,unemp/unskilled non res,1,yes,no,good
36,6229,23,<0,critical/other existing credit,other,>=1000,<1,2,female div/dep/mar,co applicant,4,no known property,stores,rent,4,high qualif/self emp/mgmt,1,none,no,bad
15,1537,50,no checking,critical/other existing credit,other,no known savings,>=7,4,male mar/wid,guarantor,3,real estate,bank,own,4,high qualif/self emp/mgmt,2,yes,no,good
