duration,credit_amount,age,checking_status,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
48,5951,22,0<=X<200,existing paid,other,500<=X<1000,1<=X<4,2,male mar/wid,guarantor,2,real estate,bank,own,1,skilled,1,none,yes,bad
12,2096,49,no checking,delayed previously,retraining,no known savings,4<=X<7,2,male single,guarantor,3,real estate,stores,own,3,unskilled resident,2,none,no,good
36,9055,35,>=200,delayed previously,education,no known savings,1<=X<4,2,male single,none,4,no known property,bank,for free,3,unskilled resident,2,yes,yes,good
24,2835,53,no checking,existing paid,retraining,500<=X<1000,1<=X<4,3,male div/sep,none,4,real estate,none,rent,4,skilled,1,none,no,good
48,4308,24,<0,no credits/all paid,domestic appliance,100<=X<500,<1,3,female div/dep/mar,none,4,life insurance,none,rent,4,unskilled resident,1,none,yes,bad
12,1567,22,>=200,existing paid,domestic appliance,<100,<1,1,male div/sep,guarantor,1,car,none,own,1,unemp/unskilled non res,1,none,yes,good
15,1403,28,<0,no credits/all paid,furniture/equipment,500<=X<1000,1<=X<4,2,female div/dep/mar,guarantor,4,car,none,rent,3,unemp/unskilled non res,1,none,yes,bad
9,2134,48,no checking,critical/other existing credit,repairs,500<=X<1000,unemployed,2,male single,none,4,car,none,for free,3,unemp/unskilled non res,2,yes,yes,good
10,2069,26,no checking,no credits/all paid,radio/tv,100<=X<500,1<=X<4,3,male mar/wid,co applicant,1,real estate,none,own,2,unskilled resident,1,none,no,good
12,409,42,>=200,all paid,retraining,>=1000,<1,3,male div/sep,co applicant,1,real estate,bank,rent,2,unemp/unskilled non res,1,none,no,bad
6.99999999999999,2415,34,0<=X<200,existing paid,repairs,<100,1<=X<4,3,male mar/wid,guarantor,2,real estate,none,own,1,unskilled resident,1,none,no,good
18,1913,36,0<=X<200,delayed previously,business,>=1000,4<=X<7,3,male div/sep,guarantor,1,real estate,bank,own,4,unskilled resident,1,yes,yes,good
12,1474,33,>=200,existing paid,other,no known savings,<1,1,female div/dep/mar,co applicant,1,car,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
48,6110,31,no checking,all paid,education,no known savings,>=7,2,male single,none,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad
18,2100,37,>=200,all paid,other,<100,<1,4,male single,co applicant,2,real estate,stores,own,4,unemp/unskilled non res,1,none,no,bad
10,1225,37,>=200,existing paid,domestic appliance,no known savings,unemployed,2,male div/sep,none,1,life insurance,stores,own,1,skilled,1,none,yes,good
48,6143,58,<0,critical/other existing credit,repairs,<100,>=7,4,male single,co applicant,4,no known property,stores,for free,4,unemp/unskilled non res,2,yes,yes,bad
11,1393,35,>=200,critical/other existing credit,used car,no known savings,<1,4,female div/dep/mar,co applicant,1,car,stores,rent,4,unemp/unskilled non res,1,yes,yes,good
24,2333,29,0<=X<200,delayed previously,education,>=1000,<1,2,male single,none,2,life insurance,stores,own,1,unskilled resident,2,none,no,bad
27,5965,30,0<=X<200,delayed previously,used car,>=1000,unemployed,3,male div/sep,guarantor,2,car,stores,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
12,1262,25,>=200,existing paid,radio/tv,500<=X<1000,1<=X<4,3,male mar/wid,none,2,car,stores,own,1,skilled,1,none,no,good
18,3378,31,>=200,delayed previously,domestic appliance,no known savings,4<=X<7,2,male div/sep,none,1,life insurance,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
5.99999999999999,783,26,>=200,all paid,retraining,>=1000,1<=X<4,1,male single,guarantor,2,real estate,stores,own,3,unskilled resident,2,none,no,bad
12,6468,52,>=200,existing paid,other,100<=X<500,unemployed,2,male single,co applicant,1,no known property,bank,for free,3,unemp/unskilled non res,1,yes,yes,bad
15,1537,50,0<=X<200,critical/other existing credit,radio/tv,>=1000,>=7,4,male mar/wid,guarantor,4,real estate,bank,own,4,skilled,1,yes,yes,good
36,1819,37,<0,delayed previously,education,>=1000,>=7,4,male single,none,4,no known property,stores,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
36,2394,25,no checking,existing paid,domestic appliance,500<=X<1000,1<=X<4,4,female div/dep/mar,none,2,car,none,own,1,skilled,1,none,yes,good
7.99999999999999,1164,51,0<=X<200,delayed previously,other,100<=X<500,unemployed,2,male single,co applicant,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,no,good
42,5954,41,>=200,no credits/all paid,business,>=1000,4<=X<7,2,male div/sep,guarantor,1,real estate,bank,own,3,unskilled resident,2,none,yes,good
30,3832,22,>=200,existing paid,domestic appliance,<100,<1,2,male div/sep,guarantor,1,life insurance,none,own,1,skilled,1,none,yes,bad
10,2315,52,>=200,existing paid,repairs,500<=X<1000,>=7,3,male mar/wid,guarantor,4,real estate,none,rent,4,unskilled resident,2,none,no,good
24,3617,20,>=200,critical/other existing credit,other,>=1000,>=7,4,female div/dep/mar,co applicant,4,no known property,bank,for free,2,unemp/unskilled non res,1,yes,no,good
54,15945,58,0<=X<200,no credits/all paid,business,100<=X<500,<1,3,male div/sep,none,4,no known property,bank,rent,4,high qualif/self emp/mgmt,1,yes,no,bad
12,2012,61,no checking,delayed previously,education,no known savings,<1,4,female div/dep/mar,none,2,life insurance,bank,own,2,skilled,1,none,yes,good
36,2323,24,0<=X<200,existing paid,retraining,500<=X<1000,4<=X<7,3,male mar/wid,guarantor,4,car,bank,rent,4,skilled,1,none,yes,good
8.99999999999999,1919,35,<0,delayed previously,retraining,100<=X<500,4<=X<7,2,male mar/wid,co applicant,3,car,stores,rent,4,high qualif/self emp/mgmt,1,yes,yes,good
12,2445,26,no checking,existing paid,used car,no known savings,4<=X<7,3,male mar/wid,guarantor,4,car,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
18,6458,39,0<=X<200,all paid,other,>=1000,>=7,2,male single,co applicant,4,no known property,bank,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad
24,7721,30,>=200,existing paid,domestic appliance,no known savings,<1,1,female div/dep/mar,co applicant,1,life insurance,none,rent,1,unskilled resident,2,none,no,good
5.99999999999999,1449,31,0<=X<200,no credits/all paid,business,>=1000,1<=X<4,1,male div/sep,none,1,life insurance,bank,own,3,high qualif/self emp/mgmt,2,yes,yes,bad
21,1835,25,<0,delayed previously,repairs,<100,1<=X<4,3,male mar/wid,guarantor,2,car,stores,rent,2,skilled,1,none,yes,bad
10,781,63,>=200,critical/other existing credit,used car,no known savings,>=7,4,male single,co applicant,4,no known property,bank,for free,2,unemp/unskilled non res,2,yes,no,good
18,1924,27,0<=X<200,existing paid,domestic appliance,100<=X<500,<1,1,female div/dep/mar,co applicant,1,life insurance,bank,rent,4,unskilled resident,1,none,yes,bad
12,701,40,<0,existing paid,repairs,500<=X<1000,1<=X<4,3,male mar/wid,guarantor,2,real estate,none,own,1,unskilled resident,1,none,no,good
12,1860,34,no checking,delayed previously,other,no known savings,unemployed,3,male single,co applicant,2,car,stores,for free,4,unemp/unskilled non res,1,yes,yes,good
12,3499,29,<0,critical/other existing credit,other,<100,unemployed,3,male mar/wid,co applicant,2,real estate,none,rent,2,unemp/unskilled non res,1,none,no,bad
60,10144,21,no checking,existing paid,retraining,100<=X<500,4<=X<7,2,male mar/wid,none,3,car,bank,rent,3,skilled,1,yes,yes,good
15,2728,35,0<=X<200,critical/other existing credit,other,no known savings,4<=X<7,2,male mar/wid,guarantor,3,real estate,bank,own,3,unemp/unskilled non res,2,yes,yes,good
5.99999999999999,709,27,>=200,all paid,repairs,>=1000,unemployed,3,female div/dep/mar,guarantor,1,real estate,none,own,3,unemp/unskilled non res,2,none,no,good
18,2462,22,<0,no credits/all paid,furniture/equipment,500<=X<1000,1<=X<4,2,male div/sep,none,2,car,stores,own,1,skilled,1,none,yes,bad
21,2288,23,no checking,critical/other existing credit,domestic appliance,>=1000,<1,1,female div/dep/mar,co applicant,1,life insurance,stores,rent,4,skilled,1,yes,yes,good
36,5371,28,<0,delayed previously,new car,<100,1<=X<4,3,male mar/wid,guarantor,2,life insurance,none,rent,2,unskilled resident,1,none,no,bad
24,7758,29,no checking,critical/other existing credit,repairs,>=1000,>=7,3,male div/sep,none,4,no known property,bank,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
24,6967,36,0<=X<200,delayed previously,other,100<=X<500,4<=X<7,3,male mar/wid,none,3,car,stores,rent,4,high qualif/self emp/mgmt,1,yes,yes,good
12,339,45,0<=X<200,all paid,retraining,500<=X<1000,4<=X<7,4,male mar/wid,guarantor,3,real estate,bank,rent,3,unskilled resident,2,none,yes,bad
24,2872,36,no checking,critical/other existing credit,repairs,>=1000,>=7,3,male single,none,4,real estate,none,for free,4,unskilled resident,2,yes,no,good
15,1262,36,no checking,existing paid,domestic appliance,500<=X<1000,unemployed,4,male div/sep,none,3,life insurance,none,own,1,skilled,1,yes,yes,good
10,7308,70,0<=X<200,all paid,other,100<=X<500,unemployed,2,male single,co applicant,4,no known property,bank,for free,3,unemp/unskilled non res,2,yes,yes,bad
18,1131,33,<0,all paid,domestic appliance,500<=X<1000,unemployed,1,female div/dep/mar,co applicant,2,car,stores,rent,1,unemp/unskilled non res,1,none,yes,bad
30,7485,53,>=200,all paid,other,no known savings,unemployed,1,female div/dep/mar,co applicant,1,no known property,bank,for free,3,unemp/unskilled non res,2,yes,yes,bad
5.99999999999999,338,52,no checking,critical/other existing credit,retraining,500<=X<1000,>=7,4,male mar/wid,none,4,car,stores,own,4,skilled,1,none,yes,good
36,4455,30,0<=X<200,delayed previously,other,>=1000,1<=X<4,2,male div/sep,none,2,car,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,bad
24,3777,50,no checking,critical/other existing credit,retraining,>=1000,>=7,4,male div/sep,co applicant,4,real estate,stores,own,2,skilled,1,yes,yes,good
18,884,36,0<=X<200,all paid,business,no known savings,>=7,4,male single,guarantor,4,no known property,bank,for free,4,high qualif/self emp/mgmt,2,yes,yes,bad
18,3244,33,0<=X<200,no credits/all paid,business,100<=X<500,1<=X<4,1,male div/sep,co applicant,4,car,bank,rent,3,skilled,1,yes,yes,bad
9,1501,34,0<=X<200,delayed previously,education,>=1000,unemployed,2,female div/dep/mar,co applicant,3,car,stores,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
24,2760,36,>=200,all paid,used car,no known savings,>=7,4,male single,none,4,no known property,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
8.99999999999999,936,52,no checking,critical/other existing credit,retraining,>=1000,>=7,4,female div/dep/mar,none,2,car,stores,own,2,skilled,1,yes,yes,good
12,1168,27,<0,existing paid,retraining,500<=X<1000,4<=X<7,4,male mar/wid,guarantor,3,real estate,none,own,1,unskilled resident,2,none,no,bad
27,5117,26,no checking,delayed previously,repairs,>=1000,4<=X<7,3,male div/sep,none,3,car,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
12,1935,43,no checking,critical/other existing credit,repairs,>=1000,>=7,1,male div/sep,none,4,real estate,none,for free,3,unemp/unskilled non res,2,yes,yes,good
36,3835,45,no checking,existing paid,other,no known savings,>=7,2,female div/dep/mar,guarantor,4,real estate,bank,rent,3,unskilled resident,2,yes,yes,good
30,1908,66,>=200,delayed previously,business,>=1000,>=7,3,male div/sep,none,1,no known property,stores,for free,4,high qualif/self emp/mgmt,2,yes,yes,good
36,3342,51,no checking,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,none,2,car,stores,own,4,high qualif/self emp/mgmt,1,yes,yes,good
18,3104,31,0<=X<200,no credits/all paid,business,100<=X<500,4<=X<7,2,male div/sep,none,1,car,bank,own,4,high qualif/self emp/mgmt,2,yes,no,bad
36,3913,23,>=200,existing paid,other,no known savings,1<=X<4,2,male div/sep,guarantor,2,real estate,stores,own,1,skilled,2,none,no,good
10,1364,64,no checking,no credits/all paid,used car,500<=X<1000,1<=X<4,2,female div/dep/mar,none,2,car,none,rent,1,skilled,1,yes,yes,good
12,624.999999999999,26,>=200,existing paid,radio/tv,<100,<1,4,male mar/wid,guarantor,1,real estate,bank,own,1,unskilled resident,1,none,no,bad
12,1200,23,no checking,all paid,education,no known savings,<1,1,female div/dep/mar,none,4,life insurance,bank,rent,1,skilled,2,yes,yes,bad
12,707,30,no checking,critical/other existing credit,radio/tv,no known savings,1<=X<4,4,male mar/wid,guarantor,2,real estate,bank,own,2,skilled,2,none,no,good
15,4657,30,>=200,delayed previously,used car,500<=X<1000,1<=X<4,3,male single,none,2,car,stores,for free,1,high qualif/self emp/mgmt,1,yes,no,good
36,2613,27,0<=X<200,no credits/all paid,repairs,100<=X<500,1<=X<4,3,male mar/wid,none,2,car,stores,own,4,unemp/unskilled non res,1,none,no,bad
9,1478,22,>=200,existing paid,radio/tv,500<=X<1000,4<=X<7,4,male mar/wid,guarantor,2,car,stores,own,1,skilled,1,none,yes,good
24,3149,22,>=200,all paid,domestic appliance,<100,<1,4,male div/sep,co applicant,1,no known property,bank,for free,1,skilled,2,none,yes,bad
